"CAPE.TOWN.INTL.database","CAPE.TOWN.INTL.weather.DATE","CAPE.TOWN.INTL.weather.STN...","CAPE.TOWN.INTL.weather.WBAN","CAPE.TOWN.INTL.weather.YEAR","CAPE.TOWN.INTL.weather.MONTH","CAPE.TOWN.INTL.weather.DAY","CAPE.TOWN.INTL.weather.TEMP","CAPE.TOWN.INTL.weather.Count1","CAPE.TOWN.INTL.weather.DEWP","CAPE.TOWN.INTL.weather.Count2","CAPE.TOWN.INTL.weather.SLP","CAPE.TOWN.INTL.weather.Count3","CAPE.TOWN.INTL.weather.STP","CAPE.TOWN.INTL.weather.Count4","CAPE.TOWN.INTL.weather.VISIB","CAPE.TOWN.INTL.weather.Count5","CAPE.TOWN.INTL.weather.WDSP","CAPE.TOWN.INTL.weather.Count6","CAPE.TOWN.INTL.weather.MXSPD","CAPE.TOWN.INTL.weather.GUST","CAPE.TOWN.INTL.weather.MAX","CAPE.TOWN.INTL.weather.MaxFlag","CAPE.TOWN.INTL.weather.MIN","CAPE.TOWN.INTL.weather.MinFlag","CAPE.TOWN.INTL.weather.PRCP","CAPE.TOWN.INTL.weather.PrcpFlag","CAPE.TOWN.INTL.weather.SNDP","CAPE.TOWN.INTL.weather.FRSHTT","CAPE.TOWN.INTL.weather.Year","CAPE.TOWN.INTL.weather.Month","CAPE.TOWN.INTL.weather.Day"
"GSOD",1998-01-01 12:00:00,"688160","99999","1998","1","1",22.5,23,58.9,23,1015.5,23,1010.6,23,9.5,23,15.3,23,20,NA,27.6111111111111," ",17.5," ",0,"D",NA,0,1998,1,1
"GSOD",1998-01-02 12:00:00,"688160","99999","1998","1","2",24.5555555555556,24,58,24,1013.7,24,1008.9,24,8.8,24,10.3,24,16.9,23.9,33.2777777777778," ",17.5," ",0,"D",NA,0,1998,1,2
"GSOD",1998-01-03 12:00:00,"688160","99999","1998","1","3",25.1666666666667,22,58.8,22,1011.4,22,1006.5,22,7.2,22,6.8,22,14,22.9,36,"*",15.7777777777778," ",0,"C",NA,0,1998,1,3
"GSOD",1998-01-04 12:00:00,"688160","99999","1998","1","4",26.8888888888889,21,62,21,1012.3,21,1007.5,21,8.3,21,7.3,21,14,NA,36.5," ",17,"*",0,"C",NA,100000,1998,1,4
"GSOD",1998-01-05 12:00:00,"688160","99999","1998","1","5",22.2222222222222,22,64.5,22,1011.2,22,1006.3,22,6.7,21,17.1,22,30.9,41,36.5," ",18,"*",0,"C",NA,100000,1998,1,5
"GSOD",1998-01-06 12:00:00,"688160","99999","1998","1","6",22.1111111111111,22,60.3,22,1008.6,22,1003.7,22,9.3,22,23.9,22,35.9,48,28.2222222222222," ",19,"*",0,"H",NA,10000,1998,1,6
"GSOD",1998-01-07 12:00:00,"688160","99999","1998","1","7",20.9444444444444,22,59.8,22,1006.3,22,1001.4,22,9.9,22,12.5,22,19,NA,28.2222222222222," ",17,"*",0,"G",NA,0,1998,1,7
"GSOD",1998-01-08 12:00:00,"688160","99999","1998","1","8",17.5,21,50.5,21,1010.2,20,1005.3,20,9.1,20,9.6,21,15,NA,27.2777777777778," ",14.2777777777778,"*",0,"C",NA,0,1998,1,8
"GSOD",1998-01-09 12:00:00,"688160","99999","1998","1","9",14.6666666666667,24,50.8,24,1012.9,24,1007.9,24,8.9,24,11.1,24,22.9,35.9,22," ",12.7777777777778,"*",4.064,"G",NA,10000,1998,1,9
"GSOD",1998-01-10 12:00:00,"688160","99999","1998","1","10",16.1111111111111,9,49,9,1019,9,1014,9,17.7,9,7.4,9,15,NA,22.2777777777778," ",12.2222222222222," ",2.794,"G",NA,0,1998,1,10
"GSOD",1998-01-11 12:00:00,"688160","99999","1998","1","11",17.5555555555556,21,52.8,21,1015.5,21,1010.5,21,12.1,20,10.2,21,18.1,NA,22.6111111111111," ",11.8888888888889," ",0,"G",NA,0,1998,1,11
"GSOD",1998-01-12 12:00:00,"688160","99999","1998","1","12",19.1666666666667,21,55.5,21,1011.3,21,1006.4,21,10.5,21,9.5,21,19,NA,26," ",12.2777777777778," ",0,"D",NA,0,1998,1,12
"GSOD",1998-01-13 12:00:00,"688160","99999","1998","1","13",17.1111111111111,21,47.9,21,1021.4,21,1016.4,21,8.6,20,12.5,21,20,29.9,20,"*",14,"*",0,"H",NA,10000,1998,1,13
"GSOD",1998-01-14 12:00:00,"688160","99999","1998","1","14",18.6111111111111,22,47.5,22,1017.1,22,1012.1,22,8.6,22,9.9,22,16.9,NA,25.7222222222222," ",12.5," ",0,"D",NA,0,1998,1,14
"GSOD",1998-01-15 12:00:00,"688160","99999","1998","1","15",18.7777777777778,22,56.1,22,1014.1,22,1009.2,22,11.4,21,10.8,22,22.9,NA,25.7222222222222," ",11.2222222222222," ",0,"D",NA,0,1998,1,15
"GSOD",1998-01-16 12:00:00,"688160","99999","1998","1","16",20.2777777777778,22,57.8,22,1015.5,22,1010.6,22,8.3,22,8,22,15.9,NA,25.2777777777778," ",12.7777777777778," ",0,"C",NA,0,1998,1,16
"GSOD",1998-01-17 12:00:00,"688160","99999","1998","1","17",20,21,57.1,21,1013.9,21,1009,21,10.2,21,12.4,21,20,23.9,25.7777777777778," ",16.8888888888889," ",0,"C",NA,0,1998,1,17
"GSOD",1998-01-18 12:00:00,"688160","99999","1998","1","18",20.1111111111111,24,53.7,24,1015.5,24,1010.5,24,11.2,24,8.1,24,14,21,25.1111111111111," ",14.7222222222222," ",0,"D",NA,10000,1998,1,18
"GSOD",1998-01-19 12:00:00,"688160","99999","1998","1","19",18.6111111111111,18,51.1,18,1017.9,18,1012.9,18,9.4,18,18.3,18,27,33,25.1111111111111," ",16,"*",0,"G",NA,0,1998,1,19
"GSOD",1998-01-20 12:00:00,"688160","99999","1998","1","20",20.0555555555556,22,55.6,22,1014.9,22,1010,22,10.8,21,15.6,22,22.9,32.1,25,"*",15.5," ",0,"C",NA,0,1998,1,20
"GSOD",1998-01-21 12:00:00,"688160","99999","1998","1","21",20.8333333333333,22,59,22,1013.3,22,1008.4,22,9.4,22,16.4,22,27,NA,26,"*",14.3888888888889," ",0,"C",NA,0,1998,1,21
"GSOD",1998-01-22 12:00:00,"688160","99999","1998","1","22",21.2777777777778,23,60.7,23,1012.8,23,1007.9,23,10.8,23,12.3,23,15.9,26,26.7222222222222," ",17.8888888888889," ",0,"D",NA,0,1998,1,22
"GSOD",1998-01-23 12:00:00,"688160","99999","1998","1","23",19.8333333333333,21,59.9,21,1015.1,21,1010.1,21,7.8,21,10.7,21,15.9,NA,25.7777777777778," ",4.72222222222222," ",0,"G",NA,10000,1998,1,23
"GSOD",1998-01-24 12:00:00,"688160","99999","1998","1","24",20.5,22,53.7,22,1015.8,22,1010.9,22,12.5,22,20.3,22,32.1,41,24.6111111111111," ",16.6111111111111," ",0,"G",NA,0,1998,1,24
"GSOD",1998-01-25 12:00:00,"688160","99999","1998","1","25",21.4444444444444,22,54.4,22,1011.5,22,1006.6,22,9.3,22,13.3,22,25.1,NA,28.7777777777778," ",15.7222222222222," ",0,"D",NA,0,1998,1,25
"GSOD",1998-01-26 12:00:00,"688160","99999","1998","1","26",21.6111111111111,23,58.5,23,1013.5,23,1008.6,23,9.4,23,23.1,23,35,49.9,28.7777777777778," ",17.8888888888889," ",0,"D",NA,0,1998,1,26
"GSOD",1998-01-27 12:00:00,"688160","99999","1998","1","27",22.3888888888889,21,60.7,21,1010.4,21,1005.6,21,8,21,14.6,21,23.9,NA,30.7222222222222," ",18,"*",0,"D",NA,0,1998,1,27
"GSOD",1998-01-28 12:00:00,"688160","99999","1998","1","28",21,23,58.6,23,1014.3,23,1009.4,23,8,23,21.5,23,30.9,35,30.7222222222222," ",18.2777777777778," ",0,"D",NA,0,1998,1,28
"GSOD",1998-01-29 12:00:00,"688160","99999","1998","1","29",20.5555555555556,23,54,23,1014.8,23,1009.9,23,9.3,23,22.2,23,29.9,41,24.7222222222222," ",17.7222222222222," ",0,"D",NA,0,1998,1,29
"GSOD",1998-01-30 12:00:00,"688160","99999","1998","1","30",19.6666666666667,21,51.5,21,1019.3,21,1014.4,21,8.5,21,21.3,21,33,43.9,24.7222222222222," ",16.8888888888889," ",0,"B",NA,0,1998,1,30
"GSOD",1998-01-31 12:00:00,"688160","99999","1998","1","31",19.7777777777778,19,55.4,19,1017.6,19,1012.6,19,10.1,19,15.3,19,26,NA,24.5," ",14.7777777777778," ",0,"C",NA,0,1998,1,31
