"DATE","Year","Month","Day","Tmin","Tmax","Tmean","Prec"
1977-01-01 12:00:00,1977,1,1,13,25,18.8333333333333,0
1977-01-02 12:00:00,1977,1,2,15,26,18.5,0
1977-01-03 12:00:00,1977,1,3,14,22,17.8333333333333,0
1977-01-04 12:00:00,1977,1,4,14,23,18.5,0
1977-01-05 12:00:00,1977,1,5,15,24,19.5555555555556,0
1977-01-06 12:00:00,1977,1,6,14,25,19,0
1977-01-07 12:00:00,1977,1,7,17,24,20.1666666666667,0
1977-01-08 12:00:00,1977,1,8,18,26,21.7222222222222,0
1977-01-09 12:00:00,1977,1,9,19,27,21,0
1977-01-10 12:00:00,1977,1,10,20,32,25.5555555555556,0
1977-01-11 12:00:00,1977,1,11,18,33,21.8333333333333,0
1977-01-12 12:00:00,1977,1,12,17,25,19.3333333333333,0
1977-01-13 12:00:00,1977,1,13,17,23,19.3333333333333,0
1977-01-14 12:00:00,1977,1,14,16,23,18.8333333333333,9.906
1977-01-15 12:00:00,1977,1,15,12,22,17.7222222222222,0
1977-01-16 12:00:00,1977,1,16,15,28,20.7222222222222,0
1977-01-17 12:00:00,1977,1,17,16,28,20.8333333333333,0
1977-01-18 12:00:00,1977,1,18,18,26,19.7777777777778,0
1977-01-19 12:00:00,1977,1,19,17,23,19.2222222222222,0
1977-01-20 12:00:00,1977,1,20,13,27,21.3333333333333,0
1977-01-21 12:00:00,1977,1,21,14,29,18.1666666666667,0
1977-01-22 12:00:00,1977,1,22,16,25,19.6666666666667,0
1977-01-23 12:00:00,1977,1,23,12,23,17.5555555555556,0
1977-01-24 12:00:00,1977,1,24,12,22,17.8333333333333,0
1977-01-25 12:00:00,1977,1,25,16,20,18,NA
1977-01-26 12:00:00,1977,1,26,15,21,17.5,4.064
1977-01-27 12:00:00,1977,1,27,14,30,23.1666666666667,0
1977-01-28 12:00:00,1977,1,28,19,31,22,0
1977-01-29 12:00:00,1977,1,29,21,28,24,0
1977-01-30 12:00:00,1977,1,30,19,27,22.7222222222222,0
1977-01-31 12:00:00,1977,1,31,19,27,23.3333333333333,0
1977-02-01 12:00:00,1977,2,1,18,23,20.5,0
1977-02-02 12:00:00,1977,2,2,20,26,22.7222222222222,0
1977-02-03 12:00:00,1977,2,3,17,27,23,0
1977-02-04 12:00:00,1977,2,4,19,23,20.5,0
1977-02-05 12:00:00,1977,2,5,19,28,23.4444444444444,0
1977-02-06 12:00:00,1977,2,6,17,31,24.4444444444444,0
1977-02-07 12:00:00,1977,2,7,18,28,22.8333333333333,0
1977-02-08 12:00:00,1977,2,8,20,27,23.6666666666667,0
1977-02-09 12:00:00,1977,2,9,19,30,24.1666666666667,0
1977-02-10 12:00:00,1977,2,10,20,31,24,0
1977-02-11 12:00:00,1977,2,11,18,21,19.2777777777778,NA
1977-02-12 12:00:00,1977,2,12,15,23,19,3.048
1977-02-13 12:00:00,1977,2,13,12,23,18.2777777777778,0
1977-02-14 12:00:00,1977,2,14,18,26,21.8333333333333,0
1977-02-15 12:00:00,1977,2,15,17,33,24,0
1977-02-16 12:00:00,1977,2,16,17,27,22.2777777777778,0
1977-02-17 12:00:00,1977,2,17,19,28,23.1666666666667,0
1977-02-18 12:00:00,1977,2,18,16,27,21.2777777777778,0
1977-02-19 12:00:00,1977,2,19,21,33,25.3333333333333,0
1977-02-20 12:00:00,1977,2,20,19,24,20.5555555555556,23.876
1977-02-21 12:00:00,1977,2,21,18,24,20.4444444444444,26.924
1977-02-22 12:00:00,1977,2,22,16,23,19.5555555555556,0
1977-02-23 12:00:00,1977,2,23,17,23,19.6666666666667,0
1977-02-24 12:00:00,1977,2,24,16,23,19.4444444444444,0
1977-02-25 12:00:00,1977,2,25,16,28,20.8333333333333,0
1977-02-26 12:00:00,1977,2,26,18,34,26.4444444444444,0
1977-02-27 12:00:00,1977,2,27,18,25,22.1666666666667,0
1977-02-28 12:00:00,1977,2,28,18,23,20.3333333333333,0
1977-03-01 12:00:00,1977,3,1,15,21,18.2777777777778,0
1977-03-02 12:00:00,1977,3,2,12,26,19.7222222222222,0
1977-03-03 12:00:00,1977,3,3,17,26,20.7777777777778,0
1977-03-04 12:00:00,1977,3,4,17,27,21.6666666666667,0
1977-03-05 12:00:00,1977,3,5,15,25,20,0
1977-03-06 12:00:00,1977,3,6,18,25,20.6666666666667,0
1977-03-07 12:00:00,1977,3,7,17,25,20.2777777777778,0
1977-03-08 12:00:00,1977,3,8,15,25,20.4444444444444,0
1977-03-09 12:00:00,1977,3,9,NA,NA,NA,NA
1977-03-10 12:00:00,1977,3,10,13,19,15.7777777777778,7.112
1977-03-11 12:00:00,1977,3,11,11,27,21.2222222222222,0
1977-03-12 12:00:00,1977,3,12,14,29,20.2777777777778,0
1977-03-13 12:00:00,1977,3,13,16,23,19.7222222222222,0
1977-03-14 12:00:00,1977,3,14,17,20,18.2222222222222,1.016
1977-03-15 12:00:00,1977,3,15,10,26,17.6666666666667,0
1977-03-16 12:00:00,1977,3,16,12,26,17.5,0
1977-03-17 12:00:00,1977,3,17,16,24,20.3888888888889,0
1977-03-18 12:00:00,1977,3,18,19,24,21.5555555555556,0
1977-03-19 12:00:00,1977,3,19,21,31,25,0
1977-03-20 12:00:00,1977,3,20,17,32,23.1666666666667,0
1977-03-21 12:00:00,1977,3,21,19,27,22.2777777777778,0
1977-03-22 12:00:00,1977,3,22,19,28,23.2222222222222,0
1977-03-23 12:00:00,1977,3,23,NA,NA,NA,NA
1977-03-24 12:00:00,1977,3,24,17,20,18.6111111111111,0
1977-03-25 12:00:00,1977,3,25,13,20,16.6666666666667,5.08
1977-03-26 12:00:00,1977,3,26,11,24,17.4444444444444,0
1977-03-27 12:00:00,1977,3,27,14,22,17,0
1977-03-28 12:00:00,1977,3,28,11,25,18,0
1977-03-29 12:00:00,1977,3,29,13,22,18.7222222222222,12.954
1977-03-30 12:00:00,1977,3,30,16,22,18.5555555555556,0
1977-03-31 12:00:00,1977,3,31,16,22,18.8333333333333,0
1977-04-01 12:00:00,1977,4,1,16,22,18.4444444444444,0
1977-04-02 12:00:00,1977,4,2,17,21,18.7222222222222,0
1977-04-03 12:00:00,1977,4,3,15,21,17.8333333333333,0
1977-04-04 12:00:00,1977,4,4,12,20,16.8333333333333,0
1977-04-05 12:00:00,1977,4,5,15,23,18.2777777777778,0
1977-04-06 12:00:00,1977,4,6,18,24,20.1666666666667,0
1977-04-07 12:00:00,1977,4,7,16,27,20,0
1977-04-08 12:00:00,1977,4,8,18,26,20.7222222222222,0
1977-04-09 12:00:00,1977,4,9,17,26,20.7222222222222,0
1977-04-10 12:00:00,1977,4,10,17,35,24.2777777777778,0
1977-04-11 12:00:00,1977,4,11,18,28,23.2777777777778,0
1977-04-12 12:00:00,1977,4,12,19,23,20.4444444444444,13.97
1977-04-13 12:00:00,1977,4,13,18,24,20.2777777777778,5.08
1977-04-14 12:00:00,1977,4,14,18,20,18.8333333333333,2.032
