"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
1.35,1.23,"rcp85",2035,2065,2050,1991,"relative","CCSM4"
1.33,1.18,"rcp85",2035,2065,2050,1991,"relative","CCSM4"
1.39,1.23,"rcp85",2035,2065,2050,1991,"relative","CCSM4"
1.55,1.22,"rcp85",2035,2065,2050,1991,"relative","CCSM4"
1.36,1.42,"rcp85",2035,2065,2050,1991,"relative","CCSM4"
1.51,1.39,"rcp85",2035,2065,2050,1991,"relative","CCSM4"
1.28,1.19,"rcp85",2035,2065,2050,1991,"relative","CCSM4"
1.37,1.9,"rcp85",2035,2065,2050,1991,"relative","CCSM4"
1.42,1.55,"rcp85",2035,2065,2050,1991,"relative","CCSM4"
1.52,1.37,"rcp85",2035,2065,2050,1991,"relative","CCSM4"
1.34,1.23,"rcp85",2035,2065,2050,1991,"relative","CCSM4"
1.2,1.15,"rcp85",2035,2065,2050,1991,"relative","CCSM4"
