"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.17,2.02,"rcp85",2035,2065,2050,1991,"relative","BNU-ESM"
2.23,2.08,"rcp85",2035,2065,2050,1991,"relative","BNU-ESM"
2.26,2.08,"rcp85",2035,2065,2050,1991,"relative","BNU-ESM"
2.31,2.01,"rcp85",2035,2065,2050,1991,"relative","BNU-ESM"
1.72,1.74,"rcp85",2035,2065,2050,1991,"relative","BNU-ESM"
2.19,2.28,"rcp85",2035,2065,2050,1991,"relative","BNU-ESM"
2.13,2.16,"rcp85",2035,2065,2050,1991,"relative","BNU-ESM"
2.04,2.19,"rcp85",2035,2065,2050,1991,"relative","BNU-ESM"
1.77,1.83,"rcp85",2035,2065,2050,1991,"relative","BNU-ESM"
1.89,1.85,"rcp85",2035,2065,2050,1991,"relative","BNU-ESM"
1.83,1.67,"rcp85",2035,2065,2050,1991,"relative","BNU-ESM"
2.09,1.99,"rcp85",2035,2065,2050,1991,"relative","BNU-ESM"
