"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
1.24,1.13,"rcp85",2035,2065,2050,1991,"relative","CESM1-BGC"
1.34,1.21,"rcp85",2035,2065,2050,1991,"relative","CESM1-BGC"
1.1,1.03,"rcp85",2035,2065,2050,1991,"relative","CESM1-BGC"
1.25,1.15,"rcp85",2035,2065,2050,1991,"relative","CESM1-BGC"
1.21,1.2,"rcp85",2035,2065,2050,1991,"relative","CESM1-BGC"
1.17,1.22,"rcp85",2035,2065,2050,1991,"relative","CESM1-BGC"
1.23,1.23,"rcp85",2035,2065,2050,1991,"relative","CESM1-BGC"
1.19,1.47,"rcp85",2035,2065,2050,1991,"relative","CESM1-BGC"
1.36,1.33,"rcp85",2035,2065,2050,1991,"relative","CESM1-BGC"
1.25,1.23,"rcp85",2035,2065,2050,1991,"relative","CESM1-BGC"
1.32,1.28,"rcp85",2035,2065,2050,1991,"relative","CESM1-BGC"
1.36,1.19,"rcp85",2035,2065,2050,1991,"relative","CESM1-BGC"
