"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
1.54,1.61,"rcp85",2035,2065,2050,1991,"relative","CNRM-CM5"
1.6,1.56,"rcp85",2035,2065,2050,1991,"relative","CNRM-CM5"
1.18,1.11,"rcp85",2035,2065,2050,1991,"relative","CNRM-CM5"
1.71,1.75,"rcp85",2035,2065,2050,1991,"relative","CNRM-CM5"
1.31,1.27,"rcp85",2035,2065,2050,1991,"relative","CNRM-CM5"
1.22,1.31,"rcp85",2035,2065,2050,1991,"relative","CNRM-CM5"
1.14,1.14,"rcp85",2035,2065,2050,1991,"relative","CNRM-CM5"
0.94,1.31,"rcp85",2035,2065,2050,1991,"relative","CNRM-CM5"
1.22,1.43,"rcp85",2035,2065,2050,1991,"relative","CNRM-CM5"
1.51,1.82,"rcp85",2035,2065,2050,1991,"relative","CNRM-CM5"
1.11,1.13,"rcp85",2035,2065,2050,1991,"relative","CNRM-CM5"
1.38,1.45,"rcp85",2035,2065,2050,1991,"relative","CNRM-CM5"
