"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
0.82,0.74,"rcp45",2070,2100,2085,1991,"relative","GFDL-ESM2M"
0.32,0.36,"rcp45",2070,2100,2085,1991,"relative","GFDL-ESM2M"
0.55,0.37,"rcp45",2070,2100,2085,1991,"relative","GFDL-ESM2M"
0.37,0.31,"rcp45",2070,2100,2085,1991,"relative","GFDL-ESM2M"
0.47,0.42,"rcp45",2070,2100,2085,1991,"relative","GFDL-ESM2M"
0.15,0.21,"rcp45",2070,2100,2085,1991,"relative","GFDL-ESM2M"
0.34,0.43,"rcp45",2070,2100,2085,1991,"relative","GFDL-ESM2M"
0.52,0.4,"rcp45",2070,2100,2085,1991,"relative","GFDL-ESM2M"
0.41,0.54,"rcp45",2070,2100,2085,1991,"relative","GFDL-ESM2M"
0.67,0.8,"rcp45",2070,2100,2085,1991,"relative","GFDL-ESM2M"
0.73,0.74,"rcp45",2070,2100,2085,1991,"relative","GFDL-ESM2M"
0.52,0.5,"rcp45",2070,2100,2085,1991,"relative","GFDL-ESM2M"
