"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
0.7,0.35,"rcp45",2070,2100,2085,1991,"relative","inmcm4"
-0.28,0.45,"rcp45",2070,2100,2085,1991,"relative","inmcm4"
-0.61,-0.2,"rcp45",2070,2100,2085,1991,"relative","inmcm4"
-0.29,0.07,"rcp45",2070,2100,2085,1991,"relative","inmcm4"
0.08,0.62,"rcp45",2070,2100,2085,1991,"relative","inmcm4"
0.4,0.79,"rcp45",2070,2100,2085,1991,"relative","inmcm4"
0.22,0.4,"rcp45",2070,2100,2085,1991,"relative","inmcm4"
0.46,0.75,"rcp45",2070,2100,2085,1991,"relative","inmcm4"
0.36,0.57,"rcp45",2070,2100,2085,1991,"relative","inmcm4"
0.52,0.91,"rcp45",2070,2100,2085,1991,"relative","inmcm4"
-0.14,0.4,"rcp45",2070,2100,2085,1991,"relative","inmcm4"
-0.1,0.36,"rcp45",2070,2100,2085,1991,"relative","inmcm4"
