"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
1.39,1.13,"rcp45",2070,2100,2085,1991,"relative","MIROC-ESM"
1.26,-0.63,"rcp45",2070,2100,2085,1991,"relative","MIROC-ESM"
1.65,-0.26,"rcp45",2070,2100,2085,1991,"relative","MIROC-ESM"
1.3,-0.32,"rcp45",2070,2100,2085,1991,"relative","MIROC-ESM"
1.2,-0.24,"rcp45",2070,2100,2085,1991,"relative","MIROC-ESM"
1.13,0.04,"rcp45",2070,2100,2085,1991,"relative","MIROC-ESM"
1.32,0.25,"rcp45",2070,2100,2085,1991,"relative","MIROC-ESM"
1.41,0.22,"rcp45",2070,2100,2085,1991,"relative","MIROC-ESM"
1.56,0.14,"rcp45",2070,2100,2085,1991,"relative","MIROC-ESM"
1.55,-0.05,"rcp45",2070,2100,2085,1991,"relative","MIROC-ESM"
1.64,-0.08,"rcp45",2070,2100,2085,1991,"relative","MIROC-ESM"
1.6,-0.34,"rcp45",2070,2100,2085,1991,"relative","MIROC-ESM"
