"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
-0.84,-2.29,"rcp45",2070,2100,2085,1991,"relative","GFDL-CM3"
-0.94,-2.3,"rcp45",2070,2100,2085,1991,"relative","GFDL-CM3"
-0.76,-2.24,"rcp45",2070,2100,2085,1991,"relative","GFDL-CM3"
-0.35,-1.72,"rcp45",2070,2100,2085,1991,"relative","GFDL-CM3"
0.05,-1.44,"rcp45",2070,2100,2085,1991,"relative","GFDL-CM3"
-0.04,-1.29,"rcp45",2070,2100,2085,1991,"relative","GFDL-CM3"
0.21,-0.93,"rcp45",2070,2100,2085,1991,"relative","GFDL-CM3"
0.15,-0.84,"rcp45",2070,2100,2085,1991,"relative","GFDL-CM3"
0.6,1.22,"rcp45",2070,2100,2085,1991,"relative","GFDL-CM3"
0.47,1.55,"rcp45",2070,2100,2085,1991,"relative","GFDL-CM3"
0.34,1.61,"rcp45",2070,2100,2085,1991,"relative","GFDL-CM3"
-0.09,0.96,"rcp45",2070,2100,2085,1991,"relative","GFDL-CM3"
