"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
1.55,1.14,"rcp85",2070,2100,2085,1991,"relative","GFDL-ESM2G"
1.54,1.38,"rcp85",2070,2100,2085,1991,"relative","GFDL-ESM2G"
1.64,1.39,"rcp85",2070,2100,2085,1991,"relative","GFDL-ESM2G"
1.7,1.55,"rcp85",2070,2100,2085,1991,"relative","GFDL-ESM2G"
1.03,1.37,"rcp85",2070,2100,2085,1991,"relative","GFDL-ESM2G"
1.09,1.14,"rcp85",2070,2100,2085,1991,"relative","GFDL-ESM2G"
1.17,1.07,"rcp85",2070,2100,2085,1991,"relative","GFDL-ESM2G"
1.01,1.1,"rcp85",2070,2100,2085,1991,"relative","GFDL-ESM2G"
1.03,1.48,"rcp85",2070,2100,2085,1991,"relative","GFDL-ESM2G"
1.71,1.76,"rcp85",2070,2100,2085,1991,"relative","GFDL-ESM2G"
1.41,1.14,"rcp85",2070,2100,2085,1991,"relative","GFDL-ESM2G"
1.61,1.39,"rcp85",2070,2100,2085,1991,"relative","GFDL-ESM2G"
