"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.28,2.19,"rcp85",2070,2100,2085,1991,"relative","bcc-csm1-1"
2.22,2.01,"rcp85",2070,2100,2085,1991,"relative","bcc-csm1-1"
1.87,1.65,"rcp85",2070,2100,2085,1991,"relative","bcc-csm1-1"
2.09,1.56,"rcp85",2070,2100,2085,1991,"relative","bcc-csm1-1"
2,1.82,"rcp85",2070,2100,2085,1991,"relative","bcc-csm1-1"
1.84,1.91,"rcp85",2070,2100,2085,1991,"relative","bcc-csm1-1"
1.9,1.71,"rcp85",2070,2100,2085,1991,"relative","bcc-csm1-1"
1.93,1.79,"rcp85",2070,2100,2085,1991,"relative","bcc-csm1-1"
1.82,1.54,"rcp85",2070,2100,2085,1991,"relative","bcc-csm1-1"
1.98,1.84,"rcp85",2070,2100,2085,1991,"relative","bcc-csm1-1"
2.28,2.33,"rcp85",2070,2100,2085,1991,"relative","bcc-csm1-1"
2.09,2.05,"rcp85",2070,2100,2085,1991,"relative","bcc-csm1-1"
