"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.52,1.59,"rcp85",2070,2100,2085,1991,"relative","ACCESS1-0"
2.54,1.36,"rcp85",2070,2100,2085,1991,"relative","ACCESS1-0"
2.01,1.46,"rcp85",2070,2100,2085,1991,"relative","ACCESS1-0"
1.95,1.15,"rcp85",2070,2100,2085,1991,"relative","ACCESS1-0"
2.05,1.78,"rcp85",2070,2100,2085,1991,"relative","ACCESS1-0"
2.02,1.75,"rcp85",2070,2100,2085,1991,"relative","ACCESS1-0"
2.25,1.79,"rcp85",2070,2100,2085,1991,"relative","ACCESS1-0"
1.52,1.64,"rcp85",2070,2100,2085,1991,"relative","ACCESS1-0"
1.79,1.88,"rcp85",2070,2100,2085,1991,"relative","ACCESS1-0"
2.52,2.17,"rcp85",2070,2100,2085,1991,"relative","ACCESS1-0"
2.66,2.11,"rcp85",2070,2100,2085,1991,"relative","ACCESS1-0"
2.77,1.95,"rcp85",2070,2100,2085,1991,"relative","ACCESS1-0"
