"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.36,1.79,"rcp85",2070,2100,2085,1991,"relative","CSIRO-Mk3-6-0"
2.47,1.78,"rcp85",2070,2100,2085,1991,"relative","CSIRO-Mk3-6-0"
2.43,1.6,"rcp85",2070,2100,2085,1991,"relative","CSIRO-Mk3-6-0"
2.53,1.81,"rcp85",2070,2100,2085,1991,"relative","CSIRO-Mk3-6-0"
2.18,1.67,"rcp85",2070,2100,2085,1991,"relative","CSIRO-Mk3-6-0"
1.95,1.48,"rcp85",2070,2100,2085,1991,"relative","CSIRO-Mk3-6-0"
2.03,1.72,"rcp85",2070,2100,2085,1991,"relative","CSIRO-Mk3-6-0"
1.95,1.5,"rcp85",2070,2100,2085,1991,"relative","CSIRO-Mk3-6-0"
1.99,1.64,"rcp85",2070,2100,2085,1991,"relative","CSIRO-Mk3-6-0"
2.38,1.76,"rcp85",2070,2100,2085,1991,"relative","CSIRO-Mk3-6-0"
2.21,1.85,"rcp85",2070,2100,2085,1991,"relative","CSIRO-Mk3-6-0"
2.23,1.79,"rcp85",2070,2100,2085,1991,"relative","CSIRO-Mk3-6-0"
