"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2000/2001",2001,123,123,100,40.9900394868891,25187.719220419,0
"2001/2002",2002,123,123,100,36.000927518984,26146.6835916187,3
"2002/2003",2003,123,123,100,42.5763464590694,25660.6971130049,0
"2003/2004",2004,123,123,100,40.2629079922743,24697.3312281513,0
"2004/2005",2005,123,123,100,41.1298754445673,25020.8011899248,1
"2005/2006",2006,123,123,100,34.1224681192949,26336.7373667163,0
"2006/2007",2007,123,123,100,35.7090775946614,25807.21043127,0
"2007/2008",2008,123,123,100,41.0698087014348,24872.3102264118,2
"2008/2009",2009,123,123,100,27.1615073207504,27863.2683401996,5
"2009/2010",2010,123,123,100,39.4753086356126,25560.07537329,4
"2010/2011",2011,123,123,100,43.9013544129523,24151.9726852444,0
"2011/2012",2012,123,123,100,32.3830227069918,26798.3741866571,0
"2012/2013",2013,123,123,100,42.1599757534043,25391.4558818508,0
"2013/2014",2014,123,123,100,43.8592442825651,23756.311310489,0
"2014/2015",2015,123,123,100,37.9615648480708,25978.9490738313,0
"2015/2016",2016,123,123,100,37.4812894945862,25969.7831605212,1
"2016/2017",2017,123,123,100,35.5239862607153,26599.8858275837,4
"2017/2018",2018,123,123,100,29.1943695691958,28149.524300769,4
"2018/2019",2019,123,123,100,35.0393516707403,27170.7872769006,0
"2019/2020",2020,123,123,100,40.6637827497341,24539.3838616996,11
"2020/2021",2021,123,123,100,38.4461148266836,25927.5801262725,4
"2021/2022",2022,123,123,100,41.4053203602375,25501.4835628727,2
"2022/2023",2023,123,123,100,31.496295497943,27296.7820187919,3
"2023/2024",2024,123,123,100,32.2421878295647,27167.0473484187,15
"2024/2025",2025,123,123,100,35.6796062542642,25616.4294914911,0
"2025/2026",2026,123,123,100,39.162247429332,26442.5740505401,0
"2026/2027",2027,123,123,100,37.3810570721926,26013.0943604885,8
"2027/2028",2028,123,123,100,32.3340770251764,26966.3887366583,0
"2028/2029",2029,123,123,100,32.0348834352003,27660.7616583821,0
"2029/2030",2030,123,123,100,48.3200612238065,23845.7282600123,0
"2030/2031",2031,123,123,100,27.1475679177804,27795.0333063169,0
"2031/2032",2032,123,123,100,42.4261275029917,24855.5042216335,0
"2032/2033",2033,123,123,100,36.118731851758,26230.0755285835,2
"2033/2034",2034,123,123,100,46.0939071481041,23363.3927209489,0
"2034/2035",2035,123,123,100,35.5248876116918,25782.960444354,0
