"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2000/2001",2001,123,123,100,32.6005687316515,26879.1146169858,0
"2001/2002",2002,123,123,100,29.4894276940317,28001.6903856043,2
"2002/2003",2003,123,123,100,33.6920811672138,27452.4527383631,0
"2003/2004",2004,123,123,100,36.9917916007503,26404.2464285967,0
"2004/2005",2005,123,123,100,35.7350116313104,26937.0841391713,1
"2005/2006",2006,123,123,100,28.4016581201988,28106.5346347349,0
"2006/2007",2007,123,123,100,32.6550101773173,27803.1369467551,0
"2007/2008",2008,123,123,100,32.8758557925417,26677.2820068628,0
"2008/2009",2009,123,123,100,23.4850816084975,29352.0993139817,2
"2009/2010",2010,123,123,100,33.6930755151669,27279.3454872885,3
"2010/2011",2011,123,123,100,37.3860562747302,26057.0947533466,0
"2011/2012",2012,123,123,100,24.650481937753,28794.8216420629,0
"2012/2013",2013,123,123,100,30.9655219014447,27237.1944039997,0
"2013/2014",2014,123,123,100,40.1561934180984,25702.6302445694,0
"2014/2015",2015,123,123,100,31.3803274381011,27859.8340183618,1
"2015/2016",2016,123,123,100,33.5882546493139,27667.0105813807,0
"2016/2017",2017,123,123,100,23.9849136315534,28313.7977501075,3
"2017/2018",2018,123,123,100,17.2685141379915,29623.3826651473,1
"2018/2019",2019,123,123,100,29.6544543844822,29192.3279294961,0
"2019/2020",2020,123,123,100,31.5865926303768,26346.2608609232,9
"2020/2021",2021,123,123,100,27.9997586803049,27846.7192060733,4
"2021/2022",2022,123,123,100,34.8343413100339,27214.3769839089,0
"2022/2023",2023,123,123,100,25.7468982015077,28847.0396925639,2
"2023/2024",2024,123,123,100,26.523563484507,29066.9362801812,12
"2024/2025",2025,123,123,100,27.7208095004004,27212.6693382077,0
"2025/2026",2026,123,123,100,30.1223646466625,28038.1606112123,0
"2026/2027",2027,123,123,100,32.779048900522,27718.8988648802,6
"2027/2028",2028,123,123,100,26.3350212970627,28665.856566825,0
"2028/2029",2029,123,123,100,23.8356112465099,29260.6227479256,0
"2029/2030",2030,123,123,100,39.5601833727551,25707.9590922161,0
"2030/2031",2031,123,123,100,24.343711955717,29554.3604288246,0
"2031/2032",2032,123,123,100,35.8123007621966,26705.9701958131,0
"2032/2033",2033,123,123,100,27.7753203445916,28220.8813011916,0
"2033/2034",2034,123,123,100,39.9699609634695,25185.7425894877,1
"2034/2035",2035,123,123,100,27.8456002030887,27504.5879968889,0
"2035/2036",2036,123,123,100,22.8274003259216,29544.9269172833,0
"2036/2037",2037,123,123,100,31.6564911111893,27247.9910226483,0
"2037/2038",2038,123,123,100,31.9939302645023,27813.7995381476,0
"2038/2039",2039,123,123,100,33.7811401838683,26450.6719220812,0
"2039/2040",2040,123,123,100,24.8314605463081,28420.4969606921,0
"2040/2041",2041,123,123,100,25.3183279420864,28106.0597799253,1
"2041/2042",2042,123,123,100,28.6860778355372,28133.8906040573,0
"2042/2043",2043,123,123,100,30.4387528541449,27538.4290737957,0
"2043/2044",2044,123,123,100,25.3840300125212,27973.8746714666,0
"2044/2045",2045,123,123,100,31.8045532659698,27965.6770516578,0
"2045/2046",2046,123,123,100,21.2900472587669,29320.594476548,0
"2046/2047",2047,123,123,100,24.9727369627074,30175.586845208,0
"2047/2048",2048,123,123,100,24.6134711568382,29674.6980146877,0
