"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2000/2001",2001,123,123,100,16.8137490649691,31021.6158762717,0
"2001/2002",2002,123,123,100,19.1691357366312,32438.0239824317,0
"2002/2003",2003,123,123,100,14.9418652586497,31771.259455598,0
"2003/2004",2004,123,123,100,24.9598770549729,30747.8774391142,0
"2004/2005",2005,123,123,100,20.2238042777991,31348.471947203,0
"2005/2006",2006,123,123,100,13.7354276517736,32441.520914422,0
"2006/2007",2007,123,123,100,19.6302720711232,32394.9828411461,0
"2007/2008",2008,123,123,100,22.3816946942705,31025.7324442874,0
"2008/2009",2009,123,123,100,14.8371868310228,33265.2604864702,0
"2009/2010",2010,123,123,100,19.7994855444096,31516.4645009174,0
"2010/2011",2011,123,123,100,22.866767133245,30529.5786733502,0
"2011/2012",2012,123,123,100,11.3159020654684,33477.075898086,0
"2012/2013",2013,123,123,100,21.6579755458044,31553.4521413394,0
"2013/2014",2014,123,123,100,20.4595257464025,30280.1814304488,0
"2014/2015",2015,123,123,100,16.6418065838212,32167.5497916946,0
"2015/2016",2016,123,123,100,17.8770126932317,31785.9550254475,0
"2016/2017",2017,123,123,100,12.8745706986091,32497.657343447,0
"2017/2018",2018,123,123,100,10.1354956468882,33580.3821733294,0
"2018/2019",2019,123,123,100,16.7368514903841,33666.7915645251,0
"2019/2020",2020,123,123,100,21.7504913015036,30633.7642278988,2
"2020/2021",2021,123,123,100,13.3086742175312,32207.0835031974,1
"2021/2022",2022,123,123,100,21.5194304131426,31494.3601833675,0
"2022/2023",2023,123,123,100,11.2856325666727,32837.1639847741,0
"2023/2024",2024,123,123,100,12.9723765345944,33669.9679838326,8
"2024/2025",2025,123,123,100,19.6357613589598,31180.103399917,0
"2025/2026",2026,123,123,100,19.2782582806333,32092.8963352004,0
"2026/2027",2027,123,123,100,16.9681966903483,31909.5190155408,4
"2027/2028",2028,123,123,100,7.97296312827302,32816.6586134802,0
"2028/2029",2029,123,123,100,15.5392747603444,33230.1153165097,0
"2029/2030",2030,123,123,100,24.963201381814,30221.6393434019,0
"2030/2031",2031,123,123,100,12.0044379490704,33731.3213519873,0
"2031/2032",2032,123,123,100,22.3660185563269,31098.271282143,0
"2032/2033",2033,123,123,100,12.8968145715103,32829.1406208654,0
"2033/2034",2034,123,123,100,26.3951162630484,29542.4439318073,0
"2034/2035",2035,123,123,100,16.9370045722241,31702.6828002171,0
"2035/2036",2036,123,123,100,12.0946018037441,33942.4106648653,0
"2036/2037",2037,123,123,100,16.9317662253389,31931.3148932476,0
"2037/2038",2038,123,123,100,16.9360813420626,31669.5985292774,0
"2038/2039",2039,123,123,100,22.3285372722837,30741.1669624811,0
"2039/2040",2040,123,123,100,13.0711727368866,32483.3998480244,0
"2040/2041",2041,123,123,100,13.0193469234587,32404.7053867932,0
"2041/2042",2042,123,123,100,13.6930691943429,32543.6509579187,0
"2042/2043",2043,123,123,100,12.3472541362349,31957.4229086209,0
