"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2000/2001",2001,123,123,100,19.5221544489708,30238.8746872964,0
"2001/2002",2002,123,123,100,21.1501426785481,31544.3359162367,0
"2002/2003",2003,123,123,100,15.851439145868,30967.3670813605,0
"2003/2004",2004,123,123,100,28.1024941591129,29979.8394746254,0
"2004/2005",2005,123,123,100,23.5130867906163,30432.2418981766,0
"2005/2006",2006,123,123,100,16.6964005724479,31590.0376818264,0
"2006/2007",2007,123,123,100,22.4752022037323,31469.2449591046,0
"2007/2008",2008,123,123,100,23.1617196151363,30162.2996302111,0
"2008/2009",2009,123,123,100,16.7343554565592,32646.5972256724,0
"2009/2010",2010,123,123,100,21.9804195338176,30722.0770938648,2
"2010/2011",2011,123,123,100,26.3768087026342,29640.2998125895,0
"2011/2012",2012,123,123,100,12.6759862902173,32610.2413972751,0
"2012/2013",2013,123,123,100,20.9587689673784,30731.0667489539,0
"2013/2014",2014,123,123,100,22.6918257027917,29405.3249152757,0
"2014/2015",2015,123,123,100,21.702746689818,31286.9118916653,0
"2015/2016",2016,123,123,100,21.0404475143517,31002.1878342272,0
"2016/2017",2017,123,123,100,15.0632522929785,31755.0706472241,2
"2017/2018",2018,123,123,100,10.6816189305583,32874.4649927644,0
"2018/2019",2019,123,123,100,20.7564976107297,32663.2144855196,0
"2019/2020",2020,123,123,100,21.1463019098697,29740.9424640588,5
"2020/2021",2021,123,123,100,16.6350802877632,31352.0502332477,1
"2021/2022",2022,123,123,100,23.4328149751,30742.8139739661,0
"2022/2023",2023,123,123,100,15.2522503523738,32145.8411376406,0
"2023/2024",2024,123,123,100,13.2377831020023,32811.3965813648,8
"2024/2025",2025,123,123,100,20.5740220497456,30334.0887545715,0
"2025/2026",2026,123,123,100,19.0911504432715,31241.2511639516,0
"2026/2027",2027,123,123,100,17.6969987414882,31167.1149230218,5
"2027/2028",2028,123,123,100,10.9095268115682,32052.5824265378,0
"2028/2029",2029,123,123,100,18.4830856474414,32498.8259807061,0
"2029/2030",2030,123,123,100,30.0380321601912,29409.676520146,0
"2030/2031",2031,123,123,100,10.8786113095304,32963.9022581954,0
"2031/2032",2032,123,123,100,25.8124844557965,30199.4245732231,0
"2032/2033",2033,123,123,100,16.3138654633501,31822.8390148384,0
"2033/2034",2034,123,123,100,30.116909304166,28746.7763289209,0
"2034/2035",2035,123,123,100,18.5812361244189,30919.8431770029,0
"2035/2036",2036,123,123,100,13.0735058051611,33000.5355120441,0
"2036/2037",2037,123,123,100,20.9453288702873,30952.7893194687,0
"2037/2038",2038,123,123,100,20.2280983286831,30955.0750895469,0
"2038/2039",2039,123,123,100,22.4932006892244,29864.2354934588,0
"2039/2040",2040,123,123,100,14.0812770607527,31834.2078153295,0
"2040/2041",2041,123,123,100,15.0799874126941,31549.4471443091,0
"2041/2042",2042,123,123,100,16.5835338269782,31655.9139029337,0
"2042/2043",2043,123,123,100,18.3657071076468,31004.2506671529,0
"2043/2044",2044,123,123,100,17.1340029970866,31567.111154574,0
"2044/2045",2045,123,123,100,21.3444761524602,31575.1759112291,0
"2045/2046",2046,123,123,100,13.2229164605977,32886.5745778009,0
"2046/2047",2047,123,123,100,14.0069190184519,33675.9886953356,0
