"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2000/2001",2001,123,123,100,26.297131526753,28695.2499969648,0
"2001/2002",2002,123,123,100,25.7329680443545,29858.0886785208,0
"2002/2003",2003,123,123,100,25.3940064273671,29335.9295752292,0
"2003/2004",2004,123,123,100,30.2586536714765,28315.2088396479,0
"2004/2005",2005,123,123,100,28.9200410769555,28761.6999024185,0
"2005/2006",2006,123,123,100,19.7800900241418,29990.5430139916,0
"2006/2007",2007,123,123,100,27.2485896780828,29673.980954895,0
"2007/2008",2008,123,123,100,28.4946044264648,28537.6293298863,0
"2008/2009",2009,123,123,100,18.8623352851172,31146.4830009777,0
"2009/2010",2010,123,123,100,25.9569478853949,29122.6110375097,2
"2010/2011",2011,123,123,100,30.9911678191638,27927.1981928276,0
"2011/2012",2012,123,123,100,17.7419725180329,30767.0068206126,0
"2012/2013",2013,123,123,100,23.4395575260531,29062.6616855545,0
"2013/2014",2014,123,123,100,31.4091471777866,27647.2730351079,0
"2014/2015",2015,123,123,100,27.5342087441692,29654.0911444933,0
"2015/2016",2016,123,123,100,25.5418013188362,29478.6859967248,0
"2016/2017",2017,123,123,100,21.0896787742736,30161.6267498254,2
"2017/2018",2018,123,123,100,13.2557617822989,31445.3906711291,0
"2018/2019",2019,123,123,100,25.7827129670579,31007.8070108769,0
"2019/2020",2020,123,123,100,26.2919982603917,28123.679431696,7
"2020/2021",2021,123,123,100,20.5784842827568,29687.5520615634,2
"2021/2022",2022,123,123,100,27.1351731610538,29088.8131872048,0
"2022/2023",2023,123,123,100,21.3262283789385,30655.8353436342,0
"2023/2024",2024,123,123,100,19.233022561912,31056.8446609178,10
"2024/2025",2025,123,123,100,24.0890748415079,28920.0486562606,0
"2025/2026",2026,123,123,100,25.1000962283184,29777.5924354773,0
"2026/2027",2027,123,123,100,23.153244370757,29588.7063866104,6
"2027/2028",2028,123,123,100,19.4979401028625,30478.2503971294,0
"2028/2029",2029,123,123,100,18.4471280001019,31050.623461111,0
"2029/2030",2030,123,123,100,33.3728978143565,27648.1665289449,0
"2030/2031",2031,123,123,100,19.8514084280375,31365.2363684545,0
"2031/2032",2032,123,123,100,32.1303539213884,28564.9078165991,0
"2032/2033",2033,123,123,100,21.912967859288,30088.8965283562,0
"2033/2034",2034,123,123,100,33.7051858007409,27072.7848435938,0
"2034/2035",2035,123,123,100,24.691612802815,29324.2412301805,0
"2035/2036",2036,123,123,100,14.8165997009569,31372.8664703802,0
"2036/2037",2037,123,123,100,23.7679682175753,29196.8207847425,0
"2037/2038",2038,123,123,100,23.9127612306299,29635.0994447209,0
"2038/2039",2039,123,123,100,30.532747938752,28218.9526513359,0
"2039/2040",2040,123,123,100,19.8693104882816,30316.7746724961,0
"2040/2041",2041,123,123,100,20.8693966860651,29935.5901881782,0
"2041/2042",2042,123,123,100,23.4778302742498,29954.7595664663,0
"2042/2043",2043,123,123,100,22.0384444464942,29342.8110038517,0
"2043/2044",2044,123,123,100,19.6573331047475,29872.2679867484,0
"2044/2045",2045,123,123,100,24.9018769029744,29866.2272881437,0
"2045/2046",2046,123,123,100,17.7266650211211,31208.5434622541,0
"2046/2047",2047,123,123,100,18.9027841231969,32053.5320227854,0
"2047/2048",2048,123,123,100,14.1017801261664,31411.4122179905,0
"2048/2049",2049,123,123,100,20.0107257927623,30089.5098498594,0
"2049/2050",2050,123,123,100,32.9380798965408,27887.2294124188,0
"2050/2051",2051,123,123,100,26.7510339816304,28977.0665249862,1
"2051/2052",2052,123,123,100,30.1306548371704,28486.1708469875,0
"2052/2053",2053,123,123,100,35.4260096147743,27408.4409542428,0
"2053/2054",2054,123,123,100,25.2217857424694,28361.090319166,0
"2054/2055",2055,123,123,100,25.4135115203746,28239.4181278702,0
"2055/2056",2056,123,123,100,23.8132405481085,29363.5418012431,2
"2056/2057",2057,123,123,100,31.7264489351296,27640.3968520369,1
"2057/2058",2058,123,123,100,33.6501479944679,27722.1549283508,0
"2058/2059",2059,123,123,100,22.375037959571,28279.0884462986,0
"2059/2060",2060,123,123,100,24.0655227398825,29637.183086535,0
"2060/2061",2061,123,123,100,27.1510917497067,29192.7973941257,0
"2061/2062",2062,123,123,100,23.8425064131175,29387.7017779993,0
"2062/2063",2063,123,123,100,32.6051870472575,27727.2587979576,0
"2063/2064",2064,123,123,100,24.2670845409257,29136.7373017361,0
"2064/2065",2065,123,123,100,34.8466475930277,27721.3923501624,4
"2065/2066",2066,123,123,100,19.289334495156,30818.5274419356,0
"2066/2067",2067,123,123,100,21.1035605282677,29928.8986376859,0
"2067/2068",2068,123,123,100,26.0287982600282,28442.0096624121,2
"2068/2069",2069,123,123,100,24.1983982395182,30151.8559074281,0
"2069/2070",2070,123,123,100,14.5155683095252,32074.4965624176,5
"2070/2071",2071,123,123,100,20.9825727555201,30227.4817743599,0
"2071/2072",2072,123,123,100,29.7097937896187,27548.9017067775,0
"2072/2073",2073,123,123,100,25.6569238124703,28288.5625575827,2
"2073/2074",2074,123,123,100,30.9468735014852,27703.1134063695,2
"2074/2075",2075,123,123,100,38.2641567897044,25894.8176363185,0
"2075/2076",2076,123,123,100,33.4545393324406,26864.8608471211,0
"2076/2077",2077,123,123,100,26.6316097388271,29235.6116120629,0
"2077/2078",2078,123,123,100,23.167125768643,30649.5173539724,0
"2078/2079",2079,123,123,100,34.0635851200759,27566.677147828,0
"2079/2080",2080,123,123,100,27.1059400960062,28958.274241237,0
"2080/2081",2081,123,123,100,26.0318694543421,29160.4499336649,3
"2081/2082",2082,123,123,100,30.7790923910761,26932.5213722251,0
"2082/2083",2083,123,123,100,30.814073046919,28259.6014241818,2
"2083/2084",2084,123,123,100,26.7371078007081,29142.1879830826,0
"2084/2085",2085,123,123,100,23.8391677827158,29425.3906281888,0
"2085/2086",2086,123,123,100,24.3947789704366,29469.918705292,3
"2086/2087",2087,123,123,100,20.8463003142788,30786.2102953363,5
"2087/2088",2088,123,123,100,25.3785047505085,27798.1146497168,4
"2088/2089",2089,123,123,100,28.8346062410201,28787.6161320135,0
"2089/2090",2090,123,123,100,32.4019695434904,28007.1101990864,0
"2090/2091",2091,123,123,100,25.7645271365877,29258.1711822767,0
"2091/2092",2092,123,123,100,33.9819304902821,27684.4268605486,0
"2092/2093",2093,123,123,100,25.8816562368106,28788.3055806328,4
"2093/2094",2094,123,123,100,19.0021378558658,32095.2277867142,0
"2094/2095",2095,123,123,100,19.0847264319523,30690.0896694269,0
"2095/2096",2096,123,123,100,27.6894249988291,29011.5306883212,0
"2096/2097",2097,123,123,100,33.086055179393,27257.3927587233,0
"2097/2098",2098,123,123,100,20.9190667161856,29932.9908471946,0
"2098/2099",2099,123,123,100,22.1090617164964,29559.3265747391,0
"2099/2100",2100,123,123,100,26.0588332904954,28031.5241260249,0
"2100/2101",2101,123,123,100,18.3973119512634,30847.4316505194,0
