"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2000/2001",2001,123,123,100,26.6744288863611,27569.955207623,0
"2001/2002",2002,123,123,100,28.0343617365003,28756.9599027373,1
"2002/2003",2003,123,123,100,29.8514660505318,28214.3595454234,0
"2003/2004",2004,123,123,100,34.6672801221574,27174.1756156887,0
"2004/2005",2005,123,123,100,34.1659104757192,27650.9463696477,0
"2005/2006",2006,123,123,100,26.890613494291,28893.1591855134,0
"2006/2007",2007,123,123,100,29.4759543739287,28557.2001481868,0
"2007/2008",2008,123,123,100,29.8548528010589,27458.451557825,0
"2008/2009",2009,123,123,100,22.0994357899283,30133.7508957407,0
"2009/2010",2010,123,123,100,30.215062293669,27991.4823892103,2
"2010/2011",2011,123,123,100,35.559543335464,26800.7084379974,0
"2011/2012",2012,123,123,100,24.4741758505863,29619.2966268526,0
"2012/2013",2013,123,123,100,27.8880299834706,27983.9764364357,0
"2013/2014",2014,123,123,100,36.4118623344291,26493.2979591007,0
"2014/2015",2015,123,123,100,29.3680725543243,28564.5645828815,0
"2015/2016",2016,123,123,100,30.7460616736287,28395.7449622466,0
"2016/2017",2017,123,123,100,23.3310746334012,29082.1403285249,3
"2017/2018",2018,123,123,100,15.5969013731644,30383.2868126924,0
"2018/2019",2019,123,123,100,28.8728228935391,29915.4791209549,0
"2019/2020",2020,123,123,100,30.4013966268742,27041.8130471935,8
"2020/2021",2021,123,123,100,23.1824491790882,28627.4701419021,3
"2021/2022",2022,123,123,100,31.7215543818228,27960.8876639428,0
"2022/2023",2023,123,123,100,25.7058594654914,29598.402543447,0
"2023/2024",2024,123,123,100,26.3894005568164,29895.615574142,12
"2024/2025",2025,123,123,100,25.639327321272,27901.3867524704,0
"2025/2026",2026,123,123,100,29.1439032316782,28722.4253615877,0
"2026/2027",2027,123,123,100,29.4597284812426,28448.9414931904,6
"2027/2028",2028,123,123,100,21.356457157467,29439.1573463893,0
"2028/2029",2029,123,123,100,21.2024847322998,30031.9404205363,0
"2029/2030",2030,123,123,100,37.7948991265152,26478.6565522831,0
"2030/2031",2031,123,123,100,23.6132881568288,30323.3879784504,0
"2031/2032",2032,123,123,100,34.94287864282,27451.672944257,0
"2032/2033",2033,123,123,100,26.2125071680071,28990.8139979229,0
"2033/2034",2034,123,123,100,39.3847639218325,25940.4231796721,0
"2034/2035",2035,123,123,100,27.1891946347782,28252.4743350972,0
"2035/2036",2036,123,123,100,20.9139177349725,30289.2270884733,0
"2036/2037",2037,123,123,100,27.8165829757036,28005.8969332273,0
"2037/2038",2038,123,123,100,29.8007685305383,28585.2900127824,0
"2038/2039",2039,123,123,100,34.1179743519217,27208.3130012834,0
"2039/2040",2040,123,123,100,23.5265699196584,29210.4432584466,0
"2040/2041",2041,123,123,100,24.6077053678391,28837.878976861,0
"2041/2042",2042,123,123,100,26.6485735831504,28884.1096705925,0
"2042/2043",2043,123,123,100,26.9920141364639,28287.8720090576,0
"2043/2044",2044,123,123,100,27.2560263104019,28804.9216294624,0
"2044/2045",2045,123,123,100,29.0596594219678,28763.4065151382,0
"2045/2046",2046,123,123,100,20.1724211299891,30101.2643830003,0
"2046/2047",2047,123,123,100,23.1901560997155,30975.0706725325,0
"2047/2048",2048,123,123,100,21.2306234493813,30388.0420869049,0
"2048/2049",2049,123,123,100,24.9496293261805,29055.1202898044,0
"2049/2050",2050,123,123,100,36.1093367863216,26750.0410295324,0
"2050/2051",2051,123,123,100,30.3927710942858,27934.4434907716,1
"2051/2052",2052,123,123,100,35.3736156699831,27385.3652747059,0
