"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2000/2001",2001,123,123,100,25.786245111515,28660.2979855639,0
"2001/2002",2002,123,123,100,25.8423340645808,29897.5574803688,0
"2002/2003",2003,123,123,100,26.0630565566612,29302.5371098521,0
"2003/2004",2004,123,123,100,31.0710336220796,28269.498104729,0
"2004/2005",2005,123,123,100,29.9371020824716,28762.5361180481,0
"2005/2006",2006,123,123,100,20.6537243362695,29988.9689897674,0
"2006/2007",2007,123,123,100,26.098699320542,29762.9392146263,0
"2007/2008",2008,123,123,100,27.2509778059388,28506.0943520048,0
"2008/2009",2009,123,123,100,18.7701366179171,31224.9941156449,0
"2009/2010",2010,123,123,100,29.3880615382673,29090.7765624616,2
"2010/2011",2011,123,123,100,31.9256344030213,27899.7533700713,0
"2011/2012",2012,123,123,100,18.0157179711106,30822.0575347391,0
"2012/2013",2013,123,123,100,24.854178385233,29104.2019223098,0
"2013/2014",2014,123,123,100,32.4758243803014,27603.43333659,0
"2014/2015",2015,123,123,100,26.7290401239239,29693.0343546134,0
"2015/2016",2016,123,123,100,28.6795744052911,29451.1892846422,0
"2016/2017",2017,123,123,100,19.4667984248439,30173.8525383109,2
"2017/2018",2018,123,123,100,14.3573832355036,31399.5904741758,0
"2018/2019",2019,123,123,100,26.1745352651877,31043.1826470923,0
"2019/2020",2020,123,123,100,25.2768241327323,28157.7111348435,7
"2020/2021",2021,123,123,100,21.0437352344342,29729.433629076,2
"2021/2022",2022,123,123,100,29.4998681593908,29103.0476737856,0
"2022/2023",2023,123,123,100,21.3897057166329,30672.4220323581,0
"2023/2024",2024,123,123,100,20.245454120163,31048.8128131437,10
"2024/2025",2025,123,123,100,24.0537183558029,28903.7405852247,0
"2025/2026",2026,123,123,100,25.1104678696601,29773.4822714766,0
"2026/2027",2027,123,123,100,23.1306750079024,29536.0361020481,6
"2027/2028",2028,123,123,100,18.688924855595,30517.307320477,0
"2028/2029",2029,123,123,100,18.4905093217428,31026.059761676,0
"2029/2030",2030,123,123,100,33.5436948168351,27607.170919667,0
"2030/2031",2031,123,123,100,19.7389481444168,31441.8194575612,0
"2031/2032",2032,123,123,100,31.1701081856041,28528.3454396385,0
"2032/2033",2033,123,123,100,21.7228946561014,30149.8142219214,0
"2033/2034",2034,123,123,100,35.2847347639074,27000.785434226,0
"2034/2035",2035,123,123,100,24.3519430924542,29353.8976347595,0
"2035/2036",2036,123,123,100,14.8565999535119,31443.9088197974,0
"2036/2037",2037,123,123,100,23.8409237528213,29173.7551189996,0
"2037/2038",2038,123,123,100,24.5279565082039,29480.2886590064,0
"2038/2039",2039,123,123,100,29.8136603517307,28316.5746407527,0
"2039/2040",2040,123,123,100,19.8154970400749,30248.2986105643,0
"2040/2041",2041,123,123,100,20.8988535216679,29922.225179649,0
"2041/2042",2042,123,123,100,23.7356102542678,30042.3888038127,0
"2042/2043",2043,123,123,100,23.6816671791205,29414.3579769228,0
"2043/2044",2044,123,123,100,21.7015293575282,29906.1732648052,0
"2044/2045",2045,123,123,100,24.4027018866934,29867.6188000608,0
"2045/2046",2046,123,123,100,18.3861000335087,31248.5299566817,0
"2046/2047",2047,123,123,100,19.0011110001124,32072.259358515,0
"2047/2048",2048,123,123,100,15.6903427760069,31430.7053919947,0
"2048/2049",2049,123,123,100,20.1122542673779,30156.202108819,0
"2049/2050",2050,123,123,100,32.9736824616482,27837.8766979929,0
"2050/2051",2051,123,123,100,26.9333096773571,28967.9207620909,1
"2051/2052",2052,123,123,100,32.1283393878948,28474.676773699,0
"2052/2053",2053,123,123,100,35.1649872081955,27389.7665822534,0
"2053/2054",2054,123,123,100,25.26633081553,28388.6690989556,0
"2054/2055",2055,123,123,100,25.5896850356055,28329.4154456928,0
"2055/2056",2056,123,123,100,25.0435094290249,29379.7782733738,3
"2056/2057",2057,123,123,100,30.2787542313117,27719.0965079591,1
"2057/2058",2058,123,123,100,32.5682405179225,27809.8163085897,0
"2058/2059",2059,123,123,100,25.146854543822,28227.0605231803,0
"2059/2060",2060,123,123,100,24.1941238057072,29618.9690282885,0
"2060/2061",2061,123,123,100,26.1581679991771,29216.3488226794,0
"2061/2062",2062,123,123,100,25.086330256333,29444.8400831316,0
"2062/2063",2063,123,123,100,31.5408641005927,27739.8025217587,0
"2063/2064",2064,123,123,100,25.6063666327063,29067.3346307985,0
"2064/2065",2065,123,123,100,34.214006424045,27747.5913984533,4
"2065/2066",2066,123,123,100,19.2881217360814,30887.852004528,0
"2066/2067",2067,123,123,100,21.237319355097,29896.6024205368,0
"2067/2068",2068,123,123,100,28.3173129575175,28505.344594189,3
"2068/2069",2069,123,123,100,26.0962801410215,30155.9612336531,0
"2069/2070",2070,123,123,100,14.6806570727499,32106.061909751,5
"2070/2071",2071,123,123,100,21.5022990663656,30215.1016100971,0
"2071/2072",2072,123,123,100,29.4433733819574,27583.0357907005,0
"2072/2073",2073,123,123,100,26.6195656351133,28345.403199885,2
"2073/2074",2074,123,123,100,33.2015626787861,27660.5198994912,2
"2074/2075",2075,123,123,100,39.925748811982,25931.3503957205,0
"2075/2076",2076,123,123,100,34.6390587464061,26797.3331915606,0
"2076/2077",2077,123,123,100,26.2223981454194,29163.7236110438,0
"2077/2078",2078,123,123,100,26.1098196282492,30617.591369221,0
"2078/2079",2079,123,123,100,33.7935511754376,27622.968927335,0
"2079/2080",2080,123,123,100,26.0547003153961,29037.1234551705,0
"2080/2081",2081,123,123,100,26.1113385661797,29104.0716918129,3
"2081/2082",2082,123,123,100,31.8822060002412,26981.7214088738,0
"2082/2083",2083,123,123,100,31.2348165784288,28294.0774732232,1
"2083/2084",2084,123,123,100,25.9604050287612,29182.0552083291,0
"2084/2085",2085,123,123,100,23.9637609045562,29458.1489393525,0
"2085/2086",2086,123,123,100,26.5606825935979,29427.4439715184,3
"2086/2087",2087,123,123,100,20.3448420238237,30802.5888206977,5
"2087/2088",2088,123,123,100,25.9393792156898,27789.3900904171,4
"2088/2089",2089,123,123,100,29.5494267985187,28745.8117872179,0
"2089/2090",2090,123,123,100,35.3578437387514,28026.9390424769,0
"2090/2091",2091,123,123,100,26.7642019501286,29197.0758648422,0
"2091/2092",2092,123,123,100,33.5293660086559,27665.1434878912,0
"2092/2093",2093,123,123,100,26.833017099977,28846.9737066273,4
"2093/2094",2094,123,123,100,19.0580329653758,32144.2162483726,0
"2094/2095",2095,123,123,100,20.1068863963756,30702.355220018,0
"2095/2096",2096,123,123,100,28.3134439868963,28970.4730392657,0
"2096/2097",2097,123,123,100,34.1274958467197,27256.9532114025,0
"2097/2098",2098,123,123,100,20.7422471302862,29865.4123251233,0
"2098/2099",2099,123,123,100,23.102448133598,29586.4484748449,0
"2099/2100",2100,123,123,100,24.5491580065568,28138.8748797532,0
"2100/2101",2101,123,123,100,21.1987841719933,30789.6971543767,0
