"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2000/2001",2001,123,123,100,33.5001029923337,26394.6418395104,0
"2001/2002",2002,123,123,100,30.6962418327718,27523.8406806445,2
"2002/2003",2003,123,123,100,33.5866455180245,27036.8008049085,0
"2003/2004",2004,123,123,100,36.9670226225074,25992.3113864821,0
"2004/2005",2005,123,123,100,35.5494915845649,26415.810361845,1
"2005/2006",2006,123,123,100,29.3481094533425,27660.7477355732,0
"2006/2007",2007,123,123,100,32.5559416285976,27321.9632438767,0
"2007/2008",2008,123,123,100,32.5451960686197,26293.7275716416,1
"2008/2009",2009,123,123,100,24.4503723329226,28926.5233502825,3
"2009/2010",2010,123,123,100,31.8998489739481,26831.6457447365,4
"2010/2011",2011,123,123,100,39.3655386792431,25605.4385676803,0
"2011/2012",2012,123,123,100,27.0371714443854,28361.3301672225,0
"2012/2013",2013,123,123,100,31.6727109789094,26780.0274608263,0
"2013/2014",2014,123,123,100,40.4163787557613,25306.9104936824,0
"2014/2015",2015,123,123,100,33.191472280731,27346.0214594135,1
"2015/2016",2016,123,123,100,32.5976558884688,27203.033989968,0
"2016/2017",2017,123,123,100,30.1219546270999,27876.5271927924,4
"2017/2018",2018,123,123,100,20.5060573404974,29198.9589329355,3
"2018/2019",2019,123,123,100,31.3096234549823,28635.4967938666,0
"2019/2020",2020,123,123,100,30.8117149101939,25896.6710844319,11
"2020/2021",2021,123,123,100,27.6997714616139,27394.0857991553,4
"2021/2022",2022,123,123,100,34.1858656217908,26752.721600282,0
"2022/2023",2023,123,123,100,26.2835691118943,28390.2180833784,3
"2023/2024",2024,123,123,100,27.1011489521791,28660.2489265758,14
"2024/2025",2025,123,123,100,29.189289967813,26712.523732916,0
"2025/2026",2026,123,123,100,33.2301216306764,27509.5738070095,0
"2026/2027",2027,123,123,100,32.4963666383213,27278.6119400891,7
"2027/2028",2028,123,123,100,28.7064750995894,28244.8041365468,0
"2028/2029",2029,123,123,100,26.0587025785512,28857.6168698804,0
"2029/2030",2030,123,123,100,42.579371391889,25318.9599253782,0
"2030/2031",2031,123,123,100,22.3692842047899,29093.391691009,0
"2031/2032",2032,123,123,100,36.6724465410036,26247.8787891823,0
"2032/2033",2033,123,123,100,29.3960863496807,27694.9667219445,0
"2033/2034",2034,123,123,100,40.5902321074084,24798.0260419189,1
"2034/2035",2035,123,123,100,29.607729720318,27061.5346427388,0
"2035/2036",2036,123,123,100,21.9894483677224,28981.2511045756,0
"2036/2037",2037,123,123,100,33.5617605411519,26760.4682752658,0
"2037/2038",2038,123,123,100,32.6542611918173,27440.1167224273,0
"2038/2039",2039,123,123,100,35.6939610240215,26014.5613435106,0
"2039/2040",2040,123,123,100,27.5951196297176,28000.2690431662,0
"2040/2041",2041,123,123,100,28.2267423474818,27628.3554619355,2
"2041/2042",2042,123,123,100,30.5537370798925,27649.929836777,0
"2042/2043",2043,123,123,100,30.485899203903,27028.8738381779,0
"2043/2044",2044,123,123,100,31.1987292621707,27548.6457654815,0
"2044/2045",2045,123,123,100,31.425329460207,27550.3431690894,0
"2045/2046",2046,123,123,100,26.8339089426634,28818.0374346878,0
"2046/2047",2047,123,123,100,25.715674835033,29708.7321246881,0
"2047/2048",2048,123,123,100,23.9306667407122,29140.385609909,0
"2048/2049",2049,123,123,100,28.4937809994872,27822.515970014,1
"2049/2050",2050,123,123,100,40.77257262745,25605.6668684725,0
"2050/2051",2051,123,123,100,32.5910922964981,26780.6647284552,3
"2051/2052",2052,123,123,100,38.7911556471045,26226.5414322745,1
"2052/2053",2053,123,123,100,42.45956870277,25092.3740442107,0
"2053/2054",2054,123,123,100,36.6530849335718,26108.8159828037,0
"2054/2055",2055,123,123,100,34.71029360074,25969.5996919144,0
"2055/2056",2056,123,123,100,31.8053558969727,27088.4601751594,5
"2056/2057",2057,123,123,100,36.1410931496716,25364.4529980905,5
"2057/2058",2058,123,123,100,39.9340666548555,25353.5908978358,0
"2058/2059",2059,123,123,100,29.7379701559639,26079.2530961884,0
"2059/2060",2060,123,123,100,28.2756083965487,27396.8188481079,0
"2060/2061",2061,123,123,100,29.8299037659312,26951.320088963,0
"2061/2062",2062,123,123,100,29.7896370513886,26986.8914704882,0
"2062/2063",2063,123,123,100,40.1048035225153,25383.752241713,0
"2063/2064",2064,123,123,100,31.6951340429196,26894.9079094464,0
"2064/2065",2065,123,123,100,40.4226055958407,25458.6622132016,6
"2065/2066",2066,123,123,100,23.5938911709445,28457.4734415272,0
"2066/2067",2067,123,123,100,29.3920452692478,27738.7135786312,0
"2067/2068",2068,123,123,100,37.1556755314982,26086.1632561497,5
"2068/2069",2069,123,123,100,30.6074441471919,27872.4408658277,0
"2069/2070",2070,123,123,100,19.6381983534461,29874.6529440228,6
"2070/2071",2071,123,123,100,28.9725120647608,27863.642888587,0
"2071/2072",2072,123,123,100,36.2345983369269,25259.7653275561,0
"2072/2073",2073,123,123,100,33.0632642650362,25952.0401051305,4
"2073/2074",2074,123,123,100,34.475816542285,25542.012254444,5
"2074/2075",2075,123,123,100,47.1152416426626,23614.4705192884,0
"2075/2076",2076,123,123,100,41.4644563616871,24494.595796857,0
"2076/2077",2077,123,123,100,36.0175062741396,26909.2352235438,0
"2077/2078",2078,123,123,100,30.4215375545195,28391.4965592679,0
"2078/2079",2079,123,123,100,41.345533609302,25231.9394330606,0
"2079/2080",2080,123,123,100,32.6328685210801,26628.4474357236,0
"2080/2081",2081,123,123,100,32.6744639070102,26900.4422130845,4
"2081/2082",2082,123,123,100,41.4828122671584,24688.5066662636,0
"2082/2083",2083,123,123,100,31.6316154600099,25991.3831125665,4
"2083/2084",2084,123,123,100,35.8698585770794,26774.2057659123,0
"2084/2085",2085,123,123,100,32.8158115695564,27135.8236087877,0
