"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2000/2001",2001,123,123,100,29.9788646255344,27541.7368026854,0
"2001/2002",2002,123,123,100,28.8101052115616,28651.2642995226,1
"2002/2003",2003,123,123,100,31.9944342283155,28135.0460048547,0
"2003/2004",2004,123,123,100,35.3007766697804,27130.8803947094,0
"2004/2005",2005,123,123,100,35.2841772051227,27544.828376873,0
"2005/2006",2006,123,123,100,28.8247247806339,28814.1034331517,0
"2006/2007",2007,123,123,100,31.8205095105352,28396.1952556879,0
"2007/2008",2008,123,123,100,30.8569041137006,27357.3569613787,0
"2008/2009",2009,123,123,100,23.1359117645043,30143.3925160443,0
"2009/2010",2010,123,123,100,30.0707205161212,27934.8571526769,2
"2010/2011",2011,123,123,100,37.8623885824446,26670.9760405999,0
"2011/2012",2012,123,123,100,25.2474000542995,29478.2080514415,0
"2012/2013",2013,123,123,100,28.7233068290382,27889.0708539835,0
"2013/2014",2014,123,123,100,37.5167055955249,26347.2079054071,0
"2014/2015",2015,123,123,100,29.8339250383715,28454.8153951264,0
"2015/2016",2016,123,123,100,30.9605553796024,28349.0200261818,0
"2016/2017",2017,123,123,100,24.2436748167609,29028.857326024,3
"2017/2018",2018,123,123,100,17.6072376799918,30431.3348579272,0
"2018/2019",2019,123,123,100,30.7852816150149,29773.3458841469,0
"2019/2020",2020,123,123,100,31.4754523404048,26949.1670549549,8
"2020/2021",2021,123,123,100,23.3780309582767,28496.2472351892,3
"2021/2022",2022,123,123,100,31.9078053213963,27904.9506641142,0
"2022/2023",2023,123,123,100,26.0120995671347,29611.3500799681,0
"2023/2024",2024,123,123,100,26.2284366095382,29788.588503886,12
"2024/2025",2025,123,123,100,27.7710856476574,27862.7967894459,0
"2025/2026",2026,123,123,100,29.9677895382811,28694.729775161,0
"2026/2027",2027,123,123,100,31.5868549753512,28410.7114995876,6
"2027/2028",2028,123,123,100,22.6414678657261,29394.893940337,0
"2028/2029",2029,123,123,100,22.5791940799922,29995.9864267167,0
"2029/2030",2030,123,123,100,37.7380650976172,26366.9478702908,0
"2030/2031",2031,123,123,100,23.651832988309,30243.5853363005,0
"2031/2032",2032,123,123,100,35.2549581368969,27339.3179538939,0
"2032/2033",2033,123,123,100,28.182801257992,28838.8286543139,0
