"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2000/2001",2001,123,123,100,24.3943076896881,29451.6092438627,0
"2001/2002",2002,123,123,100,23.9074099340751,30665.040757416,0
"2002/2003",2003,123,123,100,22.1331095418093,30134.0032314947,0
"2003/2004",2004,123,123,100,29.3331459534265,29127.612017171,0
"2004/2005",2005,123,123,100,26.0846024476074,29566.2427724123,0
"2005/2006",2006,123,123,100,17.747052691984,30784.9216312927,0
"2006/2007",2007,123,123,100,24.2429703386892,30500.7936897819,0
"2007/2008",2008,123,123,100,25.2215840305448,29337.7016406634,0
"2008/2009",2009,123,123,100,16.7452227390493,31910.3868264343,0
"2009/2010",2010,123,123,100,24.0879149436346,29900.9177444007,1
"2010/2011",2011,123,123,100,29.4970691805244,28738.8216015475,0
"2011/2012",2012,123,123,100,15.1974631547239,31635.3867483384,0
"2012/2013",2013,123,123,100,22.9854765680763,29876.8093363403,0
"2013/2014",2014,123,123,100,27.3794193455618,28485.7311005767,0
"2014/2015",2015,123,123,100,24.6962318361969,30434.546331136,0
"2015/2016",2016,123,123,100,23.7092637179733,30245.4703654521,0
"2016/2017",2017,123,123,100,17.3258186271628,30956.6616125826,2
"2017/2018",2018,123,123,100,13.3737899860288,32206.6753472777,0
"2018/2019",2019,123,123,100,23.7535976141475,31812.7925831019,0
"2019/2020",2020,123,123,100,23.9312354369283,28886.9913186072,5
"2020/2021",2021,123,123,100,18.6097736581465,30504.9264640035,2
"2021/2022",2022,123,123,100,25.2819077125391,29882.9357785983,0
"2022/2023",2023,123,123,100,18.7206683859227,31429.9474401488,0
"2023/2024",2024,123,123,100,15.4221187594263,31903.6496853172,9
"2024/2025",2025,123,123,100,21.3515791886848,29643.2639521118,0
"2025/2026",2026,123,123,100,22.9454864886396,30508.1733421125,0
"2026/2027",2027,123,123,100,21.2468307878627,30363.1588124847,5
"2027/2028",2028,123,123,100,15.9776126665022,31271.9923308915,0
"2028/2029",2029,123,123,100,17.7167116467592,31811.137015535,0
"2029/2030",2030,123,123,100,31.5834147354328,28473.1756037846,0
"2030/2031",2031,123,123,100,14.7512051960198,32145.3602192467,0
"2031/2032",2032,123,123,100,27.8768626883582,29365.1021480067,0
"2032/2033",2033,123,123,100,18.5460107106771,30907.1269290214,0
"2033/2034",2034,123,123,100,29.8172235139372,27894.8322096327,0
"2034/2035",2035,123,123,100,20.6412460553364,30114.6685477053,0
"2035/2036",2036,123,123,100,12.9668067801473,32167.4407005231,0
"2036/2037",2037,123,123,100,21.8237991374217,30041.1835243842,0
"2037/2038",2038,123,123,100,21.6892937202351,30365.5766184647,0
"2038/2039",2039,123,123,100,25.152792928741,29000.397875349,0
"2039/2040",2040,123,123,100,15.0616983682332,31116.907641897,0
"2040/2041",2041,123,123,100,18.9358419050711,30739.6369705014,0
"2041/2042",2042,123,123,100,18.6090988999713,30762.2667786656,0
"2042/2043",2043,123,123,100,20.2378103959065,30130.4317287235,0
"2043/2044",2044,123,123,100,18.30586740891,30703.2044626251,0
"2044/2045",2045,123,123,100,22.4390753819021,30710.8598242849,0
"2045/2046",2046,123,123,100,16.306764465307,32032.157959125,0
"2046/2047",2047,123,123,100,15.8829119037409,32890.3059925968,0
"2047/2048",2048,123,123,100,14.9456501562042,32139.1660974221,0
"2048/2049",2049,123,123,100,17.9577528780824,30914.6334616896,0
"2049/2050",2050,123,123,100,29.3743944073613,28701.0210253503,0
"2050/2051",2051,123,123,100,23.4411576700031,29720.0070771314,0
"2051/2052",2052,123,123,100,29.2168785400629,29301.3165708538,0
"2052/2053",2053,123,123,100,31.3469648332969,28215.0280298581,0
"2053/2054",2054,123,123,100,23.0478306477967,29173.4830773585,0
"2054/2055",2055,123,123,100,24.7969464116766,29069.8410139829,0
"2055/2056",2056,123,123,100,21.0535664429101,30168.1193439215,2
"2056/2057",2057,123,123,100,27.866401117187,28469.4361206116,1
"2057/2058",2058,123,123,100,30.0936129512224,28537.9497414753,0
"2058/2059",2059,123,123,100,22.0943808838742,29046.1540006828,0
"2059/2060",2060,123,123,100,21.0014393344597,30435.2541199774,0
"2060/2061",2061,123,123,100,22.6804356426376,29977.7516881516,0
"2061/2062",2062,123,123,100,21.7957138441468,30236.3938878383,0
"2062/2063",2063,123,123,100,31.5411349937297,28581.9925305825,0
"2063/2064",2064,123,123,100,22.189246422299,29923.9955927543,0
"2064/2065",2065,123,123,100,32.2400998243224,28533.9791636709,3
"2065/2066",2066,123,123,100,14.2701630723875,31628.8411513055,0
"2066/2067",2067,123,123,100,16.1926754904673,30692.5602929853,0
"2067/2068",2068,123,123,100,21.2799803754801,29296.3206501752,2
"2068/2069",2069,123,123,100,19.1998460458719,30962.8487567855,0
"2069/2070",2070,123,123,100,12.7254828055884,32853.406969836,3
"2070/2071",2071,123,123,100,19.9595206863949,31045.3751149699,0
"2071/2072",2072,123,123,100,26.7265435189411,28397.2933728937,0
"2072/2073",2073,123,123,100,22.1804670008739,29104.8157561272,2
"2073/2074",2074,123,123,100,26.6995907856335,28433.6520273741,2
"2074/2075",2075,123,123,100,35.2325383868756,26709.8977641668,0
"2075/2076",2076,123,123,100,29.1731356707933,27700.4576980956,0
"2076/2077",2077,123,123,100,23.2349143419469,30026.3260974772,0
"2077/2078",2078,123,123,100,21.5003785083909,31385.1435379945,0
"2078/2079",2079,123,123,100,29.2589534106046,28395.0314537082,0
"2079/2080",2080,123,123,100,23.0442562968769,29760.8254607301,0
"2080/2081",2081,123,123,100,23.4083564966422,29949.4204679709,2
"2081/2082",2082,123,123,100,29.2343291075777,27725.4036013503,0
"2082/2083",2083,123,123,100,26.6632869058508,29082.5106790848,0
