"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2000/2001",2001,123,123,100,31.7661496192914,27814.0873679986,0
"2001/2002",2002,123,123,100,29.2783423025366,28800.0618045162,0
"2002/2003",2003,123,123,100,31.8693001284125,28302.4328991769,0
"2003/2004",2004,123,123,100,35.2668825454456,27369.0373120297,0
"2004/2005",2005,123,123,100,35.8650574377953,27627.3104976231,0
"2005/2006",2006,123,123,100,28.0321862073845,29081.6678655855,0
"2006/2007",2007,123,123,100,31.3499940780096,28414.0251447922,0
"2007/2008",2008,123,123,100,30.7261378963652,27497.754297426,0
"2008/2009",2009,123,123,100,23.8832518185881,30617.2102749664,0
"2009/2010",2010,123,123,100,31.8189543192198,28133.3930601892,0
"2010/2011",2011,123,123,100,38.7263935407235,26772.5185435384,0
"2011/2012",2012,123,123,100,24.3917030842709,29604.964316648,0
"2012/2013",2013,123,123,100,28.7142453689756,28053.7799752932,0
"2013/2014",2014,123,123,100,37.3979948432319,26405.7256728855,0
"2014/2015",2015,123,123,100,30.8964734926021,28619.0339880511,0
"2015/2016",2016,123,123,100,31.8403180595338,28592.4211782457,0
"2016/2017",2017,123,123,100,24.5149214613569,29371.5073265457,1
"2017/2018",2018,123,123,100,16.997885118015,30958.3176624533,0
"2018/2019",2019,123,123,100,32.1395386342464,29846.6186586767,0
"2019/2020",2020,123,123,100,31.1960525762267,27002.1133042914,3
"2020/2021",2021,123,123,100,25.9486501650772,28642.233801391,0
"2021/2022",2022,123,123,100,32.6918643860461,28174.4603472995,0
"2022/2023",2023,123,123,100,27.2008684854516,30082.4310402046,0
"2023/2024",2024,123,123,100,26.13773531851,29967.4661425631,8
"2024/2025",2025,123,123,100,27.263777940901,28164.499167386,0
"2025/2026",2026,123,123,100,29.6541072489603,29071.7186906296,0
"2026/2027",2027,123,123,100,32.0734398562757,28674.914759628,4
"2027/2028",2028,123,123,100,27.09789972598,29744.7883047769,0
"2028/2029",2029,123,123,100,24.9750267284081,30361.884067507,0
"2029/2030",2030,123,123,100,39.6295128198797,26457.5944872792,0
"2030/2031",2031,123,123,100,23.4629469243041,30515.0022979411,0
"2031/2032",2032,123,123,100,35.6295587489094,27524.252138617,0
"2032/2033",2033,123,123,100,25.8033222264671,28952.2087218901,0
"2033/2034",2034,123,123,100,40.4527836974796,26006.115408896,0
"2034/2035",2035,123,123,100,28.3835184432128,28422.5693416288,0
"2035/2036",2036,123,123,100,22.0547481007952,30405.3576970911,0
"2036/2037",2037,123,123,100,28.0592858925679,28027.269760712,0
"2037/2038",2038,123,123,100,33.1592531387259,29116.5284227366,0
"2038/2039",2039,123,123,100,34.3398217865929,27213.1292272313,0
"2039/2040",2040,123,123,100,25.8544703335358,29697.7488457067,0
"2040/2041",2041,123,123,100,23.842150067414,28984.6721460624,0
"2041/2042",2042,123,123,100,29.5672785681127,28920.9644675823,0
"2042/2043",2043,123,123,100,27.1186049785101,28313.7570508989,0
"2043/2044",2044,123,123,100,26.8764667509818,28911.7344889836,0
"2044/2045",2045,123,123,100,31.6520585474384,28767.1981251966,0
"2045/2046",2046,123,123,100,23.0114306925871,30221.0979151437,0
"2046/2047",2047,123,123,100,24.4603103112061,31169.8890577387,0
"2047/2048",2048,123,123,100,21.7008946651674,30687.9373493902,0
"2048/2049",2049,123,123,100,26.8611299429795,29060.9230077378,0
"2049/2050",2050,123,123,100,39.235633943008,26851.9881575666,0
"2050/2051",2051,123,123,100,31.5173726466678,28081.4644806664,0
"2051/2052",2052,123,123,100,36.5023887905963,27487.2103346437,0
"2052/2053",2053,123,123,100,39.4557133392775,26267.1511075022,0
"2053/2054",2054,123,123,100,35.9220303730303,27232.7275621826,0
"2054/2055",2055,123,123,100,35.204403023077,27328.856825741,0
"2055/2056",2056,123,123,100,29.7376990023781,28380.754060681,1
"2056/2057",2057,123,123,100,36.9984121889267,26363.7758144671,0
"2057/2058",2058,123,123,100,38.4759999801204,26454.8097681059,0
"2058/2059",2059,123,123,100,31.5542261352198,27335.7104102224,0
"2059/2060",2060,123,123,100,28.2360156197683,28842.1893522078,0
"2060/2061",2061,123,123,100,29.3623696897766,28225.0900341086,0
"2061/2062",2062,123,123,100,31.5412280744381,28123.2045769906,0
"2062/2063",2063,123,123,100,40.7143305300774,26349.349232113,0
"2063/2064",2064,123,123,100,27.5495525852516,28484.1244385857,0
"2064/2065",2065,123,123,100,40.4366093406102,26551.4152135691,3
"2065/2066",2066,123,123,100,24.1832652958833,29814.9602168249,0
"2066/2067",2067,123,123,100,27.9357479317455,29232.93080959,0
"2067/2068",2068,123,123,100,33.4914830202924,27203.386973192,0
"2068/2069",2069,123,123,100,29.1485045579643,29191.2866649348,0
"2069/2070",2070,123,123,100,17.9234845239935,31401.2207346354,3
"2070/2071",2071,123,123,100,24.0068558542607,29165.026819855,0
"2071/2072",2072,123,123,100,35.1533302287039,26296.6351152332,0
"2072/2073",2073,123,123,100,33.2461695384318,27100.0675122645,0
"2073/2074",2074,123,123,100,36.4235772857469,26829.1491794791,0
"2074/2075",2075,123,123,100,44.2017145262107,24518.1747375373,0
"2075/2076",2076,123,123,100,38.0497294812931,25704.7164559029,0
"2076/2077",2077,123,123,100,35.7045968478919,28289.9340086784,0
"2077/2078",2078,123,123,100,29.0008965379952,29898.7139456309,0
"2078/2079",2079,123,123,100,37.1258642456028,26368.1610256918,0
"2079/2080",2080,123,123,100,31.8252409961588,27943.6411476508,0
"2080/2081",2081,123,123,100,31.5737123367626,28187.8479360472,0
"2081/2082",2082,123,123,100,37.342079564361,25766.3456790373,0
"2082/2083",2083,123,123,100,31.907501972526,26970.260902185,0
"2083/2084",2084,123,123,100,33.1428041528256,28083.8477170579,0
"2084/2085",2085,123,123,100,27.6140932420881,28676.0571688972,0
"2085/2086",2086,123,123,100,29.4941033845935,28790.4269620199,0
"2086/2087",2087,123,123,100,24.9358630461393,29896.7793084271,4
"2087/2088",2088,123,123,100,30.1071125339922,26810.0421598628,2
"2088/2089",2089,123,123,100,37.2655533570123,27763.8012369797,0
"2089/2090",2090,123,123,100,38.0890991910865,26866.748619264,0
"2090/2091",2091,123,123,100,33.8210906802528,28269.4801436812,0
"2091/2092",2092,123,123,100,41.0338700883945,26580.6057977099,0
"2092/2093",2093,123,123,100,32.6376672737874,27770.0851516537,3
"2093/2094",2094,123,123,100,23.1392380515731,31408.5007796399,0
"2094/2095",2095,123,123,100,24.9077643570881,29663.2359095886,0
"2095/2096",2096,123,123,100,32.8980937011693,28202.1722412463,0
"2096/2097",2097,123,123,100,38.2288040449989,26050.9807107206,0
"2097/2098",2098,123,123,100,25.7077255891413,28997.0196771752,0
"2098/2099",2099,123,123,100,29.1610727535895,28408.9148213416,0
"2099/2100",2100,123,123,100,32.2002513044822,26954.9454458952,0
"2100/2101",2101,123,123,100,23.8100140088154,29881.8619914409,0
