"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2000/2001",2001,123,123,100,48.4018818163807,23689.1131129388,0
"2001/2002",2002,123,123,100,42.0082253657052,24537.6433637883,1
"2002/2003",2003,123,123,100,48.0120187461182,24067.7721609301,0
"2003/2004",2004,123,123,100,46.8575141820698,23218.0115154647,0
"2004/2005",2005,123,123,100,53.2770901497308,23363.5180897064,1
"2005/2006",2006,123,123,100,45.0540336583703,24874.2518621146,0
"2006/2007",2007,123,123,100,39.7349013810872,24092.5994452137,0
"2007/2008",2008,123,123,100,47.0046588195062,23362.5321082601,0
"2008/2009",2009,123,123,100,32.8377348817526,26697.1388512448,0
"2009/2010",2010,123,123,100,46.029929782443,24012.9632110599,3
"2010/2011",2011,123,123,100,52.0615369034693,22510.8323413557,0
"2011/2012",2012,123,123,100,42.5024598489307,25145.7867075067,0
"2012/2013",2013,123,123,100,45.7701696277826,23857.8635276014,0
"2013/2014",2014,123,123,100,50.6155053512032,22087.7392325618,0
"2014/2015",2015,123,123,100,45.6030439631572,24424.1839098337,0
"2015/2016",2016,123,123,100,43.3079416037826,24493.6344528554,0
"2016/2017",2017,123,123,100,39.7771724770228,25242.5058396852,4
"2017/2018",2018,123,123,100,39.4413151181787,26973.2200652657,1
"2018/2019",2019,123,123,100,41.354358275617,25507.2685332664,0
"2019/2020",2020,123,123,100,48.0588839545642,22872.5247303199,10
"2020/2021",2021,123,123,100,47.3565085328794,24388.1269121864,3
"2021/2022",2022,123,123,100,47.7841964456582,24012.0967663266,0
"2022/2023",2023,123,123,100,36.34052065842,26091.7675197828,1
"2023/2024",2024,123,123,100,39.897596551034,25569.4968696721,14
"2024/2025",2025,123,123,100,42.2674540135213,24256.787933277,0
"2025/2026",2026,123,123,100,41.9248580288709,25149.8856651164,0
"2026/2027",2027,123,123,100,47.1789756974322,24514.1605680985,7
"2027/2028",2028,123,123,100,41.149671125816,25609.0036782227,0
"2028/2029",2029,123,123,100,38.9997141935498,26303.6896263976,0
"2029/2030",2030,123,123,100,56.46944047697,22180.3752432847,0
"2030/2031",2031,123,123,100,32.8886671856774,26350.0896835667,0
"2031/2032",2032,123,123,100,48.5922816466896,23342.5618094495,0
"2032/2033",2033,123,123,100,41.4487234591149,24597.0029840074,0
"2033/2034",2034,123,123,100,54.845569582249,21848.5834212922,0
"2034/2035",2035,123,123,100,44.3909603055604,24356.8745448026,0
"2035/2036",2036,123,123,100,36.871435855503,26097.3172347373,0
"2036/2037",2037,123,123,100,52.0998765576862,23579.1393385143,0
"2037/2038",2038,123,123,100,41.6318811549293,25333.0651667919,0
"2038/2039",2039,123,123,100,49.1864454226079,23134.8747419436,0
"2039/2040",2040,123,123,100,40.4633850526009,25659.0834056879,0
"2040/2041",2041,123,123,100,42.5397486202683,24813.8215127215,0
"2041/2042",2042,123,123,100,44.8883307158358,24640.1655487064,0
"2042/2043",2043,123,123,100,46.1816348605835,24100.4447684987,0
"2043/2044",2044,123,123,100,43.3451410543094,24678.0172169935,0
"2044/2045",2045,123,123,100,45.0213978228408,24449.3563118381,0
"2045/2046",2046,123,123,100,38.8242835244259,25871.9114185814,0
"2046/2047",2047,123,123,100,37.4705777668883,26907.8118445352,0
"2047/2048",2048,123,123,100,38.8356131897458,26536.5948717669,0
"2048/2049",2049,123,123,100,39.9288992637976,24843.3629366709,0
"2049/2050",2050,123,123,100,47.8049296248464,22725.2710118899,0
"2050/2051",2051,123,123,100,44.9580159073162,24078.1943398537,4
"2051/2052",2052,123,123,100,49.048890842736,23436.4888695609,1
"2052/2053",2053,123,123,100,53.1056727988239,22075.4914498283,0
"2053/2054",2054,123,123,100,50.6590195553113,23050.1108083092,0
"2054/2055",2055,123,123,100,51.3172062258127,23245.3689179625,0
"2055/2056",2056,123,123,100,45.5008006713765,24161.409244691,4
"2056/2057",2057,123,123,100,49.4007740119669,22098.0692535713,3
"2057/2058",2058,123,123,100,50.9121871320649,22119.2945271246,0
"2058/2059",2059,123,123,100,47.9361184710169,23259.6994592343,0
"2059/2060",2060,123,123,100,43.8218874777535,24757.9609171525,0
"2060/2061",2061,123,123,100,40.8638494253028,24138.7168382015,0
"2061/2062",2062,123,123,100,46.0937970804084,23722.4519799566,0
"2062/2063",2063,123,123,100,50.9670176681807,21958.5894720592,0
"2063/2064",2064,123,123,100,46.0311031415326,24498.8446789682,0
"2064/2065",2065,123,123,100,52.6347048150142,22341.7168260124,6
"2065/2066",2066,123,123,100,35.9095001772839,25535.6809200021,0
"2066/2067",2067,123,123,100,40.8693337089921,25275.9668799872,1
"2067/2068",2068,123,123,100,48.9295677617993,22869.6533183865,5
