"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2000/2001",2001,123,123,100,25.6898933893768,28910.6347436956,0
"2001/2002",2002,123,123,100,25.7424299259949,30114.0076796213,0
"2002/2003",2003,123,123,100,27.5129124679808,29592.2114212448,0
"2003/2004",2004,123,123,100,30.4774003271385,28591.2968186372,0
"2004/2005",2005,123,123,100,29.6524156756759,28987.4380466593,0
"2005/2006",2006,123,123,100,20.5763180780185,30219.7185727962,0
"2006/2007",2007,123,123,100,25.7019813466441,29976.1945582929,0
"2007/2008",2008,123,123,100,25.1418571098209,28771.1842771861,0
"2008/2009",2009,123,123,100,17.702267014029,31453.9198878286,0
"2009/2010",2010,123,123,100,28.199624529345,29361.7393874482,2
"2010/2011",2011,123,123,100,29.5003961086474,28192.7035667945,0
"2011/2012",2012,123,123,100,17.0187635996501,31090.3426388765,0
"2012/2013",2013,123,123,100,24.6543353514004,29337.9499904835,0
"2013/2014",2014,123,123,100,29.7922420369355,27925.535195502,0
"2014/2015",2015,123,123,100,26.6707168021287,29904.5700807036,0
"2015/2016",2016,123,123,100,27.5832606600816,29701.7738070078,0
"2016/2017",2017,123,123,100,18.1013456592043,30441.4140446624,3
"2017/2018",2018,123,123,100,14.682242343677,31642.5334525288,0
"2018/2019",2019,123,123,100,27.0249875579663,31224.0921158772,0
"2019/2020",2020,123,123,100,27.215281573155,28335.8251380441,7
"2020/2021",2021,123,123,100,18.8525078891677,29958.42947711,2
"2021/2022",2022,123,123,100,27.0512807031279,29386.010288401,0
"2022/2023",2023,123,123,100,20.8088270103676,30913.8653100263,0
"2023/2024",2024,123,123,100,19.2745960496374,31320.7425038284,10
"2024/2025",2025,123,123,100,23.273609688201,29111.9091902012,0
"2025/2026",2026,123,123,100,24.025109090978,29968.2854305524,0
"2026/2027",2027,123,123,100,23.0008443718535,29827.6359812086,5
"2027/2028",2028,123,123,100,16.455639198142,30751.16758304,0
"2028/2029",2029,123,123,100,19.4720107942564,31273.3978824564,0
"2029/2030",2030,123,123,100,33.1941407931482,27934.0648911935,0
"2030/2031",2031,123,123,100,17.8914058308441,31651.4314494259,0
"2031/2032",2032,123,123,100,30.1782289620063,28789.8317483882,0
"2032/2033",2033,123,123,100,22.715957712961,30348.7784044254,0
"2033/2034",2034,123,123,100,33.7527002010168,27344.103927122,0
"2034/2035",2035,123,123,100,22.6168983463233,29595.8763226494,0
"2035/2036",2036,123,123,100,14.9435762041971,31602.1374369147,0
"2036/2037",2037,123,123,100,24.7027148897204,29415.2503012707,0
"2037/2038",2038,123,123,100,24.0633591524467,29790.9495712332,0
"2038/2039",2039,123,123,100,28.6702434026031,28494.5175931947,0
"2039/2040",2040,123,123,100,18.1042615613437,30572.1950797802,0
"2040/2041",2041,123,123,100,20.9970670726275,30157.4532435071,0
"2041/2042",2042,123,123,100,22.7473230231742,30245.1394470865,0
"2042/2043",2043,123,123,100,23.6296073912565,29610.3211940723,0
"2043/2044",2044,123,123,100,22.1637364984645,30176.3451264109,0
"2044/2045",2045,123,123,100,24.8589568541611,30137.6819308223,0
"2045/2046",2046,123,123,100,17.7558558723376,31468.7776288437,0
"2046/2047",2047,123,123,100,18.924039040071,32298.7776695555,0
"2047/2048",2048,123,123,100,17.7352601753228,31596.6684789537,0
"2048/2049",2049,123,123,100,18.9192744017373,30390.388747558,0
"2049/2050",2050,123,123,100,30.6710651375663,28125.6192199998,0
"2050/2051",2051,123,123,100,27.4294333458856,29199.9448850239,1
"2051/2052",2052,123,123,100,30.3169817416263,28739.1951140072,0
"2052/2053",2053,123,123,100,33.4390302754393,27646.0917904582,0
"2053/2054",2054,123,123,100,23.1709521134474,28636.7011267832,0
"2054/2055",2055,123,123,100,24.4813001312066,28583.3282328034,0
"2055/2056",2056,123,123,100,24.2004131032222,29617.8787371982,3
"2056/2057",2057,123,123,100,30.0305037304327,27969.4387184074,1
"2057/2058",2058,123,123,100,30.2006632948951,28022.9847940039,0
"2058/2059",2059,123,123,100,25.9308546836655,28465.0076561868,0
"2059/2060",2060,123,123,100,22.5208431708227,29848.2285102531,0
"2060/2061",2061,123,123,100,25.355395997113,29473.542592261,0
