"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2000/2001",2001,123,123,100,18.1002193251226,31526.8108361367,0
"2001/2002",2002,123,123,100,16.4223685618456,32830.9070714861,0
"2002/2003",2003,123,123,100,14.2289333797541,32287.5400854321,0
"2003/2004",2004,123,123,100,22.0618103200411,31293.469214027,0
"2004/2005",2005,123,123,100,19.4565948038455,31697.9666409538,0
"2005/2006",2006,123,123,100,13.966001343652,32921.9133556453,0
"2006/2007",2007,123,123,100,17.012883042285,32706.7409992835,0
"2007/2008",2008,123,123,100,20.456636209886,31428.6770593763,0
"2008/2009",2009,123,123,100,15.5494537292915,33995.5626175293,0
"2009/2010",2010,123,123,100,17.4438614376845,31987.390168793,0
"2010/2011",2011,123,123,100,22.9093420536401,30916.1338664698,0
"2011/2012",2012,123,123,100,10.8658832563228,33943.2388919019,0
"2012/2013",2013,123,123,100,20.0898049278937,32037.0630700414,0
"2013/2014",2014,123,123,100,19.6605355077672,30716.4808433203,0
"2014/2015",2015,123,123,100,17.0384645860498,32548.0585474011,0
"2015/2016",2016,123,123,100,18.0596849400425,32308.881080644,0
"2016/2017",2017,123,123,100,13.5462019744024,33118.9396421656,0
"2017/2018",2018,123,123,100,10.41984810327,34249.5644263595,0
"2018/2019",2019,123,123,100,16.130421225816,33907.8557376466,0
"2019/2020",2020,123,123,100,22.4751938048437,30901.1669115582,0
"2020/2021",2021,123,123,100,12.3706033711926,32678.4891095376,0
"2021/2022",2022,123,123,100,18.6241498071474,32050.638278082,0
"2022/2023",2023,123,123,100,10.269457933089,33534.3847746979,0
"2023/2024",2024,123,123,100,12.7716079710544,34145.2727785856,3
"2024/2025",2025,123,123,100,18.668286175978,31621.7049831548,0
"2025/2026",2026,123,123,100,16.8904223465954,32517.6387964091,0
"2026/2027",2027,123,123,100,16.0512054825509,32468.7485667639,1
"2027/2028",2028,123,123,100,8.99543139575673,33391.0660038819,0
"2028/2029",2029,123,123,100,15.8713605827449,33854.1869866825,0
"2029/2030",2030,123,123,100,23.0806011038979,30692.470377434,0
"2030/2031",2031,123,123,100,10.0518124978435,34265.0246947901,0
"2031/2032",2032,123,123,100,19.582134941279,31504.0001024213,0
"2032/2033",2033,123,123,100,13.759196159504,33098.0151360068,0
"2033/2034",2034,123,123,100,27.0882233339238,30087.8948237547,0
"2034/2035",2035,123,123,100,17.3240195648114,32232.0126499208,0
"2035/2036",2036,123,123,100,11.0675449200886,34278.7739153551,0
"2036/2037",2037,123,123,100,16.0292003550408,32267.2153741047,0
"2037/2038",2038,123,123,100,20.0247668218768,32354.7998419954,0
"2038/2039",2039,123,123,100,22.5269004241072,31101.5374318827,0
"2039/2040",2040,123,123,100,11.0545082886388,33302.2473375723,0
"2040/2041",2041,123,123,100,13.1253078021789,32891.5534524815,0
"2041/2042",2042,123,123,100,12.1374611148245,32919.1568361502,0
"2042/2043",2043,123,123,100,12.970991058674,32269.7993572475,0
"2043/2044",2044,123,123,100,15.8190408511387,32928.3537045084,0
"2044/2045",2045,123,123,100,17.2880581854255,32943.4370372696,0
"2045/2046",2046,123,123,100,12.3712634822896,34234.771413642,0
"2046/2047",2047,123,123,100,11.8810574624014,35076.8435647022,0
"2047/2048",2048,123,123,100,10.3478670636869,34079.2729708357,0
"2048/2049",2049,123,123,100,13.5749790666956,33092.2797083892,0
"2049/2050",2050,123,123,100,23.7426010231754,30883.514267006,0
"2050/2051",2051,123,123,100,19.8426237970554,31703.1631698469,0
"2051/2052",2052,123,123,100,20.9341036168482,31464.1394555904,0
"2052/2053",2053,123,123,100,22.4410010517881,30372.2735505933,0
"2053/2054",2054,123,123,100,13.0519954564323,31352.2681142604,0
"2054/2055",2055,123,123,100,19.5764524272499,31319.5100504076,0
"2055/2056",2056,123,123,100,15.6477598731823,32307.3345239479,0
"2056/2057",2057,123,123,100,22.0904878141666,30691.6371090151,0
"2057/2058",2058,123,123,100,24.3566152513768,30743.8188865045,0
"2058/2059",2059,123,123,100,14.800258374001,31096.0971640926,0
"2059/2060",2060,123,123,100,16.6970406417299,32510.0485055912,0
"2060/2061",2061,123,123,100,17.2507066330431,32128.8331302973,0
"2061/2062",2062,123,123,100,15.1598743014338,32519.7312830715,0
"2062/2063",2063,123,123,100,23.6704899554777,30854.8232204271,0
"2063/2064",2064,123,123,100,18.3729258897515,32043.1067035217,0
"2064/2065",2065,123,123,100,23.433548412992,30721.087567633,0
"2065/2066",2066,123,123,100,12.7442098994031,33824.3688695058,0
"2066/2067",2067,123,123,100,14.5139743296468,32746.5867797062,0
"2067/2068",2068,123,123,100,14.5043800072542,31585.4567133859,0
"2068/2069",2069,123,123,100,15.4243630604069,33112.4205144355,0
"2069/2070",2070,123,123,100,8.11329299390741,34925.9180857372,2
"2070/2071",2071,123,123,100,13.2189032553429,33260.4749767277,0
"2071/2072",2072,123,123,100,22.7829409661233,30642.338841645,0
"2072/2073",2073,123,123,100,14.7747629353339,31322.855450578,0
"2073/2074",2074,123,123,100,23.7342303871767,30411.483269278,0
"2074/2075",2075,123,123,100,28.9204516106993,28904.4879269805,0
"2075/2076",2076,123,123,100,25.1210312705068,29970.4487014804,0
"2076/2077",2077,123,123,100,16.6322190491769,32137.3118444495,0
"2077/2078",2078,123,123,100,15.1593965743,33412.1781368572,0
"2078/2079",2079,123,123,100,20.560500423554,30610.6027540863,0
"2079/2080",2080,123,123,100,17.0192625523375,31959.4653076455,0
