"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2000/2001",2001,123,123,100,17.1080499803654,32131.7015344905,0
"2001/2002",2002,123,123,100,16.2966950917399,33482.1611069899,0
"2002/2003",2003,123,123,100,14.354010301418,32859.834599109,0
"2003/2004",2004,123,123,100,23.1233149617998,31850.4661861892,0
"2004/2005",2005,123,123,100,16.4709851088024,32368.6582042173,0
"2005/2006",2006,123,123,100,13.0778897702677,33525.6235393528,0
"2006/2007",2007,123,123,100,20.0671110071711,33375.7553269971,0
"2007/2008",2008,123,123,100,18.6750614039335,32052.4186620672,0
"2008/2009",2009,123,123,100,15.4515450632438,34343.7765413501,0
"2009/2010",2010,123,123,100,15.2516513836651,32602.0881844964,0
"2010/2011",2011,123,123,100,19.8020229757916,31579.4792192345,0
"2011/2012",2012,123,123,100,9.81499163575566,34503.0376931988,0
"2012/2013",2013,123,123,100,19.9995827664303,32577.1349485801,0
"2013/2014",2014,123,123,100,16.9362261399104,31328.019828079,0
"2014/2015",2015,123,123,100,14.0773599042286,33205.2956146966,0
"2015/2016",2016,123,123,100,17.1979803759951,32872.5346861258,0
"2016/2017",2017,123,123,100,10.9346684309607,33603.6191486286,0
"2017/2018",2018,123,123,100,8.01688891140691,34712.2065056567,0
"2018/2019",2019,123,123,100,15.8475567269703,34679.1413018638,0
"2019/2020",2020,123,123,100,21.0315962173831,31630.533462998,1
"2020/2021",2021,123,123,100,10.4677848829812,33232.4840906002,0
"2021/2022",2022,123,123,100,18.7050330408999,32590.8748119888,0
"2022/2023",2023,123,123,100,10.1262922522224,33948.6006610184,0
"2023/2024",2024,123,123,100,11.577036972505,34708.2651931699,4
"2024/2025",2025,123,123,100,17.6939499185754,32271.2492846348,0
"2025/2026",2026,123,123,100,15.0358605678082,33197.2823130619,0
"2026/2027",2027,123,123,100,14.3247411482703,33026.7423327779,3
"2027/2028",2028,123,123,100,6.99642095313442,33888.8842626666,0
"2028/2029",2029,123,123,100,13.7670394103984,34291.1321416353,0
"2029/2030",2030,123,123,100,17.9556036564276,31268.6700175316,0
"2030/2031",2031,123,123,100,9.06247323811726,34772.5106379981,0
