"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2000/2001",2001,123,123,100,17.8250816621037,31192.1646153172,0
"2001/2002",2002,123,123,100,18.9230383234317,32507.6138770051,0
"2002/2003",2003,123,123,100,16.1258982049301,31941.7466708432,0
"2003/2004",2004,123,123,100,24.8859637281573,30935.034401282,0
"2004/2005",2005,123,123,100,20.4314561720636,31420.5502113354,0
"2005/2006",2006,123,123,100,14.0986334247534,32546.071945229,0
"2006/2007",2007,123,123,100,21.3957658014914,32409.0079880573,0
"2007/2008",2008,123,123,100,21.4580396620977,31136.9658301455,0
"2008/2009",2009,123,123,100,14.6008178400963,33527.8544048907,0
"2009/2010",2010,123,123,100,20.0502514900482,31668.3764264698,0
"2010/2011",2011,123,123,100,22.9726138259948,30603.6357996967,0
"2011/2012",2012,123,123,100,11.7600821650805,33537.732628844,0
"2012/2013",2013,123,123,100,21.9708961905246,31711.5599904472,0
"2013/2014",2014,123,123,100,20.6072515995006,30338.6279296235,0
"2014/2015",2015,123,123,100,16.8887122656827,32275.1348874778,0
"2015/2016",2016,123,123,100,17.1382441779713,31965.3674515637,0
"2016/2017",2017,123,123,100,13.4167062835135,32722.590727539,0
"2017/2018",2018,123,123,100,10.01737727523,33860.0831944507,0
"2018/2019",2019,123,123,100,15.8099448984688,33698.2478560847,0
"2019/2020",2020,123,123,100,22.1413014805752,30680.4765235675,0
"2020/2021",2021,123,123,100,12.5146677896965,32344.0867306557,1
"2021/2022",2022,123,123,100,20.7077145594445,31665.8625132637,0
"2022/2023",2023,123,123,100,10.9166556523344,33115.1078211386,0
"2023/2024",2024,123,123,100,11.75377318186,33728.6943921894,3
"2024/2025",2025,123,123,100,19.8725279606184,31337.7963541634,0
"2025/2026",2026,123,123,100,17.0632369452161,32247.6225975612,0
"2026/2027",2027,123,123,100,16.4379004737624,32098.026017928,1
"2027/2028",2028,123,123,100,9.02854457991566,33070.0735887107,0
