"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2000/2001",2001,123,123,100,39.6875220605983,26370.746991172,0
"2001/2002",2002,123,123,100,34.517938468948,27283.1689205151,1
"2002/2003",2003,123,123,100,38.4633549151073,26793.181846847,0
"2003/2004",2004,123,123,100,40.1646555023957,25883.6561574617,0
"2004/2005",2005,123,123,100,39.1641384027085,26112.2346958658,0
"2005/2006",2006,123,123,100,32.5967157312739,27512.9919895184,0
"2006/2007",2007,123,123,100,35.7093670121909,26865.1615877267,0
"2007/2008",2008,123,123,100,37.3874767089391,25960.3024471699,0
"2008/2009",2009,123,123,100,25.7553574275271,29167.6227439499,2
"2009/2010",2010,123,123,100,37.231259303691,26715.4734005504,3
"2010/2011",2011,123,123,100,41.817854353727,25225.9538268733,0
"2011/2012",2012,123,123,100,28.6778355938782,27933.3115952504,0
"2012/2013",2013,123,123,100,33.7527967861906,26536.3088600764,0
"2013/2014",2014,123,123,100,41.3578477526803,24801.432731326,0
"2014/2015",2015,123,123,100,35.5739754377141,27100.5233007122,0
"2015/2016",2016,123,123,100,36.2834156810111,27124.4530453763,0
"2016/2017",2017,123,123,100,31.4643917862169,27821.9856541792,2
"2017/2018",2018,123,123,100,23.7927741047248,29520.5681406159,1
"2018/2019",2019,123,123,100,31.9120756331341,28269.9713198934,0
"2019/2020",2020,123,123,100,37.7512886946771,25556.7858410482,9
"2020/2021",2021,123,123,100,33.0514068959906,27030.2410975145,3
"2021/2022",2022,123,123,100,35.4221532024911,26699.7547863214,0
"2022/2023",2023,123,123,100,29.8005075392961,28620.0538678309,0
"2023/2024",2024,123,123,100,31.1489946284066,28339.2595621888,12
"2024/2025",2025,123,123,100,31.4143009687239,26769.5261452817,0
"2025/2026",2026,123,123,100,34.1081132909972,27687.2255429975,0
"2026/2027",2027,123,123,100,34.8464356099619,27205.2981697898,6
"2027/2028",2028,123,123,100,30.9478967310561,28187.6939182621,0
"2028/2029",2029,123,123,100,29.8318935373325,28857.6596778058,0
"2029/2030",2030,123,123,100,42.9045540974016,24925.3515566499,0
"2030/2031",2031,123,123,100,23.4199777352489,28969.8936862526,0
"2031/2032",2032,123,123,100,40.7626620106146,25981.3722733851,0
"2032/2033",2033,123,123,100,34.3205388683623,27348.840125036,0
"2033/2034",2034,123,123,100,44.2560751788822,24458.2934802962,0
"2034/2035",2035,123,123,100,31.8416332488089,26945.0554602635,0
"2035/2036",2036,123,123,100,26.867480846088,28876.0260564368,0
"2036/2037",2037,123,123,100,36.9183748833063,26448.9481619922,0
"2037/2038",2038,123,123,100,34.9097401636488,27705.7869564397,0
"2038/2039",2039,123,123,100,39.7359490285751,25691.5933924075,0
"2039/2040",2040,123,123,100,30.3809533154529,28183.5789714791,0
"2040/2041",2041,123,123,100,29.2237094919165,27428.4925530357,0
"2041/2042",2042,123,123,100,35.8587853600434,27335.8967332859,0
