"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2000/2001",2001,123,123,100,0.258190891705736,55.5007060842585,33.1711539680547,0.322404811113019,53.3916135418675,780.227045877522,389,224.308551441442,-93.5,888,199,145.5,33.4182151686949
"2001/2002",2002,123,123,100,0.510567293796126,51.2404219015358,32.9755406259154,0.602961306395932,52.6578349855924,706.779459200149,302,80.8340675011559,-146,791,190,26,28.779326295533
"2002/2003",2003,123,123,100,0.254653688431489,71.9629941461337,32.5044212984499,0.327841631471519,53.514738275122,757.915255563894,353,137.725796774866,-75.5,863,224,89.5,32.0722464960934
"2003/2004",2004,123,123,100,0.308304457007989,59.4170724248426,33.7668521696004,0.422598375921149,54.1513760328508,790.34361532669,431.5,238.731160845247,-3,899,231,193.5,35.6564430217371
"2004/2005",2005,123,123,100,0.414695631478787,59.6382985145977,33.718068217646,0.4945860598057,54.1348136025705,760.182330121617,430,188.691877467087,19,861.5,231,150,34.9768460266644
"2005/2006",2006,123,123,100,0.364915401169417,41.716716926756,32.2234661340743,0.416569654680683,51.6830653839189,701.872957793494,282,93.6888283637854,-192.5,806,159,12.5,26.5271642764041
"2006/2007",2007,123,123,100,0.747748540513725,73.6035255712731,33.6797891499155,0.797094495895125,53.9692475720851,726.933158056382,371,83.6801426732709,-35.5,800,251,54,31.5821028927794
"2007/2008",2008,123,123,100,0.632166791003235,68.7968527053672,34.1201385309983,0.848825531462805,54.1107751189356,782.033997105436,393.5,200.647670934934,-49,878,236,144.5,30.7334071514566
"2008/2009",2009,123,123,100,0.399251232202938,63.1592974180239,29.8862172813715,0.551629931100545,48.8588516038759,664.887771537502,104.5,-122.753068862516,-461.5,744,199,-166.5,23.7750562352737
"2009/2010",2010,123,123,100,0.699278449269205,69.664258009907,32.6269284240996,0.816919424549964,53.2120411215197,771.217065947048,346,148.827560241902,-113,872.5,228,97,29.2095751748074
"2010/2011",2011,123,123,100,0.0158764208646026,63.9527316767868,34.3272268532868,0.1332895403365,55.5891659950513,810.648461678558,498.5,304.037694110812,115.5,919,233,237.5,36.7901809482841
"2011/2012",2012,123,123,100,0.0480825893698043,40.1636508380822,32.3279509817517,0.106341763916834,51.9747156284925,649.981104529237,253,6.64476663144887,-168.5,750,138,-43.5,24.1795920530225
"2012/2013",2013,123,123,100,0.648384873324287,62.0202592379081,33.0743326865001,0.68870843156897,53.7892761954356,776.908626051696,373,172.287625716257,-79,870.5,219,115.5,29.6748902649059
"2013/2014",2014,123,123,100,0.549071038710279,70.5625187244847,34.7936193131224,0.779665306863855,56.3801147848854,821.564923424012,555.5,349.297817711493,181,940,255,301.5,40.1187059670899
"2014/2015",2015,123,123,100,0.199879384691971,59.4283599463471,32.5937760753367,0.215328768562936,52.8783906576643,732.716195257184,319,87.4541658452363,-126,830,204,55,29.9344427899503
"2015/2016",2016,123,123,100,0.441809418583575,65.7622770064433,31.7845383760091,0.597191813618543,52.5502170485539,776.765434123641,313.5,111.772922152108,-172,869,230,64,30.3216817797809
"2016/2017",2017,123,123,100,0.0540052430613258,61.9596847490647,31.3542403294847,0.0581694554925958,51.3617024673025,690.277605207601,251.5,27.3976260723211,-217.5,794.5,207,-33.5,23.2191547446129
"2017/2018",2018,123,123,100,0,47.4080106677658,29.9273636746014,-0.0325606891904371,48.0494336567743,607.725612119542,82.5,-182.054104082643,-459.5,691.5,161,-235,17.3371073719613
"2018/2019",2019,123,123,100,0.0126253369868517,43.2429059774155,32.7071786058878,0.0426430857692746,51.4984717737629,647.723837332273,211,-41.5337676584386,-237,741,150,-98.5,30.3915961219976
"2019/2020",2020,123,123,100,2.71578078180237,92.9905961434181,33.8599357123545,2.9357714659609,55.555822132587,843.836565120033,450,229.374030340652,41,932.5,331,187,31.5573993393135
"2020/2021",2021,123,123,100,0.476763139063149,57.6465293140728,31.8198379435306,0.556504331413374,52.6877789174248,745.728976143906,306.5,105.019341294872,-159,848,192,46.5,23.9118880143631
"2021/2022",2022,123,123,100,0.240548993923237,49.7962298667891,32.8014392779949,0.306602480791307,53.0693321200484,760.550924825566,351,169.877683970451,-112,871.5,195,112,31.375836546025
"2022/2023",2023,123,123,100,0.0133312217483735,51.6208556308991,30.4371516888691,0.113864739867052,49.6495645270784,658.504877504354,175,-50.6077208891074,-363,749.5,165,-116.5,26.6069022623064
"2023/2024",2024,123,123,100,1.74728654717736,36.8889700693722,33.1267604649564,1.74804294731461,51.6117806802079,599.77644120486,225.5,-74.8467876313807,-204,682,131,-121,26.7344230814612
"2024/2025",2025,123,123,100,0.0064548996856147,89.2363405346034,30.8996752022891,0.0198979249425812,52.4785313334363,827.046496533807,339,133.052883136726,-154.5,926.5,299,91,28.1819726230727
"2025/2026",2026,123,123,100,0.773469975762617,47.7833319012438,32.360592629623,0.908322246298437,50.729589606569,698.451606225161,233.5,7.27134921513789,-268.5,792,187,-40,30.8878923000491
"2026/2027",2027,123,123,100,1.14396567192986,52.4238852248957,32.9806505142209,1.2830009336503,52.6208860612952,727.058251115006,324.5,101.305246725577,-146.5,832.5,196,52,30.5545831337122
"2027/2028",2028,123,123,100,0,45.4827338296577,30.3434673222646,0,50.4133078801669,709.484068963418,186,9.59008263434225,-300,816,168,-66.5,22.7742041987344
"2028/2029",2029,123,123,100,0,65.528475111227,30.6590345840107,-0.034879159141068,49.6600622250565,685.474269364779,157.5,-88.6073142553796,-371,777,218,-108.5,23.405474557222
"2029/2030",2030,123,123,100,0.277482102694073,61.5241830798667,35.0197206922045,0.416959557665152,56.0655087342718,819.181941152478,539.5,352.165757753843,147.5,926.5,243,279,37.5743155331005
"2030/2031",2031,123,123,100,0,61.7959542166232,30.2903599333028,-0.04027877216494,49.9617592019269,680.539411743139,140.5,-93.5900750416477,-380.5,770.5,205,-138,23.5251039882228
"2031/2032",2032,123,123,100,0.534161687923008,54.3584302952946,33.8198185391289,0.720207903795621,54.0716131032584,769.914473541528,418.5,231.941439115559,-15.5,890.5,205,166,34.9619479230491
"2032/2033",2033,123,123,100,0.293813743463201,41.2905030500642,33.1172962655738,0.301093351336682,52.3750538658949,643.373286889168,301.5,42.7419955070509,-98.5,741,137,-32,27.1282400117825
"2033/2034",2034,123,123,100,0.0098644769751725,75.3943334619352,34.3897224451666,0.0400970206665041,56.3237955352846,858.462763751195,581,395.108864758964,167.5,964,286,334.5,39.9042198692543
"2034/2035",2035,123,123,100,0.443876703288758,69.3546351688671,31.9730011344988,0.569149514819829,52.6244107602182,766.938795598544,337.5,114.29986656738,-135.5,859,253,62.5,27.1469216209734
"2035/2036",2036,123,123,100,0.0155828644323026,32.2109007514217,31.5640060205647,0.0707636038754369,50.2216728601247,635.673630783007,169.5,-68.5398690098373,-330,732,137,-126,21.8253134870622
