"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2000/2001",2001,123,123,100,0.0563228194269123,44.9263036063867,32.1456065109887,0.116792696040064,51.1345732140281,691.915739335916,251.5,50.8827484861488,-263,792.5,157,-17,25.0880881932684
"2001/2002",2002,123,123,100,0.27273558161854,42.2268582519068,31.9446442027486,0.320879700628456,50.4019017991941,625.670959506168,164,-96.1267044653641,-318.5,708.5,154,-145,25.4873967073166
"2002/2003",2003,123,123,100,0.0846084183821534,61.9395598743194,31.4795965185219,0.126387259392223,51.2598920451509,676.385143112364,217.5,-31.843687078861,-245.5,766,195,-89.5,22.2048093216086
"2003/2004",2004,123,123,100,0.151000301134705,48.5011537485183,32.7071506930871,0.184405237407827,51.8962583753051,705.357442549003,290.5,64.5949946959372,-169.5,805.5,192,12,29.9217488963746
"2004/2005",2005,123,123,100,0.204186571352143,47.6846694066468,32.6668091148551,0.257444956544185,51.8775494315445,678.641899531643,297,13.2909124678699,-168,775,178,-22.5,29.7424424055158
"2005/2006",2006,123,123,100,0.212773221395899,32.5077173637655,31.2214898127949,0.258219464771298,49.4269123810427,618.750165616874,155,-82.6420702455507,-373.5,713.5,130,-156.5,20.5596454528437
"2006/2007",2007,123,123,100,0.438592640876816,62.9740037124819,32.6293271087899,0.5284701334166,51.7141855699852,654.569665980355,232.5,-90.8070702919686,-235,729.5,215,-97.5,26.9687357524629
"2007/2008",2008,123,123,100,0.250476346891463,58.1506500149911,33.0400999990338,0.279841464722795,51.8554457493622,697.761888059826,261.5,30.1436569155449,-208,777.5,194,-32.5,26.0986060241645
"2008/2009",2009,123,123,100,0.0895560583212435,53.9630879968962,28.945028322926,0.140008270850487,46.6013627857732,592.206532084696,-26,-285.924286017216,-629,675.5,172,-302.5,18.7834678619882
"2009/2010",2010,123,123,100,0.290347353943086,59.3580489599956,31.5928420750844,0.39867646380532,50.9556674955464,687.970259412756,211,-21.558916190188,-280.5,781.5,196,-64.5,25.8429555353821
"2010/2011",2011,123,123,100,0,52.5962576248309,33.2467298562993,0,53.3338874105438,723.507734553608,365.5,130.947469910912,-62.5,835,196,86,31.7613966979938
"2011/2012",2012,123,123,100,0,32.8881741531436,31.3284705551081,-0.0432440329717261,49.7191737341708,572.711957708727,104,-174.387769871093,-351.5,664,106,-217,17.6387941727911
