"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2000/2001",2001,123,123,100,0.0928543551483207,45.6930278578058,32.6419609019736,0.17603546851035,51.9503630234075,711.176786210467,305,104.282364307206,-193.5,812,166,35,26.4421457186552
"2001/2002",2002,123,123,100,0.280366601070845,43.9644357166963,32.4118273733364,0.290690466056557,51.2243263545666,640.787930335839,216.5,-37.3680992041036,-247.5,724,161,-87,26.5099263884306
"2002/2003",2003,123,123,100,0.102521080332309,62.2062707283309,31.9603899704064,0.160493999074671,52.0889145332139,692.538522467644,266.5,23.0513984526042,-174,790,199,-32.5,26.9816013499338
"2003/2004",2004,123,123,100,0.169209047084622,48.7268359907669,33.1956783003475,0.162807701159009,52.7300801689281,723.710838214369,336.5,118.8683335394,-95.5,827,196,67,32.099120212577
"2004/2005",2005,123,123,100,0.199674594630293,49.3526550076885,33.1537046873182,0.277139911168056,52.6920078833303,696.580576532465,347.5,75.5650423789484,-102.5,797.5,183,38,31.3630015917998
"2005/2006",2006,123,123,100,0.252497370002605,33.9175302888119,31.6912806550708,0.266924988039402,50.2480129290217,639.780440364775,204,-24.4343057039732,-309,744.5,136,-87,24.2996383319295
"2006/2007",2007,123,123,100,0.507446487117918,64.6194933050836,33.0914715342297,0.591967150420144,52.5418914210595,669.439243313973,280.5,-33.3524082881231,-150,742,221,-48.5,27.7872735488769
"2007/2008",2008,123,123,100,0.317141955535771,60.3971827705195,33.5390887659194,0.418255480454624,52.6879582928155,721.193664125893,316.5,94.9303411683104,-146,809,206,30.5,28.7683791912526
"2008/2009",2009,123,123,100,0.0582694387993018,54.2046617869666,29.353216605868,0.136319061257045,47.414488412482,601.348821920014,15.5,-244.527887203742,-576.5,682,172,-278,18.1527847242825
"2009/2010",2010,123,123,100,0.429063775961718,61.1910949990952,32.0568709736752,0.538382775699681,51.7754425643475,704.545480211958,259,30.6222802897537,-212,804.5,203,-17,28.6898847325098
"2010/2011",2011,123,123,100,0,53.2224701840213,33.7591695099399,-0.0586058630048907,54.1602751491749,748.480961050147,417,194.296727356785,4,858,205,129.5,33.5163657333511
"2011/2012",2012,123,123,100,0,34.3431367821684,31.794461405602,0.000917514486241222,50.550375548984,589.578020675999,155.5,-125.513996690563,-275,687,113,-163.5,19.9916805262114
"2012/2013",2013,123,123,100,0.275295435871702,52.0625643536291,32.5212831182672,0.371641061029623,52.3433532617953,706.93316579937,288,58.6745309622129,-176.5,799.5,188,5,26.2094349927999
"2013/2014",2014,123,123,100,0.20455805182346,60.3301803140815,34.194851852229,0.329420539775854,54.9419678487428,756.949420426803,468.5,233.878659473827,68.5,861,221,169,34.3976111597672
"2014/2015",2015,123,123,100,0.203779977372147,49.1332634863929,32.0785649739633,0.218925895132594,51.447962832584,676.823604270117,219.5,-26.8360408066146,-229,772,170,-60.5,28.1976323427699
"2015/2016",2016,123,123,100,0.228326282318135,55.3757513860253,31.2801838413895,0.316459075656467,51.1243514252028,715.54516538433,223,-0.513101211414323,-274.5,805,197,-56.5,28.3396451643475
"2016/2017",2017,123,123,100,0.0169022177395362,50.9396243315569,30.8204878567146,0.0465872251994002,49.9142175226037,631.435142652359,167,-92.3868660201988,-327.5,733,174,-145.5,19.8875484468971
"2017/2018",2018,123,123,100,0,40.3569196483195,29.4296274958154,0,46.6097360664404,553.493424478957,-8.5,-300.954411645289,-585.5,628.5,136,-347.5,15.3728193292513
"2018/2019",2019,123,123,100,0,37.0779488159814,32.1792387837279,-0.0107060834849506,50.0665046865058,593.262095011982,123.5,-150.09629785546,-332.5,682.5,128,-200,27.7501077891767
"2019/2020",2020,123,123,100,2.05168312828704,83.7390535142131,33.2761134935697,2.17715706803764,54.1284286757241,782.900543879619,367.5,121.151203258836,-55.5,864.5,289,89,29.6682045138159
"2020/2021",2021,123,123,100,0.118657474515123,46.7854957743745,31.3057753498518,0.159567393095867,51.2387296941363,683.032901303366,208,-4.39253775581892,-247,777.5,163,-81.5,21.8057750319318
"2021/2022",2022,123,123,100,0.0671225031337322,39.819306729232,32.2327787940024,0.0910702324166472,51.6280816015884,689.993057498465,253,46.1694813273207,-214.5,793,157,-15,29.1455289800551
"2022/2023",2023,123,123,100,0,45.6077326832974,29.9393504308191,-0.0224016325276326,48.2160558960526,592.650001148693,81.5,-176.620594329928,-469,679.5,139,-231,21.7999599515193
