"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2000/2001",2001,123,123,100,0,23.6471146950063,30.1529762611068,-0.0295295393079906,45.665409105226,500.01394401593,-88,-374.449025938674,-681.5,585.5,87,-409,16.0220245925426
"2001/2002",2002,123,123,100,0.0761022569077128,23.8981930826337,29.9127496590965,0.101181501320293,44.9316670242541,447.893212335249,-182.5,-530.499022560361,-772,523.5,85,-536,17.1129352947532
"2002/2003",2003,123,123,100,0,38.2529391196157,29.4952151360169,-0.00927488594968207,45.7886135454503,495.59393531212,-129,-452.889387456778,-698,572.5,123,-482.5,13.9958052152919
"2003/2004",2004,123,123,100,0.0231873043310509,23.9571615970041,30.6619070844201,0.052383332054095,46.4259153947366,515.239893927949,-60.5,-367.241689948576,-620,591,107,-393,20.9167041512986
"2004/2005",2005,123,123,100,0,23.6457422179009,30.5749910734216,0,46.4086026935963,494.982244453417,-96,-423.256691295446,-622.5,569,93,-443.5,15.9044000777254
"2005/2006",2006,123,123,100,0.0776420429801673,13.6275557957609,29.2480652198608,0.10260149203631,43.9568895815937,436.72590846124,-207,-523.785595000296,-823.5,516,62,-547,13.7514715185177
"2006/2007",2007,123,123,100,0.10318955969824,37.2710998225166,30.5487056474019,0.126559949013731,46.2431136653372,491.844407581296,-151.5,-517.526852163403,-684.5,554.5,131,-508.5,15.6674568955577
"2007/2008",2008,123,123,100,0.0864691137498491,35.0236788910994,30.975113306682,0.110741816700111,46.3970244548975,520.159591317004,-93.5,-390.899702200841,-659,594.5,115,-417.5,21.1997093010313
"2008/2009",2009,123,123,100,0,36.245615319529,27.1160397982531,0,41.1326344982795,434.378797617027,-355,-693.105223480226,-1067,490.5,112,-697.5,14.4669841197954
"2009/2010",2010,123,123,100,0.005147094458468,35.7149391780625,29.636660807396,0.0308616118922678,45.485857750199,508.877418089391,-125.5,-433.090787042107,-741.5,580,128,-468,16.4653442372673
"2010/2011",2011,123,123,100,0,28.5632259144417,31.1463183995204,0,47.8630231747028,528.824725687325,3,-302.371058627366,-502.5,614.5,118,-338,21.8357478266425
"2011/2012",2012,123,123,100,0,18.7211988239472,29.3160514047544,0,44.2492343105848,396.693453305326,-264.5,-630.127015657868,-822.5,459,61,-654,10.0674361029631
"2012/2013",2013,123,123,100,0.0253414528392,29.3432684122747,30.008008806934,0.0543698878083103,46.063053169521,503.362020004146,-121.5,-416.122715385049,-686.5,579,101,-440,19.3403068629597
"2013/2014",2014,123,123,100,0,32.3936674311397,31.5642951998516,0,48.6539241176672,538.296781873165,59,-270.373827665884,-437.5,612,122,-301,18.4317259246595
"2014/2015",2015,123,123,100,0,27.0724518171383,29.589800673624,0,45.1522391890867,476.613191687506,-187,-503.018308320316,-752.5,551.5,97,-523,14.4134056556217
