"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2000/2001",2001,123,123,100,0.0823917332113819,39.4661003479462,32.0989128923053,0.159302582443322,50.3670606551914,658.285965667534,193.5,-8.80888003011023,-324.5,761.5,142,-68.5,25.32800015441
"2001/2002",2002,123,123,100,0.280298995896485,37.3798303025378,31.8692316569917,0.303170608457391,49.629890379909,594.20720145926,102.5,-163.121670746822,-382.5,677,137,-199,25.7644210251023
"2002/2003",2003,123,123,100,0.0936065599748484,55.2063484518777,31.4242208680877,0.118007546939536,50.4834539532562,644.242942515066,156,-93.5562346761762,-302.5,736.5,177,-140.5,25.1017721552929
"2003/2004",2004,123,123,100,0.162019745635412,41.9301381331427,32.6591062572948,0.179537785565738,51.1186937897423,672.324725535531,238.5,3.94221098171874,-230.5,775,175,-38.5,31.0373651225466
"2004/2005",2005,123,123,100,0.130945409440549,40.7599749677752,32.5741899645404,0.202109531301823,51.1109452615377,646.881336533246,245.5,-50.0885044747338,-236,741,159,-80,26.9878484618729
"2005/2006",2006,123,123,100,0.239888482863398,27.1576783012793,31.1468821393184,0.283225158896626,48.6557949752309,584.454972166764,96.5,-152.374501366965,-441.5,673,114,-223.5,18.7922281480466
"2006/2007",2007,123,123,100,0.463142757039951,56.3151569534256,32.538841318299,0.551110250542243,50.9386270146077,627.670206968217,161,-155.830969191946,-299,700.5,197,-155.5,25.5897182035154
"2007/2008",2008,123,123,100,0.291535932712978,51.828823205078,32.9777353409762,0.386309128561548,51.0787461362558,670.908781440893,208.5,-35.2304423196983,-282,749.5,181,-91,27.6603854108642
"2008/2009",2009,123,123,100,0.0908615985284203,48.9559602216706,28.9139136049829,0.146193809591428,45.835669867151,563.782006441634,-76,-351.608260049106,-710.5,639.5,158,-359,18.7288212102777
"2009/2010",2010,123,123,100,0.379421301352194,54.6164770915116,31.5635939576594,0.482837143817707,50.1854469868754,658.01939371178,169.5,-80.2514355028397,-350.5,748,186,-122,27.3897560711932
"2010/2011",2011,123,123,100,0,46.2216337480961,33.1746522999957,0,52.5592112942396,689.639294033685,305,70.2286008611845,-126.5,795,177,17.5,30.9522729173887
