"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2000/2001",2001,123,123,100,0.00972366327346637,31.6538123924245,31.6348999789458,-0.0131569206907447,49.1384840056507,601.675284765861,113.5,-114.823127732422,-410,703,117,-165,21.3761278379066
"2001/2002",2002,123,123,100,0.16468898268559,30.6919642298331,31.4190940668925,0.18518007509778,48.4069100633661,540.936542803393,38,-267.251800194901,-464.5,623,113,-301,22.0155064060999
"2002/2003",2003,123,123,100,0.0327320920571784,47.2038710031798,30.9796873583712,0.0317600041874293,49.266026619785,589.927662683664,88.5,-194.760912352673,-397,674,156,-238.5,17.9034815313386
"2003/2004",2004,123,123,100,0.103366720537283,33.8335674924746,32.1762821909997,0.0959965135270098,49.9051976173965,616.874436143743,156,-101.830987807962,-322,708,141,-144.5,29.370380920568
"2004/2005",2005,123,123,100,0.0563215042060198,33.014720160969,32.1209712590416,0.113939691178791,49.8812442010601,591.323636662311,143.5,-154.772800379869,-320.5,672,130,-188.5,26.1009121958934
"2005/2006",2006,123,123,100,0.156764056041085,21.1578025369509,30.7179619167854,0.171612002206168,47.431698839018,531.769372663572,18,-258.119488393248,-537,620.5,91,-311.5,16.7997801555964
"2006/2007",2007,123,123,100,0.241098553942788,48.8951548020657,32.0897154872672,0.333008796163462,49.720092583149,578.932887679028,77.5,-255.275552837677,-384.5,649,171,-251.5,21.9674620587019
"2007/2008",2008,123,123,100,0.158218146435217,43.1295035019039,32.482891342912,0.182364238960109,49.8641517099627,613.550108190632,131.5,-134.065158519898,-375.5,689.5,143,-184.5,24.658669016763
"2008/2009",2009,123,123,100,0,42.6289298786279,28.5093348523099,0.0315319625931849,44.6048426928502,513.825512833778,-148.5,-450.670779033855,-797,585,134,-462,16.5201957085035
"2009/2010",2010,123,123,100,0.121752176326767,46.218971773607,31.0983162716742,0.194226941962466,48.9602333021478,604.067686666122,91,-183.216268909055,-448.5,690,159,-230,23.3243501588754
"2010/2011",2011,123,123,100,0,38.2358278104691,32.6922548344334,0,51.3395680105392,632.470607302838,231.5,-34.3101214114067,-214.5,732,152,-85.5,27.478612378297
"2011/2012",2012,123,123,100,0,23.9365505077428,30.8183275956282,0,47.7276475542502,487.780950608339,-35.5,-353.775000415801,-509,571.5,78,-387,14.6806066747284
"2012/2013",2013,123,123,100,0.133941290781159,39.3409215607584,31.540376478185,0.176384896089814,49.5348281320427,605.066850857267,104,-160.678455256799,-396,693.5,139,-201,22.9973580308205
"2013/2014",2014,123,123,100,0,42.8986248531532,33.1280623224459,-0.0182745295505593,52.1278660411109,642.126631016348,279,4.27285002855933,-142.5,735,164,-53,24.4035262853175
"2014/2015",2015,123,123,100,0.0618031718332561,35.7749165843993,31.0693776596016,0.0879948850646288,48.6283500176869,569.336391740426,39,-249.218225471239,-456,647.5,124,-282,21.7721020050199
"2015/2016",2016,123,123,100,0.0810401061992382,38.8273408028347,30.3044134942644,0.136735185936937,48.3027046390754,607.677477997939,39,-212.792817115958,-489.5,699,142,-253.5,21.900912661915
"2016/2017",2017,123,123,100,0,36.7945569489765,29.8945604294747,0,47.1068156100605,531.972231470414,-3.5,-310.65276302179,-545.5,612.5,126,-363,15.3555665595205
"2017/2018",2018,123,123,100,0,28.2726171676699,28.5314181927064,0,43.7967443402594,459.763500075569,-195,-524.983130223642,-791.5,524.5,100,-556,11.8702252621385
"2018/2019",2019,123,123,100,0,26.7897937145428,31.1561603882598,0,47.2479888205184,489.460590741424,-59.5,-387.848882716295,-576.5,571.5,93,-423,20.7287672115575
"2019/2020",2020,123,123,100,1.51814325114281,63.7875100625338,32.2707413010341,1.52620877248702,51.307865719725,686.676533487846,178.5,-89.6447996678035,-276,760.5,232,-111.5,21.9597435061617
"2020/2021",2021,123,123,100,0,35.5376524595178,30.3407186489329,0.0402615238808817,48.4324536262217,573.613423208446,35.5,-227.423531419074,-463,664,123,-285,17.5209155967298
"2021/2022",2022,123,123,100,0,29.3000842777791,31.2642516874615,0.0236799482837191,48.8162025838316,583.691339998986,79.5,-172.059996324038,-419,681.5,111,-215.5,25.4540846842286
"2022/2023",2023,123,123,100,0,35.3689403158651,29.0464628239382,0,45.398639604852,497.077372228556,-96.5,-391.470763241232,-693,569.5,110,-433.5,16.2077012152632
"2023/2024",2024,123,123,100,1.33532474852413,24.7121146782977,31.5505544936319,1.32443648308895,47.3633805978112,451.098780021592,-84.5,-442.903122848176,-560.5,507.5,83,-451,15.3419932193297
"2024/2025",2025,123,123,100,0,52.7290850541457,29.462925932345,0,48.22276796953,659.713260414188,59,-174.930502935997,-492,752.5,184,-209.5,21.7035017272212
"2025/2026",2026,123,123,100,0.250565526184244,28.4417266178535,30.8318575965845,0.313971670071922,46.4760202050587,538.973175482268,-47,-336.996619498357,-598,618,113,-374.5,20.8967564187473
"2026/2027",2027,123,123,100,0.314459956218027,32.9005108660191,31.4172486413597,0.431641638756292,48.3695195163943,559.889865452562,53,-241.63616872867,-495,639.5,117,-286.5,19.6973197615497
"2027/2028",2028,123,123,100,0,21.5966434121518,28.9489257512461,0,46.1644644641712,537.115917979918,-88,-324.583835927289,-650.5,627.5,92,-389.5,10.9519467037061
"2028/2029",2029,123,123,100,0,39.7332683301714,29.2155639258042,0,45.4038611510807,535.049427655391,-105,-418.095396206481,-699.5,615,144,-437.5,17.5962742017907
"2029/2030",2030,123,123,100,0,34.0161939847531,33.3360772644384,0,51.8114998232461,636.907709743886,259.5,5.2153608007502,-167.5,738,137,-37.5,29.361848367521
"2030/2031",2031,123,123,100,0,35.0250602211668,28.8903009101413,0,45.709951382555,527.981458410366,-128.5,-422.270459493608,-728,603,119,-454.5,11.8594210243098
"2031/2032",2032,123,123,100,0.0414833252762821,30.375558464719,32.198611833647,0.0382961016379015,49.8223266916867,588.599417626127,148.5,-114.434302597016,-321.5,696,125,-157.5,25.5987161979324
"2032/2033",2033,123,123,100,0.0248861700090465,28.6682556780163,31.5321212133827,0.0714159749607612,48.1184154460593,478.540306798666,26.5,-321.117706515593,-443.5,553.5,95,-367.5,16.4954270385794
"2033/2034",2034,123,123,100,0,41.3481847402513,32.7589638224837,0,52.0693474718917,674.497742484589,309.5,60.0840182772081,-151,773,160,13,30.5608398393667
"2034/2035",2035,123,123,100,0.0160207475174482,44.0082850145897,30.4793999786415,-0.0181174020227231,48.3721620164437,605.582037922395,61,-215.030501826288,-449.5,694.5,171,-235.5,19.8245219426689
"2035/2036",2036,123,123,100,0,11.8829325766903,30.0876258644755,0,45.9719437930877,472.810157507454,-121.5,-421.851511932444,-689,549,52,-450.5,13.0794787082515
"2036/2037",2037,123,123,100,0.0273113286393154,11.1888234406253,33.058721052154,0.0781797737950376,49.582795066861,492.961870830433,123.5,-207.693673739792,-303.5,582,56,-258.5,21.9032553563071
"2037/2038",2038,123,123,100,0,33.2615497927559,29.7722084104204,-0.0166307094535096,45.8534245059964,570.420151274007,-41,-290.515646507498,-674,654,130,-336,21.3992864164212
"2038/2039",2039,123,123,100,0.229988392459842,44.6125530569198,31.3162329318725,0.246511568288526,50.1589224134333,645.92543085985,191,-63.317206388223,-323.5,732,181,-115,22.8228435728859
"2039/2040",2040,123,123,100,0,14.1688650568849,28.9134203255528,0,45.5378298837416,534.768600959465,-72.5,-329.001274644892,-666,627,68,-391.5,13.0863634707462
"2040/2041",2041,123,123,100,0,40.2784156508159,30.2668222286236,0,47.743391882096,546.689526802958,19.5,-281.266088046774,-508,630.5,136,-320.5,19.0597273324825
"2041/2042",2042,123,123,100,0,32.0582081625674,30.9513147086907,0,48.3594072963194,557.294797034214,33.5,-264.922331398091,-469,653,117,-299,17.9889495045882
"2042/2043",2043,123,123,100,0,33.8967559937868,30.8556362158012,0,48.8172482412915,572.35123476007,69.5,-194.4294272197,-425.5,652.5,125,-264.5,17.2544656607307
"2043/2044",2044,123,123,100,0.00374670283627342,23.9188368060216,30.7140838595184,0.0344552093556114,48.0045426799593,553.116383577391,25.5,-264.953178375959,-482,638,103,-296,18.2937123024888
"2044/2045",2045,123,123,100,0,29.8004797406398,31.5626463014613,0,48.7835059493533,542.846343648984,57.5,-262.183563255647,-415,620,114,-303,22.3566141248393
"2045/2046",2046,123,123,100,0,19.6986842134501,30.4546835515665,0,46.4378626317409,444.818317728721,-70,-421.097447146341,-597.5,523,77,-452,14.2616692765389
"2046/2047",2047,123,123,100,0.0352232039695182,18.5032948558671,30.1763097523445,0.0634828387006896,44.8973580937442,428.724477395168,-163,-531.903136144043,-766.5,484,70,-551,14.9057510137109
"2047/2048",2048,123,123,100,0,24.4304850154605,29.0475932834593,0,45.052586184642,495.012827548671,-137.5,-424.776059953292,-755.5,580.5,89,-467.5,12.844544395849
"2048/2049",2049,123,123,100,0.0249740913098319,44.6391230022147,30.4791474164677,0.0559489549698788,48.1468858732214,553.955191625973,48,-267.18855052194,-509,634,142,-300,17.880484878672
"2049/2050",2050,123,123,100,0.0987721398430469,32.5898403686453,32.7887515050177,0.155482820579119,50.7627405470387,642.064899583791,208,-28.9415750471526,-274,746.5,145,-74.5,28.3628714356555
"2050/2051",2051,123,123,100,1.53731920845598,46.1459798068967,31.9347258640659,1.7897157740381,49.1657524453252,638.721674396162,66.5,-187.609352082247,-465.5,718.5,170,-223.5,22.7366871297693
"2051/2052",2052,123,123,100,0.130484177787548,40.8612525139784,32.0443268950965,0.226641539273049,49.7500982427055,638.250696068062,125.5,-98.6202733312675,-373.5,725.5,159,-160,27.1867598237404
"2052/2053",2053,123,123,100,0.118692089901408,33.9586821705999,32.8275212837393,0.179495590436139,51.5671442643073,637.482364006792,257.5,21.3504895007063,-181,747,133,-42,28.0715744699601
"2053/2054",2054,123,123,100,0.00618974391851817,58.6639748966309,31.3476171842733,0.0592141289092782,50.5964383493469,652.664743870831,189.5,-90.77148248718,-277,738.5,200,-123.5,20.5082560933795
"2054/2055",2055,123,123,100,0,19.3869653703118,31.9232685536065,0.00457073155424403,49.0848290140621,579.562395892339,128,-114.240845274297,-377.5,670,79,-188.5,24.8478136020235
"2055/2056",2056,123,123,100,0.113802419404243,33.9267325637727,30.524052888173,0.135948591174593,48.6595624348199,591.392657603654,47.5,-203.957981952466,-450,676,124,-245,20.2233114604285
"2056/2057",2057,123,123,100,0.166559933604211,53.0949240061781,32.5522692115645,0.215601570769803,52.2446341928701,668.933313995738,247,-4.97905132392771,-143,763.5,178,-43.5,25.8512070278091
"2057/2058",2058,123,123,100,0.0611844808205924,26.1886815608647,33.6025993821552,0.0542652478663417,52.0075760500318,638.92121769298,277,13.9845428320405,-173.5,741.5,117,-42.5,26.9830783990108
"2058/2059",2059,123,123,100,0.108966341310656,53.8915225153338,30.4006350817062,0.131488759956687,49.9835112034313,680.153591060094,155.5,-57.9833963093406,-365.5,782.5,174,-112.5,21.7472575359959
"2059/2060",2060,123,123,100,0,38.0226289883669,30.1998481044428,0,47.3397089168668,564.08830530283,13,-266.896226815501,-536,649,134,-297.5,19.4936843540065
"2060/2061",2061,123,123,100,0.106901108149103,46.2576955005451,30.6678833169676,0.0881592029634355,48.9935554581055,625.043179206747,68,-177.982366084616,-430,715.5,172,-231.5,23.2439271752066
"2061/2062",2062,123,123,100,0.440947796259487,36.7239586743428,32.193584338507,0.499642057710499,49.9530096576425,552.68557046575,114.5,-221.250868624484,-315.5,631,143,-253.5,18.7362042275363
"2062/2063",2063,123,123,100,0,35.4956472415073,33.6131526424066,0.00165481686858171,52.3734219630943,647.628380871276,263.5,4.56065428711008,-133.5,743,142,-53,25.5586886579458
"2063/2064",2064,123,123,100,0,31.7802132562575,30.3103250036475,0,47.0867184429601,549.073609085033,53.5,-232.762401927263,-501,641.5,116,-295.5,21.2133204739812
"2064/2065",2065,123,123,100,1.10364061510859,43.0298212820856,32.7911414721805,1.13382019750414,51.8080287584305,666.196307592414,239.5,-7.52408705127891,-197.5,761,167,-58,28.8158192844635
"2065/2066",2066,123,123,100,0,23.4339443448592,29.6541974452137,0,46.7746083134008,519.295899633478,-82,-349.667527683894,-614.5,605,83,-410,12.5267169937799
"2066/2067",2067,123,123,100,0.13435528487041,37.5296866020868,29.659156364504,0.212223857318238,46.5312932779106,581.989942297318,-53.5,-304.15998836467,-628.5,678,129,-334.5,15.9585226634765
"2067/2068",2068,123,123,100,0,37.6439175492263,31.8586914263143,-0.0137581760533874,50.7608015418532,592.78494835952,174,-103.806525866792,-229,688.5,128,-156.5,21.7190381378366
"2068/2069",2069,123,123,100,0.198829453877806,29.8774861629826,30.7963345774486,0.218932861917305,47.845534608238,552.538739839751,-7.5,-280.797352578258,-536,640,114,-325.5,16.1970972363688
"2069/2070",2070,123,123,100,0.0679316255519433,28.0891280558402,27.9486500579509,0.0936465450840021,44.0319058633776,488.30120221719,-217,-517.683924856887,-856.5,558,100,-570,11.7262459111917
"2070/2071",2071,123,123,100,0.063320832076573,29.3843049914668,30.7776633850826,0.0809489569309749,47.9490195840777,528.294625057744,8.5,-313.349457793927,-486,609.5,120,-345,17.9393482402368
"2071/2072",2072,123,123,100,0,40.037265553055,32.6475803416096,0.0203529664630742,52.0382328609682,664.39075086738,278.5,18.1291670285864,-166,757,156,-15,26.687779244141
"2072/2073",2073,123,123,100,0.0716883852610483,50.7309700217116,31.6710201998682,0.0971110288877388,50.9400540006819,627.654664900489,203.5,-77.3854976455914,-237.5,712.5,182,-144,20.4806222989935
"2073/2074",2074,123,123,100,0.103938069834606,67.0239829412629,31.0986174623895,0.0701659759148134,50.4919177909276,715.783487411834,182.5,-7.76337874057936,-352,809.5,219,-57,25.4880459635622
"2074/2075",2075,123,123,100,0.117004025968396,58.3630174425049,33.7106377725332,0.155959906243001,54.7165194135186,753.749977128566,441.5,216.34001161519,61,866,210,154,32.2257414918927
"2075/2076",2076,123,123,100,0.133514117798201,31.6272900525799,33.8980564943381,0.185126719433501,52.3630822677318,654.10792667538,319,78.2132678767084,-97,763,136,28.5,28.7935908593461
"2076/2077",2077,123,123,100,0,34.3888314162797,31.1810299579699,0,48.5567336349631,569.175904211523,78,-200.956676902715,-429,662,124,-239.5,21.4600282707158
"2077/2078",2078,123,123,100,0,37.3758836220357,30.0273460156549,-0.013861212126913,46.2167457110278,540.876068164485,-73,-380.017752046464,-663,618.5,132,-410.5,18.6257275004773
"2078/2079",2079,123,123,100,0.0648461373521938,28.1233821154882,32.7918680597552,0.085529162969362,51.7630467164675,634.775318719818,267,17.5726516398718,-170,733.5,119,-43.5,28.9587261106576
"2079/2080",2080,123,123,100,0.0766088334323992,30.6609352017303,31.2643399895042,0.10078819008689,49.2243292787217,600.848154455278,125,-154.409786578908,-389,693.5,125,-187.5,22.0323526904174
"2080/2081",2081,123,123,100,0.0802082679261881,53.664278278564,30.8738204855305,0.104968064681531,49.026157437524,607.417106116132,63,-226.834020431561,-420,685,169,-268,20.1528503258064
"2081/2082",2082,123,123,100,0,46.7075810582941,32.488363694115,-0.0190385610794841,52.2199120259734,675.650884550138,325.5,55.0876457960112,-111.5,785.5,181,13.5,28.7542464017292
"2082/2083",2083,123,123,100,0.106488309750102,54.4779004472249,32.2790291817421,0.127616105652634,51.5028388980154,654.920319624078,193,-65.9899741555564,-235,748,185,-104,26.4458835718913
"2083/2084",2084,123,123,100,0,34.9097131077965,31.6677918839807,0,49.0456912458319,555.46549017221,108.5,-212.905941765872,-355.5,639,127,-231.5,20.3870164978653
"2084/2085",2085,123,123,100,0,33.5281378790262,29.888284304778,0.02332871948561,46.9334428411286,572.332972367629,14.5,-248.635662755289,-564,668.5,126,-305,18.8646848362507
