"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2000/2001",2001,123,123,100,0.0829868568666007,40.7774767308022,32.1648406042359,0.168499386755738,50.6254770399963,667.125384364954,211.5,9.94716552045475,-306.5,767.5,144,-49.5,25.2334687836132
"2001/2002",2002,123,123,100,0.296372653355896,39.3040953843905,31.9430115071346,0.358435708511236,49.8881090909353,601.528699375965,126,-144.232424512601,-366.5,684.5,141,-185,24.6043298950122
"2002/2003",2003,123,123,100,0.101955633929926,56.8454879570207,31.4952652836409,0.160319671065887,50.7413676869674,650.845605865527,172,-76.2963854237551,-280,745.5,185,-128,24.2594103139592
"2003/2004",2004,123,123,100,0.171011126218447,42.8165923928118,32.7285323806848,0.193231491737385,51.3701790569744,681.637430386135,260,22.0086161634463,-209.5,781,176,-29.5,30.1152719854581
"2004/2005",2005,123,123,100,0.191514170916732,42.9924337045565,32.6461060248082,0.229236202126912,51.3693882855147,654.594550537428,252.5,-32.009895050971,-214.5,750.5,161,-69.5,27.8228692359417
"2005/2006",2006,123,123,100,0.251689312756586,27.3771929562842,31.2180113150282,0.267597903853785,48.9140618116632,592.952010232719,113,-131.752817751345,-410,685,117,-207,18.8194002549716
"2006/2007",2007,123,123,100,0.486663011517535,59.6683948434894,32.6086189012985,0.572800629221471,51.1966103179152,634.06915502681,185,-140.135953875775,-280,708,203,-142,25.3687378458357
"2007/2008",2008,123,123,100,0.291720473410915,53.6479789132796,33.0218630564608,0.284731391025277,51.3303223669423,679.653595857714,226,-13.7747736884376,-261.5,760.5,185,-68.5,27.4022106326719
"2008/2009",2009,123,123,100,0.0962494061770256,50.382839469331,28.9750399299789,0.18120748430386,46.094135226784,570.806680058457,-62,-335.217646950347,-691,646,161,-349,18.4273843022422
"2009/2010",2010,123,123,100,0.305677826133543,55.4209350140082,31.6113286314099,0.428509509613515,50.4437576549919,664.777537739264,177,-62.1612728439941,-330.5,755.5,187,-107.5,25.2237251244484
"2010/2011",2011,123,123,100,0,46.4993235705735,33.2320394195161,0,52.8172598818759,698.887204491797,332.5,90.948709930919,-109,806,175,42,31.958923407966
"2011/2012",2012,123,123,100,0,29.4061313072762,31.3305894893464,-0.0206088984145059,49.1950049337619,544.92430502487,65,-226.435329292028,-397.5,632,93,-272,16.93971206048
"2012/2013",2013,123,123,100,0.324793972410487,49.7733242702365,32.0572213846901,0.409974108513456,51.025266507565,670.0472507135,196.5,-44.6548711986397,-273,761,180,-86,23.1104237578047
"2013/2014",2014,123,123,100,0.0962673015431678,52.7270636383727,33.6868565545057,0.226778168758853,53.6125492023926,706.725113866605,382,128.270469968891,-23,813,202,86,29.4532368286848
"2014/2015",2015,123,123,100,0.108200648080456,43.2653756173764,31.5797502495245,0.130782637659797,50.1072134878409,629.596284031612,141,-124.132218120852,-342,717.5,148,-156.5,25.3268499201746
"2015/2016",2016,123,123,100,0.217863926811072,47.9844390263964,30.799169529957,0.241005868936221,49.7712462384213,667.159872289714,137,-96.5900445513907,-380,759,171,-141,26.3829991647779
"2016/2017",2017,123,123,100,0,46.7752359204631,30.3857231349704,0,48.5983972120196,591.028156546867,89,-188.369137204543,-425.5,680,156,-236.5,18.9848776838552
"2017/2018",2018,123,123,100,0,35.2576612986841,29.0015766807543,0,45.282583731127,514.852654374905,-87,-399.293804996589,-678.5,585.5,125,-451,13.2321902848603
"2018/2019",2019,123,123,100,0,32.8775257879906,31.6497074078008,0,48.7280213449967,544.79213841789,32.5,-265.774114031083,-445,635.5,112,-306.5,25.6268136597913
"2019/2020",2020,123,123,100,1.95883878121162,77.0063743059636,32.8020588398042,2.11481712055691,52.7775890284588,747.585089397333,266,19.8261750021338,-159,824,271,-11,24.5325736582334
"2020/2021",2021,123,123,100,0.115040756459867,43.2832672572507,30.8385545674399,0.204643703883888,49.9251758322049,633.249418018568,124,-108.249736557234,-349,722,148,-166.5,20.4457517210269
"2021/2022",2022,123,123,100,0.0837347164424646,36.1442628837377,31.7856687438245,0.139220155503241,50.3031956181771,647.967959173806,170,-48.9972506679187,-324.5,747,141,-102,27.2551161728451
