"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2000/2001",2001,123,123,100,0.594855878154792,68.9792501606857,34.7515372750384,0.712993910273439,56.4247700831784,889.181550373259,589.5,444.06492074627,158.5,1010.5,266,363,39.8948648743421
"2001/2002",2002,123,123,100,1.00204203758206,62.438844462388,34.5567264233677,1.03728882386519,55.6929808005885,805.368369004251,486.5,310.241258236406,97.5,905.5,232,243.5,34.2010780095226
"2002/2003",2003,123,123,100,0.532521739152322,81.3693989424808,34.0710376658032,0.59158873053803,56.5518617223668,859.226619258421,541,363.610129983257,159.5,972.5,264,311,41.9703403034698
"2003/2004",2004,123,123,100,0.842583029955844,71.5354797201579,35.3505850413305,1.06320147462488,57.1891197772009,896.947433984765,618.5,464.71493974755,224.5,1015,281,410.5,38.813519502791
"2004/2005",2005,123,123,100,0.755829681484243,73.0425678691593,35.3207761305649,0.868240082652358,57.1675708682232,859.706568942203,623.5,422.668763652415,261,967.5,281,370.5,39.2145616349347
"2005/2006",2006,123,123,100,0.750112742329523,52.9413774327329,33.7634123812558,0.864870157981086,54.7178142834549,808.263995234156,467,318.39082595824,38.5,928.5,210,233,34.0437918342402
"2006/2007",2007,123,123,100,1.26826248930776,84.4711870992062,35.2972123859487,1.37881079476633,57.0059764128479,818.812757694317,577,317.754704093244,218.5,904,297,282.5,35.1631315847614
"2007/2008",2008,123,123,100,1.46187238201993,78.3445712390608,35.7213000220599,1.69204996095516,57.1481265177386,885.556746321749,585,428.376881911448,193,997,276,357.5,37.7311296796703
"2008/2009",2009,123,123,100,1.08250797552154,71.2856187082939,31.3504722805164,1.24628885502596,51.8912091142838,750.72410797938,289.5,86.7905575030381,-236.5,841.5,231,36.5,26.8053337928196
"2009/2010",2010,123,123,100,1.19726679325602,81.3474723158306,34.1782239153776,1.30661889379793,56.2463926381416,871.607219506439,527,364.566343531314,128.5,984.5,280,314.5,37.3867887987344
"2010/2011",2011,123,123,100,0.458350797024605,78.5473658812548,35.9446817300733,0.642800858479789,58.6254997711455,920.082566652633,690,533.467326866903,357,1046.5,301,475.5,42.1087506987553
"2011/2012",2012,123,123,100,0.227773039542657,51.222838078015,33.8805236960994,0.327160281234562,55.0116742343409,751.087118631507,466,241.837524983916,84.5,859.5,188,164,31.5736881417994
"2012/2013",2013,123,123,100,1.50559304985498,74.734721369615,34.6743407066607,1.80800247789934,56.8212334684258,877.488741841613,560.5,392.371089459928,172.5,981,280,327,39.9228648825
"2013/2014",2014,123,123,100,1.36341646286691,84.0257939150456,36.4270534577826,1.63691645386403,59.4140684490979,932.117275029934,760,580.412355831562,405,1051,313,509.5,42.8330217120993
"2014/2015",2015,123,123,100,0.399008151113761,73.4587492217456,34.1644610939272,0.471948853663282,55.9143289091062,829.96306093438,526.5,309.249506132648,109,928,264,253,37.3296176728668
"2015/2016",2016,123,123,100,1.01029068860402,79.4300116297609,33.3234463319094,1.22333142182818,55.5867824114408,875.947020016305,505.5,325.992381390824,51.5,967.5,285,269.5,36.0766693207846
"2016/2017",2017,123,123,100,0.174900497905846,72.4392503320775,32.8587731281203,0.168660247413786,54.3932590181157,788.087750945557,438,247.799084863022,17.5,904,243,169,34.2562642104874
"2017/2018",2018,123,123,100,0.158657299633068,56.8374606438843,31.3721697227169,0.267691931344649,51.082988996743,696.833760361878,262,35.6096720761489,-217.5,792,197,-19.5,26.9460896434003
"2018/2019",2019,123,123,100,0.0856190582244723,52.077770432824,34.2661593095987,0.119892586182134,54.5340140387713,744.656314328251,407.5,191.587288139766,15,844,188,127.5,32.8377101971481
"2019/2020",2020,123,123,100,4.08587053045957,106.109821229423,35.4907961048334,4.29498980318982,58.5919937999714,939.986704427494,642.5,443.762563366297,281,1029,382,394,36.3374924946958
"2020/2021",2021,123,123,100,0.917034097812803,67.9932376321343,33.3772863590619,1.06268884500297,55.7189342587155,848.913276142055,499.5,327.428811387625,97.5,960.5,239,270,36.9641593676961
"2021/2022",2022,123,123,100,0.658956207856808,60.5879336190654,34.3615127395347,0.79223207930979,56.1024886613592,866.37617324814,543,393.88142121501,127.5,976.5,241,320,40.2234493073455
"2022/2023",2023,123,123,100,0.421684756340177,62.0268507375483,31.9126788653507,0.555282420468106,52.6847103420744,752.75711030692,339.5,162.369402273718,-124,859,201,86,29.5335875837136
"2023/2024",2024,123,123,100,2.1856182585915,44.568835770088,34.7037955936625,2.17395963908089,54.6475581974997,693.063980773513,431.5,166.687399570714,44,781.5,162,96,30.4401102023089
"2024/2025",2025,123,123,100,0.184962948449229,106.506561629294,32.4106603740642,0.225438778708727,55.5092849752727,920.049113742247,516.5,335.201031275239,70.5,1019.5,358,282,32.3302268158111
"2025/2026",2026,123,123,100,1.5604826476663,57.2248622879418,33.898315911919,1.77665229241818,53.7623468722217,792.670158138204,435.5,231.15892150662,-23.5,902.5,226,177.5,38.3909053816546
"2026/2027",2027,123,123,100,1.81302574278654,64.4640941889896,34.5276094778889,1.94985176076948,55.6556349608312,826.158607949212,508.5,322.840350680533,78,945.5,249,276,35.039164853024
"2027/2028",2028,123,123,100,0,55.870190024028,31.836878885973,0,53.4486907909768,811.920737186418,373.5,225.679690902107,-71.5,927.5,208,147,32.4405534175351
"2028/2029",2029,123,123,100,0.0836925539462077,77.0716437240505,32.1521275178774,0.175883116255601,52.6904136749242,769.122119142543,337.5,125.38439310668,-142.5,859.5,266,85.5,30.4266436964733
"2029/2030",2030,123,123,100,0.82695105808463,76.0248112618622,36.6678572697544,0.957791860707971,59.0978662446797,931.374376933316,722.5,585.073212669216,377,1045.5,309,499,45.9048678635043
"2030/2031",2031,123,123,100,0.119240983988489,75.3825204337247,31.7736331698017,0.202820154133779,52.9961107185488,766.584430169212,325,118.80823390669,-126.5,863.5,247,53,26.3010020810955
"2031/2032",2032,123,123,100,1.25636351294298,65.5508137217884,35.4117495303851,1.42382830647944,57.1066009493997,878.882301742138,603,457.941828626586,208.5,997,245,378,40.516778691062
"2032/2033",2033,123,123,100,0.485228166539695,46.1421226262811,34.704984318327,0.534920758980926,55.4050026288245,746.417740081684,486.5,288.805296486811,142.5,867,156,212,36.8780133746745
"2033/2034",2034,123,123,100,0.103647085792279,91.8435528956836,36.0084773876537,0.223009733733023,59.3557528082747,967.305913324024,753.5,617.591181759853,385.5,1082.5,341,550,43.0714946986047
"2034/2035",2035,123,123,100,1.17473863686295,80.2585832961848,33.5180618365656,1.42434397091501,55.6583644244307,865.534418158968,521,331.050496382013,92,962.5,298,282,34.415450397775
"2035/2036",2036,123,123,100,0.307377350167313,41.8708690199629,33.0968565126138,0.383849057816635,53.2562651816137,730.776727371805,359.5,163.985442664838,-54.5,836,179,101,27.542677121513
"2036/2037",2037,123,123,100,0.657343153866645,35.0744622436411,36.3585625285743,0.722692187886498,56.869416045247,780.835798139189,609.5,428.618810732398,271.5,910,165,344,40.8879116020087
"2037/2038",2038,123,123,100,0.72247588339279,63.4458286822491,32.7348971384624,0.943617698692333,53.1398679140516,834.104341487975,394.5,246.52028273679,-130.5,950.5,249,185.5,34.4859164333127
"2038/2039",2039,123,123,100,1.30184939131831,85.8103280897507,34.4631299407592,1.35795829456207,57.4451670699169,929.231605766407,608.5,481.769523251307,225,1047,320,420.5,39.1670155848824
"2039/2040",2040,123,123,100,0,54.1722767747937,31.7836196649148,0.00955446218191036,52.8221975991011,803.017574454461,370,223.128720122739,-108.5,925,217,151.5,30.5279107650213
"2040/2041",2041,123,123,100,0.0544833840612792,78.5820225479926,33.2568213617096,0.102997767536695,55.0300457887098,802.480818002332,467,272.759214185688,71.5,910.5,254,197,33.5072234598354
"2041/2042",2042,123,123,100,0.0201405553931009,66.5333045529474,34.0515468264757,0.0899424178982435,55.6458879288132,820.736266024331,480,303.502057434787,107.5,922,247,242,35.0872200915062
"2042/2043",2043,123,123,100,0.597853065303621,68.8555987087199,33.951208351454,0.762334987121651,56.1035343188191,852.6224224916,535,368.775783896053,138.5,975,240,295,35.4477816180731
"2043/2044",2044,123,123,100,0.478719055617517,60.5474657387141,33.7845034507956,0.584237862702178,55.2889559142884,816.262047426411,509,313.206953881119,96,934,239,266,33.816551461297
"2044/2045",2045,123,123,100,0.0601307418595922,65.8212872859679,34.70988555257,0.0775477582449637,56.0701919130186,805.200243678315,530.5,322.462047495108,145,910.5,239,281,38.0580207529742
"2045/2046",2046,123,123,100,0.0306490719187665,44.1157601377481,33.493478458003,0.0311015438490962,53.7243796374836,700.305008432129,410.5,182.396258943292,-2.5,814,161,105.5,32.0054458179038
"2046/2047",2047,123,123,100,0.469078398924499,45.1994646802846,33.1911340413824,0.583371355477103,52.1836847609072,664.554803019739,320.5,56.8794313759136,-149,769,181,16.5,29.7256627360352
