"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2000/2001",2001,123,123,100,0,27.2300006083582,31.2484592713489,-9.23538699437731e-05,48.0165115814484,558.054743071778,49.5,-202.642399364768,-486.5,650,98,-248.5,18.8617100312692
"2001/2002",2002,123,123,100,0.121598471314922,26.1099882105286,31.0464724149033,0.0964456746933662,47.2820543146195,504.43627620483,-36,-357.238392885669,-565.5,587,95,-373.5,21.9311393683277
"2002/2003",2003,123,123,100,0,41.6596116149516,30.6174971603274,0.021057264355242,48.1383110957615,551.483969115008,28,-282.201949998627,-493.5,634,140,-319.5,16.1197467247082
"2003/2004",2004,123,123,100,0.0597648786200492,28.0458956374596,31.799192047642,0.0861151710634094,48.7755815857566,575.855956914648,95,-189.730412980422,-416.5,664,122,-222.5,25.9914976236556
"2004/2005",2005,123,123,100,0.00248497848827507,28.3168640464717,31.73760712177,0.0602942170661851,48.7598512524703,552.399576055692,55.5,-247.55763275229,-426.5,636,114,-278,23.4053152292352
"2005/2006",2006,123,123,100,0.113161864715486,16.1515820642332,30.3452311448256,0.135357871640621,46.3074178772456,489.64144031437,-57.5,-348.938577522658,-624,576.5,73,-393,15.7786208119036
"2006/2007",2007,123,123,100,0.15513730639603,43.2558148323328,31.6989071191365,0.188875229443677,48.5929471210242,543.090549905376,-11,-345.122593281278,-476.5,614,150,-330,20.2651574322756
"2007/2008",2008,123,123,100,0.114442935128091,38.2732868511578,32.0948190286872,0.128834366643882,48.7351009774805,573.946325199538,58,-221.768887714767,-457.5,652,130,-265.5,21.8566161370014
"2008/2009",2009,123,123,100,0,38.5412997887154,28.1841113794607,-0.0191900791242401,43.4840301541379,481.183096312076,-227.5,-532.966302590554,-886,543.5,124,-547,14.735744782076
"2009/2010",2010,123,123,100,0.0307982866982491,40.4128490937793,30.7351930881708,0.0708895102658309,47.8365280677185,565.613888111125,15,-266.928232195532,-527.5,648,145,-309.5,22.7228530434926
"2010/2011",2011,123,123,100,0,33.4432671439838,32.3075805718513,0,50.2129935584575,590.218274245114,161.5,-125.476022093651,-285.5,679,136,-181,25.5555070444833
"2011/2012",2012,123,123,100,0,20.424307807783,30.454765766925,0,46.5991630760305,447.004621306092,-108,-447.45229611353,-600,532,67,-468.5,12.4154155894225
"2012/2013",2013,123,123,100,0.0944741453526785,35.8504134966519,31.1531850988115,0.0946893985406427,48.4145969363716,566.93307264304,30,-250.736210848161,-483.5,649.5,126,-288,21.5706259669654
"2013/2014",2014,123,123,100,0,36.7482739117506,32.7417019733234,-0.0156005968574409,51.0047374728848,602.050710739715,207.5,-85.9234725763017,-232.5,682.5,143,-139.5,21.492090627362
"2014/2015",2015,123,123,100,0.00242255458694641,31.4862749162633,30.6909718575669,0.0332340798400819,47.5023475222265,528.133835428531,-25,-338.593800671479,-556,604.5,109,-361.5,17.8678743811199
"2015/2016",2016,123,123,100,0.0158006969615956,33.2950338611367,29.9570654254662,0.0613672937879017,47.1747873690485,566.359202318523,-31,-297.958600217418,-583.5,651,119,-344,19.0377374530572
"2016/2017",2017,123,123,100,0,32.3860052714071,29.5421750240866,0,45.9871666894926,494.64638485157,-77,-399.925108842246,-644.5,570,115,-439.5,13.2802668169722
"2017/2018",2018,123,123,100,0,24.2137365516514,28.1982685197768,0,42.6741933758112,425.508896082847,-267,-613.326135210445,-888,491.5,93,-632.5,10.9543636227457
"2018/2019",2019,123,123,100,0,23.9276935068388,30.777588425266,0,46.1225592266918,451.473680727422,-151.5,-482.152491165878,-677.5,532,83,-498.5,17.8066111806098
"2019/2020",2020,123,123,100,1.34081648401877,56.2302191485569,31.885208455833,1.36809543718876,50.1805166106109,649.938899809304,113,-169.274320299286,-366,722,207,-191,21.8158961234801
"2020/2021",2021,123,123,100,0,31.7082633962439,29.9876440621433,0.00102954787028864,47.3133879117177,532.182379238851,-35.5,-320.217066196958,-554,612.5,109,-375.5,14.5020604682379
"2021/2022",2022,123,123,100,0,25.9392125572264,30.90153350331,-0.0250815359799859,47.6942301596293,543.070031177711,4.5,-259.995796947274,-517,640,98,-295,22.7298681879917
"2022/2023",2023,123,123,100,0,32.1244758037755,28.6988435289931,0,44.2737838561054,461.250025720004,-163,-479.355223362683,-769.5,532.5,102,-514,14.2775093541022
"2023/2024",2024,123,123,100,1.23692908968514,21.7809257176385,31.1810959719308,1.20410148353557,46.2366006008854,416.864518284081,-155,-534.009039506287,-652,474,73,-536,11.9914175849641
