"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2000/2001",2001,123,123,100,0.0884228391137907,42.207233732618,33.0256906858924,0.165741139953711,52.3595664433287,712.34673447656,333.5,129.993479767937,-154.5,812.5,158,51,30.5928529351321
"2001/2002",2002,123,123,100,0.302062231500384,40.9880196249992,32.8248169015935,0.335121276898468,51.6302074799536,643.648176118665,240,-9.97843553994608,-210.5,727,152,-60,26.7523091133606
"2002/2003",2003,123,123,100,0.0948690603144509,58.2744927176084,32.3674916968202,0.133727957697181,52.4915583882348,692.175723474388,298,52.9340846225095,-137,795,188,2.5,27.9381499723179
"2003/2004",2004,123,123,100,0.162993628454341,46.081017491735,33.5803316856346,0.217834029033669,53.1332875362883,722.098544668665,361.5,146.64384371061,-57,827.5,191,91.5,33.0432540570948
"2004/2005",2005,123,123,100,0.201005018576283,45.8999312707195,33.5539466088659,0.278366828131048,53.1018859467157,695.926381436999,378.5,102.798518452413,-63.5,800,177,76,30.984456040849
"2005/2006",2006,123,123,100,0.242386807121795,30.7748340260776,32.0845768421918,0.285529113527719,50.6545517177423,638.169258206658,218,-0.201210188210098,-272,743.5,122,-69.5,24.4640704807377
"2006/2007",2007,123,123,100,0.49228131988339,59.3158278292849,33.5117691801878,0.561515058589071,52.9451759200359,668.645476718717,316.5,1.79461049699239,-109,743,212,-23.5,28.4549566333684
"2007/2008",2008,123,123,100,0.325427724829864,54.7830637569662,33.9465450073609,0.420895712745637,53.0917892566777,720.373332550402,348,124.447506794499,-111.5,809,195,51,30.7371738646594
"2008/2009",2009,123,123,100,0.111274889498714,49.8079889173875,29.7587628682247,0.188552763213948,47.825044510169,600.408591636384,39.5,-218.60919304526,-529,683,165,-253,20.1057904296602
"2009/2010",2010,123,123,100,0.463974744269879,58.3828917585721,32.4632813787815,0.530294719019912,52.1826424160071,705.594028004991,289.5,57.3136162022201,-167,805.5,198,3,29.7744142918781
"2010/2011",2011,123,123,100,0,51.8712589564189,34.1838247051213,-0.0283849329874311,54.5642036983024,748.321457386064,440,220.159022203574,42.5,861.5,198,158.5,34.0407328629772
"2011/2012",2012,123,123,100,0,31.9630099403261,32.1893969771519,0.000143118270910181,50.9548335208915,587.02935832812,174.5,-98.7723075102767,-236.5,681.5,104,-144.5,21.15762661001
"2012/2013",2013,123,123,100,0.297401663285763,49.066261833372,32.9251152339777,0.383949056631941,52.7545907829104,707.292833470243,312,85.7547882505678,-135,806,179,32,26.8399124481281
"2013/2014",2014,123,123,100,0.236422682958395,57.7668104678573,34.6141893978075,0.333128170779948,55.3498321610895,761.171701063618,485,264.512603949981,111.5,874,213,208,35.6255319090531
"2014/2015",2015,123,123,100,0.223529656175212,47.485354198803,32.4819581488255,0.237139048924781,51.8525388369216,673.834631739375,245,-4.09621871456329,-202,771.5,165,-33.5,28.9342932561626
"2015/2016",2016,123,123,100,0.254180525793403,51.9957351677923,31.6817695171975,0.31196773372575,51.5294398157085,717.061907143114,247,25.1500553529841,-237.5,811,188,-24,29.6840393262627
"2016/2017",2017,123,123,100,0.0406406545098678,48.4552160364124,31.2146598068624,0.068478811589,50.326139854563,630.055242393038,183,-68.5419502971272,-282,730,171,-126,21.1074107443691
