"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2000/2001",2001,123,123,100,0.0489915150065887,33.7216754553762,32.0904039527712,0.0946981105805846,50.0281412024607,630.673792833862,170,-47.3207623491326,-350,736,126,-103.5,24.3943076896881
"2001/2002",2002,123,123,100,0.222743443814067,33.1988071095657,31.8700542275474,0.286738422441456,49.2942167178742,565.642539380076,98,-199.707907882666,-397,650.5,128,-234.5,23.9074099340751
"2002/2003",2003,123,123,100,0.0717346182707785,48.9239533090719,31.4266912158688,0.0568772571492535,50.1509896936106,613.652795376104,142,-127.742612725155,-323,703.5,163,-180.5,22.1331095418093
"2003/2004",2004,123,123,100,0.141289326985995,36.1912904100496,32.6294973933096,0.165271769807384,50.7875815234134,641.921674767038,216.5,-35.4744578390946,-246,740.5,154,-79,29.3331459534265
"2004/2005",2005,123,123,100,0.0803056143051646,35.3271823625205,32.5636477526455,0.136057837512223,50.7713723191614,615.328671756346,214,-86.6759314829833,-249,705,136,-125.5,26.0846024476074
"2005/2006",2006,123,123,100,0.196457707346098,22.8713676403851,31.1548706805001,0.243173297714572,48.3194750523662,557.721386382294,76.5,-191.023653884564,-465,649,96,-256,17.747052691984
"2006/2007",2007,123,123,100,0.361887210791316,50.8719430621258,32.5458030013574,0.454406321730323,50.605523806524,600.984952798894,141,-187.007008726268,-314,672,182,-184.5,24.2429703386892
"2007/2008",2008,123,123,100,0.238287006917573,44.9797499738542,32.9450536205062,0.269420984441192,50.7470023184141,640.736349535565,183.5,-66.3025496364862,-295,716.5,156,-128.5,25.2215840305448
"2008/2009",2009,123,123,100,0.0393213859694429,43.9659128422784,28.9283414219691,0.0499575663639893,45.4954419974865,534.873748341797,-95,-390.513989028506,-724,608,141,-400,16.7452227390493
"2009/2010",2010,123,123,100,0.236729810243642,48.9784083779893,31.5462183805869,0.314325659559066,49.8484793512853,629.085342283682,136.5,-118.430858991422,-375,718,169,-161,24.0879149436346
"2010/2011",2011,123,123,100,0,40.5543462595895,33.1543051145769,0,52.2254676681537,660.384745429836,292.5,35.1997569045125,-141.5,768,161,-7,29.4970691805244
"2011/2012",2012,123,123,100,0,25.4735196123178,31.2599976330939,0,48.6109651584152,510.56878948713,29,-287.679835900402,-431.5,597,84,-324,15.1974631547239
"2012/2013",2013,123,123,100,0.191003816507739,41.8904613236406,31.9832955684394,0.287459198441451,50.4258988859834,630.237982985253,153.5,-95.3122660924491,-310,719.5,153,-138.5,22.9854765680763
"2013/2014",2014,123,123,100,0.0412886198278678,45.7702355141625,33.5955453662796,0.0384410873051202,53.0165822009674,669.4470154392,346.5,73.1486284663115,-82,772,176,26,27.3794193455618
"2014/2015",2015,123,123,100,0.108150705650923,37.4016752152831,31.5208436635279,0.130736580751281,49.5147183928346,594.645966726919,96,-180.896637475402,-377,678,133,-214.5,24.6962318361969
"2015/2016",2016,123,123,100,0.141351185542005,40.7469481695284,30.745724379461,0.192354063306837,49.1864895301134,632.698244846786,96.5,-149.511591236107,-414,726,148,-197.5,23.7092637179733
"2016/2017",2017,123,123,100,0,39.0291371659241,30.3239168816413,0,47.9983580736003,555.362186169219,48.5,-245.37672423129,-474,639.5,131,-297.5,17.3258186271628
"2017/2018",2018,123,123,100,0,30.2490434127368,28.9452128959638,0,44.6859308834964,480.968073130824,-130,-462.121368337859,-731,547.5,108,-505,13.3737899860288
"2018/2019",2019,123,123,100,0,28.2956339455914,31.5948750357899,0,48.1348261950966,511.573383677287,-5.5,-320.579432385639,-487.5,598.5,100,-357,23.7535976141475
