"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2000/2001",2001,123,123,100,0.184363294074986,38.666418668833,33.2593497640366,0.231515271170402,52.2130037683595,698.457388593351,307.5,115.048819432347,-181.5,807,147,45.5,26.9257356741918
"2001/2002",2002,123,123,100,0.403436652001833,37.4145768024812,33.0460657282142,0.485346929036653,51.4805335812583,628.423644596232,228,-33.3028952530267,-232,715.5,144,-71,27.1622852968068
"2002/2003",2003,123,123,100,0.158282244900384,54.3278121340623,32.6078443514434,0.238967886247134,52.3387656925667,677.009830413959,286.5,33.6396607178976,-150.5,774.5,183,-24,27.0278828349854
"2003/2004",2004,123,123,100,0.232709527145787,42.9154369749463,33.8310280402854,0.254290305445702,52.9779330136403,708.807067142312,348.5,130.703961391264,-67,815,185,87,32.5120122193824
"2004/2005",2005,123,123,100,0.256429176158069,41.0764994376615,33.7783018003569,0.302629150480374,52.9559446102127,681.327709548974,350.5,83.1939280983388,-64,785,164,49.5,33.8064846278631
"2005/2006",2006,123,123,100,0.316846826979159,26.9256160282083,32.3118051144946,0.303200485343723,50.5055006684636,620.143187255169,209,-27.2551979751515,-282.5,715.5,114,-106.5,23.8242676756791
"2006/2007",2007,123,123,100,0.622063885307637,56.3798183862087,33.7486122083249,0.682602083302556,52.793007591761,659.079790384607,296.5,-19.0479438345537,-122.5,738.5,203,-30,28.9816809147046
"2007/2008",2008,123,123,100,0.422042638736433,50.6885596324993,34.1544812881846,0.522495997547471,52.9370606306271,706.360123898074,333.5,97.0861362327123,-125,794.5,187,31.5,27.2895893673671
"2008/2009",2009,123,123,100,0.213114184238275,47.2881847568684,30.033321473021,0.327537714336481,47.6797242102814,587.566938617964,25.5,-240.947939012091,-548.5,669,155,-266,20.0670626158539
"2009/2010",2010,123,123,100,0.522942890051505,53.7558188246999,32.7303709507867,0.629490381686252,52.0342139136021,692.997856404851,275,41.5476987766087,-195,788,191,-16.5,29.311654501691
"2010/2011",2011,123,123,100,0,46.940403276654,34.3848727876948,-0.0615242340878874,54.4126594330071,728.972197819401,425,202.940917702355,46,843.5,187,148,34.0175131618722
"2011/2012",2012,123,123,100,0,28.2733114557301,32.4149393872676,0.0502079548957561,50.8007304844145,569.677067027711,176.5,-114.991054620798,-250.5,664,95,-163.5,21.8794734333269
"2012/2013",2013,123,123,100,0.445907669040433,46.9272438133106,33.1696807578979,0.582916577034841,52.6098912178802,695.534502170813,292,65.9413659231504,-156,793,177,17,25.8163939243651
"2013/2014",2014,123,123,100,0.294221773120747,52.5021250628392,34.8409357874984,0.479814843700958,55.2020259032632,739.470053470624,488,245.81696664761,118,852,209,192.5,35.6420415266264
"2014/2015",2015,123,123,100,0.168636607032942,43.058355239075,32.6907068194066,0.186516679005779,51.7016183306065,654.761024320262,243.5,-19.623680105542,-205,744.5,153,-58,28.9615685465251
"2015/2016",2016,123,123,100,0.278143930361723,46.5344560123926,31.9103304880851,0.294390579551068,51.3759620624303,695.993461294187,233.5,7.7927855165326,-247.5,794,173,-36,29.9815613697672
"2016/2017",2017,123,123,100,0,44.0362225339917,31.4692616507713,0.0255090055567908,50.1820607227253,612.484518959351,181.5,-86.6360616348684,-300.5,714,156,-141.5,22.2088380387206
"2017/2018",2018,123,123,100,0,34.0932607960114,30.0422425518041,-0.0154493846892361,46.8710839200658,531.184255226013,1.5,-306.665757772927,-546.5,609.5,127,-346.5,14.511158405883
