"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2000/2001",2001,123,123,100,0.230525778898754,39.6375368730326,33.2571563608712,0.288972542317175,52.1448046188447,698.15678595581,299.5,109.057926096031,-185,805.5,151,40,27.0888341409997
"2001/2002",2002,123,123,100,0.411988866038099,39.0642437187885,33.0139151207317,0.520971776139777,51.4103432604107,629.064408253807,219,-40.8311937495173,-239,713.5,152,-82,26.2488762886098
"2002/2003",2003,123,123,100,0.196311119879276,55.3228227403627,32.5816277636126,0.274038114752668,52.2665539085522,679.222766089668,278.5,27.7756749190867,-157.5,777,189,-30,29.1035117193801
"2003/2004",2004,123,123,100,0.261892396200996,43.4941363266196,33.8209132154501,0.335727986544307,52.9010608919304,712.175243900937,341,126.186071054075,-77,820.5,187,79.5,33.0721882552899
"2004/2005",2005,123,123,100,0.278202126432043,42.2680429662878,33.7501224336072,0.34955800099563,52.8881400442611,686.333663333246,342,80.994721344945,-70,784,167,37.5,34.766060137301
"2005/2006",2006,123,123,100,0.347090302864332,28.3855300879392,32.2749799035544,0.371048181948679,50.4357110110978,621.71968390044,203,-34.9062508406132,-291,715,123,-112.5,23.8017903845133
"2006/2007",2007,123,123,100,0.675948477737037,57.2609789654919,33.6994365951884,0.746915910690281,52.7212025144354,661.700012432744,284.5,-28.9236783838569,-129,737.5,204,-41.5,29.8383372168105
"2007/2008",2008,123,123,100,0.507783200177671,53.4623045612799,34.1411469790681,0.646091274568568,52.8606012168523,711.966169446203,325.5,90.976581289171,-131,802.5,200,32,28.46467928279
"2008/2009",2009,123,123,100,0.227894891509518,48.704745330971,29.9983661522603,0.371658317557774,47.6123130077814,588.924597589683,22.5,-249.476836752841,-560.5,667.5,164,-274,19.4174923966937
"2009/2010",2010,123,123,100,0.601648489530499,55.0138396010808,32.7096840293574,0.717364476356212,51.9648237064869,693.410952819131,265.5,35.7380274383177,-193.5,788.5,194,-19,29.6493819510037
"2010/2011",2011,123,123,100,0,46.7800976628002,34.3562903900577,-0.0863035759678263,54.3412598569724,733.069962501744,413.5,200.670778617714,33.5,843.5,187,141.5,34.0527805831197
"2011/2012",2012,123,123,100,0.0174584239786423,29.694372763744,32.3580918519396,0.0781001585931038,50.7246825820875,571.53260377924,173,-123.923077045096,-258,662.5,102,-171.5,19.812187152441
"2012/2013",2013,123,123,100,0.467312758874689,47.004946556543,33.1580193177653,0.597903970150751,52.5428721573445,695.504846121581,285,61.8763117078197,-156,793.5,179,13.5,26.1797613060937
"2013/2014",2014,123,123,100,0.386227463274908,53.8398275512158,34.8129000084682,0.533705046030427,55.1330339317908,741.22775778412,482.5,241.861564797422,103,853.5,212,189,34.5260323994916
"2014/2015",2015,123,123,100,0.151865029169015,43.0813752918599,32.6573420847383,0.171049929899665,51.6306230488351,658.008974862554,241.5,-23.1036910279217,-207,749.5,159,-56.5,27.9120325356998
"2015/2016",2016,123,123,100,0.3111443744634,48.3011726094131,31.8780971096901,0.371879662986605,51.3003244730964,697.677371118496,227,1.19468934298493,-251.5,796.5,180,-39,30.0306236945625
"2016/2017",2017,123,123,100,0,43.5874436967139,31.4455598886267,0.0304670371041278,50.1154325812907,615.44170871777,176.5,-89.2763505385301,-309,717.5,157,-140.5,22.3761563558103
"2017/2018",2018,123,123,100,0,35.1154038185068,30.0119810368671,-0.000897952369232291,46.8024889682521,533.087018555372,-1,-309.827563512139,-548.5,613.5,130,-351.5,14.5529033635617
"2018/2019",2019,123,123,100,0,32.2955024188633,32.733210411112,0.00348728745245364,50.2508423028903,576.38697064438,129,-158.362517944683,-327.5,669.5,119,-209,28.232264690373
"2019/2020",2020,123,123,100,2.52704834310343,75.9387249778264,33.9210103713804,2.71878538684685,54.3060696418307,772.510660715699,371,117.124654795072,-36,857.5,278,88,30.5574089110759
"2020/2021",2021,123,123,100,0.251408065842645,42.27697383862,31.9054607241158,0.355817818716198,51.4416427758554,661.554054564007,232,-6.83130701098708,-234.5,756,149,-68,22.4831281824659
"2021/2022",2022,123,123,100,0.169117067825803,35.8701829951355,32.875184345211,0.190315374690061,51.8225231970255,678.764448340018,270.5,53.3844725873205,-209.5,785,142,-6.5,31.3531202537687
"2022/2023",2023,123,123,100,0,40.6872213658283,30.5536030493259,0.02484424422927,48.4020728018966,575.397414258256,98.5,-176.6948195554,-452,662.5,131,-234,24.0745741648467
"2023/2024",2024,123,123,100,1.70634443328732,29.4082433287327,33.1319359442536,1.6957025964633,50.3621678867489,530.916541758037,119.5,-208.061482142395,-307,605,104,-236.5,24.2685164502039
"2024/2025",2025,123,123,100,0,64.8881036093967,31.0230924035778,-0.0247051166943844,51.2325285269597,747.687052520283,255.5,29.8737036499078,-240.5,845,237,-22.5,25.5440680392837
"2025/2026",2026,123,123,100,0.676158326857016,35.511037205177,32.4128427634953,0.738676330952341,49.4829160482597,626.204643971112,139,-115.643107478798,-369,721,149,-149.5,28.1723499354948
