"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2000/2001",2001,123,123,100,0,22.4807446818996,31.6733526549416,0.00066947488233593,48.1032794881033,541.000127644637,41.5,-216.315242966577,-480,632.5,89,-264.5,20.8400085438033
"2001/2002",2002,123,123,100,0.145732899053071,22.5216303909228,31.4451139084192,0.168413848593199,47.3746210017076,481.128315649331,-35,-370.240339663333,-556,564.5,85,-387.5,19.6111945209071
"2002/2003",2003,123,123,100,0.021144502198101,36.1074753249873,31.035776065926,0.0504994599270887,48.2366170383465,527.041953989915,18,-296.210333555229,-472.5,610,126,-333.5,17.3352520790343
"2003/2004",2004,123,123,100,0.0897348029040992,23.7788330468441,32.1968347876611,0.11375343523816,48.8764825192702,552.806791702899,88.5,-206.576561076681,-405,634.5,113,-251,26.7309865510232
"2004/2005",2005,123,123,100,0,24.1698630052111,32.1333667905966,-0.00985651769107898,48.8454522778718,528.765362862609,65.5,-259.053607140981,-403,613,95,-283.5,23.6137088353748
"2005/2006",2006,123,123,100,0.143731771379761,12.7516628658156,30.7585395461523,0.149541340241733,46.3988295624814,471.527438600207,-68.5,-370.415332992914,-623,556,61,-413.5,16.942407519165
"2006/2007",2007,123,123,100,0.221161081586008,37.1752270690395,32.1177371936668,0.291269964818936,48.6901099870348,523.26694917333,-3,-351.545872332827,-451.5,593.5,136,-342,20.9143558228845
"2007/2008",2008,123,123,100,0.147933813418339,32.5783404583307,32.5102094465928,0.190419050350799,48.8348708108258,556.078143648753,57,-229.68140187981,-446.5,636,116,-267.5,21.8381363572131
"2008/2009",2009,123,123,100,0,34.1215855533212,28.5782337852426,0.00246178480702541,43.5684619255001,456.157091188375,-228.5,-558.681636823152,-873,520,113,-570.5,15.9289972808932
"2009/2010",2010,123,123,100,0.090248597114889,34.420000296521,31.1635670710213,0.176227256259351,47.9267823723589,543.873370371597,9.5,-279.141329732745,-520.5,626.5,127,-315,20.9192330734913
"2010/2011",2011,123,123,100,0,28.6690569571513,32.7130321850811,0,50.3090109584045,568.303461655976,160,-137.098634823553,-283.5,661.5,122,-180,26.7109109067607
"2011/2012",2012,123,123,100,0,17.8827504529931,30.8548369738359,0,46.6977994112099,426.793097846425,-112.5,-470.47425112372,-590,508,61,-494.5,13.0571726965474
"2012/2013",2013,123,123,100,0.0995508457506697,29.746675906237,31.559510559506,0.130232221460368,48.4978570818135,542.404204536973,35.5,-260.686449437278,-464,622.5,105,-300,21.6873227325817
