"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2000/2001",2001,123,123,100,0.788415606458469,67.8648900764279,35.1983522621802,1.02705589583501,56.9187190643468,897.928973576071,602.5,465.61488431342,187,1015.5,264,379.5,40.9900394868891
"2001/2002",2002,123,123,100,1.19341180317732,65.214421687196,34.9476712731264,1.28895899403193,56.1831794813892,815.662148181231,512,328.279170391121,133.5,903,241,252.5,36.000927518984
"2002/2003",2003,123,123,100,0.668198827708691,83.4721420809603,34.4825175695172,0.727937531950261,57.0382770132533,870.690118291912,557.5,384.324683619319,195.5,973,273,323.5,42.5763464590694
"2003/2004",2004,123,123,100,1.04431410072189,73.6921728875202,35.7870604990551,1.22818583341321,57.6701490798278,908.818975387865,650,484.074922844475,258.5,1023.5,299,429.5,40.2629079922742
"2004/2005",2005,123,123,100,1.00184433514871,74.9222885247048,35.7541383102165,1.10065355926192,57.6622659310055,878.485339220057,656,452.977234417984,284.5,991,293,410,41.1298754445673
"2005/2006",2006,123,123,100,0.937811962098447,55.8372072508493,34.1626153275256,1.05085019144719,55.2087656743888,816.622487258637,491.5,339.417371770425,80,941,218,263,34.1224681192948
"2006/2007",2007,123,123,100,1.4737220998846,87.2474934579133,35.6800567262027,1.64080502310112,57.4931510241421,835.470013906258,604.5,341.169323880677,251,915.5,311,312,35.7090775946614
"2007/2008",2008,123,123,100,1.7238470304909,83.7177086553945,36.1238057363597,2.00255889585752,57.6299217291807,897.916841715009,607,445.150659706513,226,1005,288,379.5,41.0698087014348
"2008/2009",2009,123,123,100,1.3677336353756,75.4557197219841,31.7394903863788,1.48499480146556,52.3866489309277,756.905719255104,299,97.2858237039691,-204,836,241,40.5,27.1615073207504
"2009/2010",2010,123,123,100,1.36071426212118,82.9834003361557,34.6058152795739,1.47730360589807,56.7380954148361,879.127371000433,544.5,381.229617685378,158,988.5,284,328.5,39.4753086356127
"2010/2011",2011,123,123,100,0.556027791213939,77.2876677838352,36.3620542575103,0.728403167745608,59.1134323824911,936.396486982057,717,564.75748532802,379,1056.5,304,502.5,43.9013544129523
"2011/2012",2012,123,123,100,0.347562037530329,54.3738242756346,34.2681302672501,0.44452171101047,55.4942340388354,762.092832085074,504.5,274.04007901359,130,872.5,197,196,32.3830227069918
"2012/2013",2013,123,123,100,2.04513994395759,75.3881958621486,35.1455732296796,2.34288335327944,57.3174167104904,889.80671872811,594.5,419.76219212151,213,998,286,360,42.1599757534043
"2013/2014",2014,123,123,100,1.67900224814719,84.022180406708,36.8638831882495,1.93528989527444,59.9065212865343,943.206888267552,788.5,612.804313836605,454,1066.5,316,547,43.8592442825651
"2014/2015",2015,123,123,100,0.403848146416994,73.7443350850517,34.5640885199857,0.502040193332522,56.4030181992905,842.529514729293,548.5,339.103936631567,162,946.5,266,299.5,37.9615648480709
"2015/2016",2016,123,123,100,1.21985830722386,81.8422565720068,33.7111924089049,1.40787034957193,56.0701054922309,882.314253996123,521,347.254052030403,82,967,292,280,37.4812894945861
