"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"1976/1977",1977,123,123,100,0.699233716475095,58.8219595490347,40.5456175513173,0.861833333333333,60.0787037037037,772.066210456294,832.5,551.013425144359,537.5,868,241,523.5,47.352041857025
"1977/1978",1978,123,123,100,0.670498084291186,54.3862044569852,37.955294266815,0.791166666666662,59.3657407407407,758.044678867254,704.5,423.909596367546,372,856,222,380,38.6103550146964
"1978/1979",1979,123,123,100,1.00574712643678,39.9646189118491,37.4905966132083,1.06949999999999,57.4791666666667,694.124931794738,572,253.511356866008,228,793.5,204,252.5,39.5237652992798
"1979/1980",1980,123,123,100,0.028735632183907,126.109545278455,36.7847651165279,0.0753333333333288,57.7175925925926,913.270315981872,754.5,561.23351484651,443,1032.5,340,529,45.2051791220827
"1980/1981",1981,123,123,100,2.26053639846743,200.932098097451,39.7385178371214,2.61616666666666,62.6967592592593,1119.00121295979,1064,893.643479721584,819.5,1209.5,512,849.5,58.0616280555881
"1981/1982",1982,123,123,100,0.756704980842913,138.138881271013,34.2754322697749,0.928666666666679,62.1805555555556,986.557534348134,699,459.538333586868,370,1079.5,476,444,41.644722510302
"1982/1983",1983,123,123,100,1.65708812260536,137.6484121786,34.5643158017404,1.74116666666665,61.1597222222222,953.113850071454,688.5,469.216641818679,306.5,1039,412,437,40.1930498741412
"1983/1984",1984,123,123,100,0,122.217089919846,33.7026747097069,-0.00416666666668086,56.6550925925926,801.19452215031,510,217.518030711304,109,876.5,329,206.5,29.942436657397
"1984/1985",1985,123,123,100,0.574712643678159,121.220512039788,32.6040802800749,0.711666666666652,56.3958333333333,931.436744309043,524.5,312.009464678355,92,1027.5,383,288,34.4473662895761
"1985/1986",1986,123,123,100,1.14942528735632,74.0862047485367,32.861998891136,1.19733333333334,55.4097222222222,721.859198932851,353,72.5690057711035,-51,813.5,241,43,25.3347963362742
"1986/1987",1987,123,123,100,0.153256704980841,106.409430181637,31.5943233298595,0.265333333333332,53.2013888888889,768.355771272554,307.5,31.6235496296213,-147.5,849,296,21.5,25.6023734791144
"1987/1988",1988,123,123,100,2.11685823754789,135.69941937055,32.7458003079026,2.26700000000001,59.7199074074074,931.66573314278,531,295.40523351109,135,1004.5,430,290.5,34.5993160413663
"1988/1989",1989,123,123,100,1.4176245210728,132.620546173539,34.1429545745733,1.56916666666666,61.5810185185185,1017.28105493909,710,494.840015519083,331,1104.5,457,485.5,45.3638528170956
"1989/1990",1990,123,123,100,0.957854406130267,123.032222657357,35.960430836086,1.09183333333334,62.7222222222222,987.411032278404,792,581.384011469781,453.5,1091,399,567,46.7623831210212
"1990/1991",1991,123,123,100,1.74329501915709,100.586629667372,34.4062612694672,1.958,61.5763888888889,944.048883049927,646,434.029146067413,238.5,1029.5,404,407,42.7728997872969
"1991/1992",1992,123,123,100,1.95402298850575,121.83731769091,35.8482778450565,2.20083333333333,63.1134259259259,1008.43785325326,791,591.010728915033,473.5,1092,446,565.5,44.6430718065099
"1992/1993",1993,123,123,100,0.708812260536398,40.5650050747081,34.3275578673714,0.795499999999996,59.2962962962963,742.052671731453,488,216.840886302802,99.5,834.5,225,171,34.5577850509101
"1993/1994",1994,123,123,100,1.36015325670498,80.4534641225355,35.0435325718291,1.46300000000001,64.2638888888889,1006.01850079605,726,567.924527361567,400.5,1111.5,403,522.5,41.531826336931
"1994/1995",1995,123,123,100,2.10727969348659,88.9663889528835,34.8423463304222,2.15716666666665,63.5138888888889,963.329575112948,700.5,510.32396989032,311.5,1071,381,497.5,40.3579641841418
"1995/1996",1996,123,123,100,3.34291187739464,128.295928271727,34.148548190934,3.72083333333333,63.7337962962963,1074.21488031436,752.5,574.461380895467,377.5,1163,508,554,40.1810391862542
"1996/1997",1997,123,123,100,1.76245210727969,109.552320078443,33.9947616105187,1.84733333333334,61.2731481481482,948.811286405336,647.5,453.547125988014,272,1044.5,404,419,34.6793314797824
"1997/1998",1998,123,123,100,0.785440613026819,107.304108928319,33.8117831968293,0.853166666666673,60.5069444444444,929.339237425069,612.5,365.323103028299,234,1017.5,394,346,36.4172933617856
"1998/1999",1999,123,123,100,0.440613026819922,67.8241041083234,30.9799735854694,0.512666666666667,56.5532407407408,789.844612795623,292.5,86.8546334734419,-207,880.5,259,47.5,32.3703374811857
"1999/2000",2000,123,123,100,0.909961685823755,61.1764707669696,31.6769096059006,0.905999999999991,56.6296296296296,768.385170850059,309.5,100.312058055337,-148,854,244,58.5,29.8773445018417
"2000/2001",2001,123,123,100,0.651340996168581,57.4854876067604,34.3730315175869,0.71166666666666,59.7638888888889,821.408354009684,564,375.114688784888,142,938.5,230,310,38.2445939746233
"2001/2002",2002,123,123,100,1.52298850574712,108.140942690669,35.6222746442561,1.80349999999998,62.7569444444444,1009.46699521486,772,598.668683799944,454,1110,409,570.5,42.8055266152119
"2002/2003",2003,123,123,100,2.07854406130268,145.721046180754,33.1485370600812,2.19183333333333,61.3819444444444,1019.95352769977,617,415.653252931486,229,1091,483,401.5,37.2729067527926
"2003/2004",2004,123,123,100,0.948275862068964,67.1581125003112,33.1823663216379,1.07416666666665,59.1319444444444,847.532735744004,484,238.792926687747,45,939.5,331,225.5,34.5808069620382
"2004/2005",2005,123,123,100,1.52298850574713,93.7252745087757,37.4061057540589,1.6045,61.1875,989.135960972104,856.5,669.51853830753,584,1099,354,647.5,46.7750113720811
"2005/2006",2006,123,123,100,0.0957854406130277,59.4546727415322,36.2375667703572,0.150499999999999,59.9537037037037,894.584167361987,717,545.989922265624,397.5,1018,283,507.5,46.5256546209157
"2006/2007",2007,123,123,100,1.0536398467433,84.9889282894238,36.234477401352,1.25549999999998,60.0787037037037,959.42580151838,751,563.652255646317,409.5,1069.5,338,532,45.1628382316487
"2007/2008",2008,123,123,100,0.277777777777776,66.7794847633138,36.2527388070258,0.327333333333335,56.5856481481481,728.977983819081,533,218.50932087269,180,825,237,207.5,36.1567852997564
"2008/2009",2009,123,123,100,0.124521072796934,53.0167167047943,34.7228308499906,0.172500000000003,55.8055555555555,740.34187193415,492,258.155004181026,112.5,840.5,207,209.5,31.2521938357434
"2009/2010",2010,123,123,100,0.622605363984674,103.462288599245,32.061037949907,0.787000000000001,59.8935185185185,917.906889918369,476,249.856064616717,4.5,1004.5,406,237.5,30.1962485755778
"2010/2011",2011,123,123,100,0.210727969348661,89.8387059975647,32.4395140208162,0.340499999999994,59.275462962963,902.24963224442,461.5,277.198667528384,26,1008.5,332,269.5,34.3631361804257
"2011/2012",2012,123,123,100,0.316091954022988,88.4597675166957,35.3237550010948,0.442499999999999,62.1597222222222,955.324175538648,738,560.120101590888,407.5,1077,340,526,41.973963872123
"2012/2013",2013,123,123,100,0.0766283524904206,72.1945985430343,36.1794006344884,0.115333333333331,58.5856481481481,865.080147016488,685,493.851949938704,339.5,984.5,249,438.5,39.485306562188
"2013/2014",2014,123,123,100,1.92528735632184,72.3146520172025,35.6725161608951,2.03266666666667,58.5162037037037,807.581095762209,604.5,342.623017346603,269.5,905.5,276,322.5,38.1121412100101
"2014/2015",2015,123,123,100,0.727969348659003,89.9145875279735,36.9605872847842,0.813166666666663,59.6597222222222,857.816847710019,727,484.587012244403,391,967.5,306,450.5,44.4906037524354
"2015/2016",2016,123,123,100,0.967432950191573,86.9520318868588,35.4347500729087,1.22,57.9907407407407,866.750795824359,583,373.562381929485,254,967.5,300,352.5,41.8645760842285
