"Month","Tmin","Tmax","CP"
4,-20,-15,7.44890644760399e-13
4,-20,-14,4.08988089826818e-12
4,-20,-13,2.23288411999671e-11
4,-20,-12,1.2071730697702e-10
4,-20,-11,6.44803384602256e-10
4,-20,-10,3.3985359980593e-09
4,-20,-9,1.76640694926191e-08
4,-20,-8,9.05164552599473e-08
4,-20,-7,4.57315603843073e-07
4,-20,-6,2.27842800254568e-06
4,-20,-5,1.11978431903248e-05
4,-20,-4,5.42915870783433e-05
4,-20,-3,0.00025967892695274
4,-20,-2,0.00122408215628982
4,-20,-1,0.00565539704967665
4,-20,0,0.0249953112471433
4,-20,1,0.0965253880633585
4,-20,2,0.26192281575455
4,-20,3,0.427635611675215
4,-20,4,0.448551254136262
4,-20,5,0.467496068588628
4,-20,6,0.493172203293397
4,-20,7,0.501117881758179
4,-20,8,0.520710152016819
4,-20,9,0.516131479694917
4,-20,10,0.527760894994915
4,-20,11,0.520703329662729
4,-20,12,0.531740078193898
4,-20,13,0.529630291187372
4,-20,14,0.520108643085911
4,-20,15,0.495179177176678
4,-20,16,0.464437494178633
4,-20,17,0.431575389568159
4,-20,18,0.421830473706531
4,-20,19,0.471309629893572
4,-20,20,0.332021850881453
4,-20,21,0.236700538847404
4,-20,22,0
4,-20,23,0
4,-20,24,0
4,-20,25,0
4,-20,26,0
4,-20,27,0
4,-20,28,0
4,-20,29,0
4,-20,30,0
4,-19,-15,8.1965334467593e-13
4,-19,-14,4.39565940440349e-12
4,-19,-13,2.36369778613128e-11
4,-19,-12,1.26450972950098e-10
4,-19,-11,6.70311230936802e-10
4,-19,-10,3.51326330112506e-09
4,-19,-9,1.8184923698075e-08
4,-19,-8,9.29010656991088e-08
4,-19,-7,4.68313756210155e-07
4,-19,-6,2.32946840773018e-06
4,-19,-5,1.1435068210169e-05
4,-19,-4,5.53917851861441e-05
4,-19,-3,0.000264772597656766
4,-19,-2,0.00124753375862202
4,-19,-1,0.00576209577683009
4,-19,0,0.0254658341516701
4,-19,1,0.0983946778681032
4,-19,2,0.267358740903133
4,-19,3,0.436719937783054
4,-19,4,0.458717513692062
4,-19,5,0.476123181114655
4,-19,6,0.495726104679324
4,-19,7,0.504646415499399
4,-19,8,0.529287993772139
4,-19,9,0.528281127916123
4,-19,10,0.527159501767456
4,-19,11,0.534825944203306
4,-19,12,0.539889189697843
4,-19,13,0.516043245274083
4,-19,14,0.530342606370026
4,-19,15,0.495521311675806
4,-19,16,0.469333485556667
4,-19,17,0.437618910234636
4,-19,18,0.441317403249923
4,-19,19,0.429899320764608
4,-19,20,0.35114346927597
4,-19,21,0.258445504417922
4,-19,22,0.0223697869687614
4,-19,23,0
4,-19,24,0
4,-19,25,0
4,-19,26,0
4,-19,27,0
4,-19,28,0
4,-19,29,0
4,-19,30,0
4,-18,-15,9.34989131617583e-13
4,-18,-14,4.81303615073599e-12
4,-18,-13,2.52906203876605e-11
4,-18,-12,1.33330916903246e-10
4,-18,-11,6.99762109244723e-10
4,-18,-10,3.64177355414798e-09
4,-18,-9,1.87541332098055e-08
4,-18,-8,9.54556184781998e-08
4,-18,-7,4.79910152410064e-07
4,-18,-6,2.38266553582043e-06
4,-18,-5,1.167861242737e-05
4,-18,-4,5.65137312578876e-05
4,-18,-3,0.000269940241383263
4,-18,-2,0.00127124045284939
4,-18,-1,0.00586975388766969
4,-18,0,0.0259407708902266
4,-18,1,0.100290425503373
4,-18,2,0.272927696618369
4,-18,3,0.446070717611968
4,-18,4,0.47159455480177
4,-18,5,0.485978143890571
4,-18,6,0.507087558507354
4,-18,7,0.513329046026294
4,-18,8,0.538642145908896
4,-18,9,0.536444580970865
4,-18,10,0.535993713312624
4,-18,11,0.5458028923806
4,-18,12,0.553237258302792
4,-18,13,0.528172841938968
4,-18,14,0.520579613684696
4,-18,15,0.492865370746267
4,-18,16,0.48057402154133
4,-18,17,0.464231981676807
4,-18,18,0.45343313266609
4,-18,19,0.448293941144634
4,-18,20,0.394570231001518
4,-18,21,0.258268747272293
4,-18,22,0.0504012740942903
4,-18,23,0
4,-18,24,0
4,-18,25,0
4,-18,26,0
4,-18,27,0
4,-18,28,0
4,-18,29,0
4,-18,30,0
4,-17,-15,1.15414219917233e-12
4,-17,-14,5.46451893142949e-12
4,-17,-13,2.75717815165446e-11
4,-17,-12,1.42108923347515e-10
4,-17,-11,7.35386556053164e-10
4,-17,-10,3.79116560601207e-09
4,-17,-9,1.93955743554185e-08
4,-17,-8,9.82612751695914e-08
4,-17,-7,4.92391012590982e-07
4,-17,-6,2.43854538922386e-06
4,-17,-5,1.19317474210798e-05
4,-17,-4,5.76674481304716e-05
4,-17,-3,0.000275210844264091
4,-17,-2,0.00129528067118117
4,-17,-1,0.00597854385633253
4,-17,0,0.026420303536646
4,-17,1,0.10221216845352
4,-17,2,0.278629934809833
4,-17,3,0.455618590497617
4,-17,4,0.480970824942065
4,-17,5,0.495383229729518
4,-17,6,0.521482043438785
4,-17,7,0.522115170503075
4,-17,8,0.545541412962757
4,-17,9,0.544964633920355
4,-17,10,0.550014213059991
4,-17,11,0.560577540499121
4,-17,12,0.561599733490866
4,-17,13,0.554005443143102
4,-17,14,0.522070968313923
4,-17,15,0.500581629930594
4,-17,16,0.480254669829839
4,-17,17,0.483011875476793
4,-17,18,0.473151616197335
4,-17,19,0.4598014351616
4,-17,20,0.451753115046953
4,-17,21,0.270305111130343
4,-17,22,0.0712432236193282
4,-17,23,0
4,-17,24,0
4,-17,25,0
4,-17,26,0
4,-17,27,0
4,-17,28,0
4,-17,29,0
4,-17,30,0
4,-16,-15,1.70423150252575e-12
4,-16,-14,6.71665553235059e-12
4,-16,-13,3.11785228590897e-11
4,-16,-12,1.5436355517048e-10
4,-16,-11,7.81323785055958e-10
4,-16,-10,3.97361687207491e-09
4,-16,-9,2.01481114097595e-08
4,-16,-8,1.01445108087422e-07
4,-16,-7,5.06103918275295e-07
4,-16,-6,2.49870292728757e-06
4,-16,-5,1.21992277498624e-05
4,-16,-4,5.88682360514665e-05
4,-16,-3,0.000280632650921835
4,-16,-2,0.00131979860658218
4,-16,-1,0.00608885477547826
4,-16,0,0.0269052684714391
4,-16,1,0.104160925579956
4,-16,2,0.284467269647828
4,-16,3,0.465443264768591
4,-16,4,0.492644737890267
4,-16,5,0.50769532527493
4,-16,6,0.536077499946411
4,-16,7,0.535324111522906
4,-16,8,0.554423323954545
4,-16,9,0.553845987940474
4,-16,10,0.560465882002134
4,-16,11,0.573438246328459
4,-16,12,0.57153712674515
4,-16,13,0.565490919017077
4,-16,14,0.519637225890598
4,-16,15,0.511094848952277
4,-16,16,0.504680000863716
4,-16,17,0.490719865664058
4,-16,18,0.489645700728621
4,-16,19,0.466204195649041
4,-16,20,0.414100077178595
4,-16,21,0.284700857337859
4,-16,22,0.106741098210459
4,-16,23,0
4,-16,24,0
4,-16,25,0
4,-16,26,0
4,-16,27,0
4,-16,28,0
4,-16,29,0
4,-16,30,0
4,-15,-15,3.51880763017042e-12
4,-15,-14,9.87411314234839e-12
4,-15,-13,3.81900940666861e-11
4,-15,-12,1.73996053452239e-10
4,-15,-11,8.46264785311038e-10
4,-15,-10,4.21161608850254e-09
4,-15,-9,2.10741774821778e-08
4,-15,-8,1.05194773518205e-07
4,-15,-7,5.21727766948415e-07
4,-15,-6,2.56528713644445e-06
4,-15,-5,1.24881505665761e-05
4,-15,-4,6.01395044169637e-05
4,-15,-3,0.000286281564083849
4,-15,-2,0.00134503209069781
4,-15,-1,0.00620138612849321
4,-15,0,0.0273974557562138
4,-15,1,0.106139957557059
4,-15,2,0.29044406098757
4,-15,3,0.475489454449758
4,-15,4,0.503596105739251
4,-15,5,0.519178657437009
4,-15,6,0.546836457298525
4,-15,7,0.550454945134409
4,-15,8,0.562002600033074
4,-15,9,0.562294599123152
4,-15,10,0.574414405425945
4,-15,11,0.583757929872538
4,-15,12,0.57655767303109
4,-15,13,0.566498081712129
4,-15,14,0.5395494532821
4,-15,15,0.521615830702615
4,-15,16,0.518218336220201
4,-15,17,0.509831960042016
4,-15,18,0.502469041079853
4,-15,19,0.454794705850109
4,-15,20,0.439017398270855
4,-15,21,0.319227241600593
4,-15,22,0.130219044996904
4,-15,23,0
4,-15,24,0
4,-15,25,0
4,-15,26,0
4,-15,27,0
4,-15,28,0
4,-15,29,0
4,-15,30,0
4,-14,-14,2.02309272849584e-11
4,-14,-13,5.59426711275452e-11
4,-14,-12,2.12565145869389e-10
4,-14,-11,9.51595294530011e-10
4,-14,-10,4.55163308546252e-09
4,-14,-9,2.22933177290818e-08
4,-14,-8,1.09853275656988e-07
4,-14,-7,5.40294491068749e-07
4,-14,-6,2.64158803611906e-06
4,-14,-5,1.28092539435786e-05
4,-14,-4,6.15165830501102e-05
4,-14,-3,0.000292273167115312
4,-14,-2,0.00137135187303032
4,-14,-1,0.00631727705739601
4,-14,0,0.0279000163669288
4,-14,1,0.108155801091794
4,-14,2,0.296568580205109
4,-14,3,0.485583420085541
4,-14,4,0.5136389532871
4,-14,5,0.531498182740733
4,-14,6,0.560515033177794
4,-14,7,0.562354916370216
4,-14,8,0.572527423134239
4,-14,9,0.575030246251704
4,-14,10,0.585674810682797
4,-14,11,0.592541396356214
4,-14,12,0.585707155123592
4,-14,13,0.563434562360119
4,-14,14,0.550190879587133
4,-14,15,0.540285187896113
4,-14,16,0.527581109329471
4,-14,17,0.526029567591386
4,-14,18,0.507380801176684
4,-14,19,0.429321131161721
4,-14,20,0.445526315255248
4,-14,21,0.379435207658369
4,-14,22,0.139703933418597
4,-14,23,0
4,-14,24,0
4,-14,25,0
4,-14,26,0
4,-14,27,0
4,-14,28,0
4,-14,29,0
4,-14,30,0
4,-13,-13,1.13839040869112e-10
4,-13,-12,3.10511529235024e-10
4,-13,-11,1.16035540523014e-09
4,-13,-10,5.10895336932435e-09
4,-13,-9,2.40535243892717e-08
4,-13,-8,1.16041597185305e-07
4,-13,-7,5.63541930762826e-07
4,-13,-6,2.73283731066491e-06
4,-13,-5,1.317903440257e-05
4,-13,-4,6.30527624535012e-05
4,-13,-3,0.000298780950308209
4,-13,-2,0.00139931874813034
4,-13,-1,0.00643828848114884
4,-13,0,0.0284180233856276
4,-13,1,0.110219681454765
4,-13,2,0.302854898492783
4,-13,3,0.495723369550685
4,-13,4,0.525106597879546
4,-13,5,0.540905951577301
4,-13,6,0.572569750820535
4,-13,7,0.576747884949683
4,-13,8,0.58187403549228
4,-13,9,0.589293803976747
4,-13,10,0.599875971556908
4,-13,11,0.601647818073311
4,-13,12,0.587274555523055
4,-13,13,0.56642789088558
4,-13,14,0.566020024630322
4,-13,15,0.553714157460656
4,-13,16,0.545983566348234
4,-13,17,0.536432533636825
4,-13,18,0.481263845627195
4,-13,19,0.434050338318451
4,-13,20,0.435726308759066
4,-13,21,0.403654357983974
4,-13,22,0.128426595591926
4,-13,23,0
4,-13,24,0
4,-13,25,0
4,-13,26,0
4,-13,27,0
4,-13,28,0
4,-13,29,0
4,-13,30,0
4,-12,-12,6.28029969213788e-10
4,-12,-11,1.6913985956714e-09
4,-12,-10,6.2217201216834e-09
4,-12,-9,2.69649951843609e-08
4,-12,-8,1.25056969773079e-07
4,-12,-7,5.94664609379941e-07
4,-12,-6,2.84784097338536e-06
4,-12,-5,1.36236829583612e-05
4,-12,-4,6.48296540715497e-05
4,-12,-3,0.000306065534745831
4,-12,-2,0.00142977030836347
4,-12,-1,0.00656706806790247
4,-12,0,0.0289592625476742
4,-12,1,0.112349464244864
4,-12,2,0.30932553107049
4,-12,3,0.506110622851413
4,-12,4,0.536858526705052
4,-12,5,0.551082628046168
4,-12,6,0.576581497107346
4,-12,7,0.591010552652673
4,-12,8,0.592486355525954
4,-12,9,0.605306511664721
4,-12,10,0.612733378644433
