"chillR_code","STATION.NAME","CTRY","Lat","Long","BEGIN","END","distance","Overlap_years","Perc_interval_covered"
"689250_99999","ELGIN EXP FARM","SF",-34.139,19.023,19980301,20221117,8.78,22.84,51.9
"689110_99999","STRAND","SF",-34.15,18.85,20040525,20220328,9.12,16.6,37.74
"688160_99999","CAPE TOWN INTL","SF",-33.965,18.602,19490101,20221117,34.64,44,100
"689990_99999","CT-AWS","SF",-33.967,18.6,20041102,20221117,34.7,16.16,36.73
"687130_99999","PAARL","SF",-33.717,18.967,20040608,20221117,43.51,16.57,37.65
"689180_99999","HERMANUS","SF",-34.433,19.217,19980301,20221117,44.39,22.84,51.9
"688270_99999","YSTERPLANT(SAAFB)","SF",-33.9,18.5,20040224,20201230,46.37,16.85,38.3
"689140_99999","SIMONSTOWN","SF",-34.2,18.433,19490101,19500625,47.42,0,0
"689150_99999","CAPE POINT (AUTO)","SF",-34.35,18.5,20041102,20060608,48.23,1.6,3.63
"689160_99999","CAPE POINT","SF",-34.35,18.5,19730101,20221117,48.23,44,100
"688190_99999","MOLTENO RESERVIOR","SF",-33.933,18.417,20131210,20221117,51.66,7.06,16.04
"688170_99999","CAPE TOWN - PORTNET","SF",-33.9,18.433,19980301,20221117,51.83,22.84,51.9
"689120_99999","SLANGKOP","SF",-34.15,18.317,19980301,20221117,57.21,22.84,51.9
"688130_99999","ROBBEN ISLAND","SF",-33.8,18.367,20041005,20221117,62.68,16.24,36.91
"688210_99999","WORCESTER","SF",-33.617,19.467,19980301,20221117,73.43,22.84,51.9
"687150_99999","MALMESBURY","SF",-33.467,18.717,19970701,20221117,73.95,23.5,53.42
"689230_99999","TIGERHOEK","SF",-34.15,19.9,20040726,20221117,89.12,16.43,37.35
"687180_99999","ROBERTSON","SF",-33.8,19.9,19730101,20221117,95.51,44,100
"688140_99999","DASSEN ISLAND","SF",-33.433,18.083,19980301,20120919,108.83,14.56,33.08
"682513_99999","BREDASDORP","SF",-34.533,20.033,19880202,19891002,111.48,1.67,3.79
"689203_99999","BREDASDORP","SF",-34.548,20.085,19891024,20200425,116.51,30.51,69.33
"687170_99999","PORTERVILLE","SF",-33.013,18.977,19980301,20221117,121.55,22.84,51.9
"688110_99999","GEELBEK","SF",-33.2,18.117,20040501,20221117,126.14,16.67,37.89
"689200_99999","CAPE AGULHAS","SF",-34.833,20.017,19490101,20221117,127.82,44,100
"689210_99999","STRUISBAAI","SF",-34.8,20.067,19980301,20221117,129.24,22.84,51.9
